parameter 
	 eLoad(T) 
			 / 
		1	237.929
		2	237.929
		3	237.929
		4	237.929
		5	250.151
		6	274.596
		7	323.484
		8	322.297
		9	296.666
		10	260
		11	211.111
		12	475.4
		13	491.694
		14	577.727
		15	509.429
		16	506.36
		17	407.983
		18	330.841
		19	347.928
		20	323.484
		21	323.484
		22	299.041
		23	274.595
		24	250.151
		25	287.77
		26	287.77
		27	287.77
		28	287.77
		29	299.992
		30	349.358
		31	463.57
		32	614.615
		33	1138.6
		34	1191.2
		35	1247.16
		36	1331.76
		37	1297.54
		38	1347.91
		39	1354.03
		40	1359.78
		41	1408.8
		42	1326.9
		43	1120.36
		44	997.653
		45	768.302
		46	667.537
		47	349.357
		48	299.992
		49	287.77
		50	287.77
		51	287.77
		52	287.77
		53	299.992
		54	349.358
		55	429.764
		56	528.216
		57	1050.66
		58	1174.06
		59	1247.2
		60	1334.39
		61	1305.09
		62	1359.31
		63	1365.42
		64	1370.85
		65	1420.83
		66	1339.43
		67	1153.31
		68	1094.99
		69	816.826
		70	750.78
		71	349.357
		72	299.992
		73	287.77
		74	287.77
		75	287.77
		76	287.77
		77	299.992
		78	349.358
		79	432.407
		80	528.237
		81	1050.65
		82	1013.94
		83	965.867
		84	1098.17
		85	1193.44
		86	1363.76
		87	1380.32
		88	1388.97
		89	1439.74
		90	1350.87
		91	1145.5
		92	1033.33
		93	814.417
		94	684.984
		95	349.357
		96	299.992
		97	287.77
		98	287.77
		99	287.77
		100	287.77
		101	299.992
		102	349.358
		103	429.784
		104	528.218
		105	1050.65
		106	1014.01
		107	1069.46
		108	1198.12
		109	1257.83
		110	1335.48
		111	1340.98
		112	1338.6
		113	1385.9
		114	1278.03
		115	993.21
		116	872.555
		117	663.63
		118	632.746
		119	349.357
		120	299.992
		121	287.77
		122	287.77
		123	287.77
		124	287.77
		125	299.992
		126	349.358
		127	430.005
		128	528.253
		129	1050.71
		130	1013.96
		131	965.479
		132	1105.13
		133	1163.81
		134	1315.59
		135	1343.57
		136	1351.23
		137	1402.22
		138	1318.78
		139	1098.2
		140	953.471
		141	711.658
		142	583.469
		143	349.357
		144	299.992
		145	237.929
		146	237.929
		147	237.929
		148	237.929
		149	250.151
		150	274.597
		151	436.3
		152	428.562
		153	652.007
		154	615.284
		155	667.36
		156	830.707
		157	950.418
		158	975.139
		159	741.613
		160	761.775
		161	821.732
		162	796.307
		163	347.93
		164	323.485
		165	323.485
		166	299.042
		167	274.596
		168	250.151
		169	237.929
		170	237.929
		171	237.929
		172	237.929
		173	250.151
		174	274.596
		175	323.484
		176	322.297
		177	296.666
		178	260
		179	434.754
		180	614.816
		181	573.125
		182	643.81
		183	601.828
		184	665.709
		185	653.961
		186	764.435
		187	429.581
		188	323.484
		189	323.484
		190	299.041
		191	274.595
		192	250.151
		193	287.77
		194	287.77
		195	287.77
		196	287.77
		197	299.992
		198	349.358
		199	557.665
		200	606.242
		201	1163.92
		202	1278.58
		203	1356.1
		204	1385.29
		205	1354.37
		206	1420.41
		207	1433.67
		208	1438.29
		209	1488.68
		210	1389.17
		211	1203.9
		212	1169.88
		213	1011.51
		214	935.181
		215	349.357
		216	299.992
		217	287.77
		218	287.77
		219	287.77
		220	287.77
		221	299.992
		222	349.358
		223	602.705
		224	685.353
		225	1229.45
		226	1298.93
		227	1363.59
		228	1392.03
		229	1359.49
		230	1429.25
		231	1444.98
		232	1446.21
		233	1494.75
		234	1398.63
		235	1216.68
		236	1171.46
		237	1007.82
		238	889.504
		239	349.357
		240	299.992
		241	287.77
		242	287.77
		243	287.77
		244	287.77
		245	299.992
		246	349.358
		247	478.537
		248	621.873
		249	1307.85
		250	1398.38
		251	1370.81
		252	1393.62
		253	1365.32
		254	1428.45
		255	1444.28
		256	1455.62
		257	1505.22
		258	1394.86
		259	1189.48
		260	1148.05
		261	977.614
		262	833.08
		263	349.357
		264	299.992
		265	287.77
		266	287.77
		267	287.77
		268	287.77
		269	299.992
		270	349.358
		271	430.85
		272	528.108
		273	1057.1
		274	1150.24
		275	1299.44
		276	1370.81
		277	1339.14
		278	1406.61
		279	1430.1
		280	1436.86
		281	1482.38
		282	1381.97
		283	1182.61
		284	1144.39
		285	965.082
		286	841.941
		287	349.357
		288	299.992
		289	287.77
		290	287.77
		291	287.77
		292	287.77
		293	299.992
		294	349.358
		295	431.073
		296	528.139
		297	1050.61
		298	1083.09
		299	1255.55
		300	1355.1
		301	1326.26
		302	1391.34
		303	1406.01
		304	1414.41
		305	1461.99
		306	1356.87
		307	1160.33
		308	1064.94
		309	768.943
		310	673.318
		311	349.357
		312	299.992
		313	237.929
		314	237.929
		315	237.929
		316	237.929
		317	250.151
		318	274.597
		319	430.474
		320	428.493
		321	651.928
		322	697.728
		323	806.134
		324	932.918
		325	965.791
		326	984.27
		327	750.132
		328	763.945
		329	816.571
		330	789.831
		331	347.93
		332	323.485
		333	323.485
		334	299.042
		335	274.596
		336	250.151
		337	237.929
		338	237.929
		339	237.929
		340	237.929
		341	250.151
		342	274.596
		343	323.484
		344	322.297
		345	296.666
		346	260
		347	211.111
		348	211.112
		349	211.112
		350	211.113
		351	211.112
		352	211.111
		353	260
		354	322.297
		355	347.928
		356	323.484
		357	323.484
		358	299.041
		359	274.595
		360	250.151
		361	237.929
		362	237.929
		363	237.929
		364	237.929
		365	250.151
		366	274.596
		367	323.484
		368	322.297
		369	296.666
		370	260
		371	211.111
		372	211.112
		373	211.112
		374	211.113
		375	211.112
		376	211.111
		377	260
		378	322.297
		379	347.928
		380	323.484
		381	323.484
		382	299.041
		383	274.595
		384	250.151
		385	287.77
		386	287.77
		387	287.77
		388	287.77
		389	299.992
		390	349.358
		391	429.989
		392	528.251
		393	1050.65
		394	1013.95
		395	965.718
		396	1077.31
		397	1100.06
		398	1241.17
		399	1338.05
		400	1352.75
		401	1394.41
		402	1226.8
		403	938.848
		404	762.54
		405	579.073
		406	554.636
		407	349.357
		408	299.992
		409	287.77
		410	287.77
		411	287.77
		412	287.77
		413	299.992
		414	349.358
		415	430.038
		416	528.306
		417	1050.72
		418	1013.98
		419	965.534
		420	967.766
		421	950.828
		422	1146.18
		423	1277.2
		424	1316.84
		425	1370.61
		426	1193.12
		427	896.054
		428	829.637
		429	603.031
		430	554.654
		431	349.357
		432	299.992
		433	287.77
		434	287.77
		435	287.77
		436	287.77
		437	299.992
		438	349.358
		439	429.992
		440	528.281
		441	1050.67
		442	1013.96
		443	965.075
		444	1012.99
		445	1036.86
		446	1152.75
		447	1213.49
		448	1232.95
		449	1282.07
		450	1163.85
		451	959.812
		452	882.577
		453	628.616
		454	564.392
		455	349.357
		456	299.992
		457	287.77
		458	287.77
		459	287.77
		460	287.77
		461	299.992
		462	349.358
		463	429.937
		464	528.363
		465	1050.72
		466	1013.98
		467	965.463
		468	967.222
		469	918.498
		470	1077.99
		471	1191.9
		472	1279.85
		473	1348.08
		474	1171.81
		475	895.5
		476	796.057
		477	579.083
		478	561.873
		479	349.357
		480	299.992
		481	237.929
		482	237.929
		483	237.929
		484	237.929
		485	250.151
		486	274.597
		487	429.924
		488	428.66
		489	652.063
		490	615.313
		491	566.434
		492	614.028
		493	748.484
		494	879.603
		495	677.631
		496	688.937
		497	741.04
		498	712.933
		499	347.93
		500	323.485
		501	323.485
		502	299.042
		503	274.596
		504	250.151
		505	237.929
		506	237.929
		507	237.929
		508	237.929
		509	250.151
		510	274.596
		511	323.484
		512	323.596
		513	297.964
		514	260
		515	211.111
		516	334.993
		517	442.852
		518	471.931
		519	547.674
		520	510.347
		521	598.964
		522	313.754
		523	347.928
		524	323.484
		525	323.484
		526	299.041
		527	274.595
		528	250.151
		529	287.77
