Year 1 hourly electric load (kWh),Year 1 hourly sales/purchases without sytem ($),Hourly energy charge TOU period,Hourly demand charge TOU period,Hourly Energy (kWh)
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.1409,1,1,0
274.596,-19.9137,1,1,0
323.484,-23.4591,1,1,0
322.297,-23.373,1,1,0.0551103
296.666,-27.1509,2,1,0.260849
260,-23.7952,2,1,0.261881
211.111,-19.3209,2,1,0.515536
475.4,-43.5086,2,1,0.604673
491.694,-44.9998,2,1,0.543072
577.727,-52.8735,2,1,0.535323
509.429,-46.623,2,1,0.429315
506.36,-46.3421,2,1,0.261979
407.983,-37.3386,2,1,0.0282562
330.841,-30.2786,2,1,0
347.928,-31.8424,2,1,0
323.484,-29.6052,2,1,0
323.484,-29.6052,2,1,0
299.041,-21.6864,1,1,0
274.595,-19.9136,1,1,0
250.151,-18.1409,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
463.57,-33.6181,1,1,0
614.615,-44.5719,1,1,0.0917237
1138.6,-104.205,2,1,0.314224
1191.2,-109.019,2,1,0.491759
1247.16,-114.14,2,1,0.552099
1331.76,-121.883,2,1,0.51155
1297.54,-118.751,2,1,0.478849
1347.91,-123.361,2,1,0.526627
1354.03,-123.921,2,1,0.307738
1359.78,-124.447,2,1,0.20183
1408.8,-128.934,2,1,0.0150969
1326.9,-121.438,2,1,0
1120.36,-102.535,2,1,0
997.653,-91.3052,2,1,0
768.302,-70.315,2,1,0
667.537,-48.4098,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.764,-31.1665,1,1,0
528.216,-38.3062,1,1,0.00459584
1050.66,-96.156,2,1,0.219503
1174.06,-107.45,2,1,0.401331
1247.2,-114.144,2,1,0.522313
1334.39,-122.123,2,1,0.577845
1305.09,-119.442,2,1,0.569417
1359.31,-124.404,2,1,0.506392
1365.42,-124.963,2,1,0.377877
1370.85,-125.46,2,1,0.193424
1420.83,-130.035,2,1,0.0015657
1339.43,-122.585,2,1,0
1153.31,-105.551,2,1,0
1094.99,-100.213,2,1,0
816.826,-74.7559,2,1,0
750.78,-54.4465,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
432.407,-31.3581,1,1,0
528.237,-38.3078,1,1,0.0128825
1050.65,-96.1554,2,1,0.25529
1013.94,-92.7961,2,1,0.424509
965.867,-88.3962,2,1,0.528941
1098.17,-100.505,2,1,0.571015
1193.44,-109.224,2,1,0.561805
1363.76,-124.811,2,1,0.52787
1380.32,-126.327,2,1,0.415692
1388.97,-127.118,2,1,0.225551
1439.74,-131.765,2,1,0.00603412
1350.87,-123.631,2,1,0
1145.5,-104.837,2,1,0
1033.33,-94.5707,2,1,0
814.417,-74.5355,2,1,0
684.984,-49.675,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.784,-31.1679,1,1,0
528.218,-38.3064,1,1,0.00114905
1050.65,-96.1554,2,1,0.151237
1014.01,-92.8019,2,1,0.184032
1069.46,-97.8768,2,1,0.291454
1198.12,-109.652,2,1,0.250332
1257.83,-115.116,2,1,0.143321
1335.48,-122.223,2,1,0.173461
1340.98,-122.727,2,1,0.158071
1338.6,-122.509,2,1,0.108633
1385.9,-126.838,2,1,1.28E-05
1278.03,-116.965,2,1,0
993.21,-90.8986,2,1,0
872.555,-79.8563,2,1,0
663.63,-60.7354,2,1,0
632.746,-45.8867,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
430.005,-31.184,1,1,0
528.253,-38.3089,1,1,0.0691284
1050.71,-76.1978,1,1,0.305676
1013.96,-73.5321,1,1,0.494384
965.479,-70.0165,1,1,0.599253
1105.13,-80.1443,1,1,0.647947
1163.81,-84.3996,1,1,0.643658
1315.59,-95.4062,1,1,0.59491
1343.57,-97.4358,1,1,0.483888
1351.23,-97.991,1,1,0.292948
1402.22,-101.689,1,1,0.0462672
1318.78,-95.6382,1,1,0
1098.2,-79.6413,1,1,0
953.471,-69.1457,1,1,0
711.658,-51.6094,1,1,0
583.469,-42.3132,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.141,1,1,0
274.597,-19.9138,1,1,0
436.3,-31.6404,1,1,0
428.562,-31.0793,1,1,0.00126719
652.007,-47.2835,1,1,0.229996
615.284,-44.6204,1,1,0.404443
667.36,-48.397,1,1,0.530736
830.707,-60.2429,1,1,0.600115
950.418,-68.9243,1,1,0.619171
975.139,-70.7171,1,1,0.55804
741.613,-53.7818,1,1,0.437108
761.775,-55.2439,1,1,0.238779
821.732,-59.592,1,1,0.00704464
796.307,-57.7482,1,1,0
347.93,-25.2319,1,1,0
323.485,-23.4592,1,1,0
323.485,-23.4592,1,1,0
299.042,-21.6865,1,1,0
274.596,-19.9137,1,1,0
250.151,-18.141,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.1409,1,1,0
274.596,-19.9137,1,1,0
323.484,-23.4591,1,1,0
322.297,-23.373,1,1,0.035003
296.666,-27.1509,2,1,0.290336
260,-23.7952,2,1,0.47389
434.754,-39.7887,2,1,0.587166
614.816,-56.268,2,1,0.638518
573.125,-52.4524,2,1,0.635684
643.81,-58.9215,2,1,0.574941
601.828,-55.0793,2,1,0.456826
665.709,-60.9257,2,1,0.266898
653.961,-59.8505,2,1,0.0238236
764.435,-69.9611,2,1,0
429.581,-39.3153,2,1,0
323.484,-29.6052,2,1,0
323.484,-29.6052,2,1,0
299.041,-21.6864,1,1,0
274.595,-19.9136,1,1,0
250.151,-18.1409,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
557.665,-40.4418,1,1,0
606.242,-43.9647,1,1,0.0995076
1163.92,-106.522,2,1,0.327348
1278.58,-117.016,2,1,0.505576
1356.1,-124.11,2,1,0.603122
1385.29,-126.782,2,1,0.596505
1354.37,-123.952,2,1,0.558641
1420.41,-129.996,2,1,0.474963
1433.67,-131.21,2,1,0.403767
1438.29,-131.632,2,1,0.281482
1488.68,-136.244,2,1,0.0298969
1389.17,-127.136,2,1,0
1203.9,-110.181,2,1,0
1169.88,-107.067,2,1,0
1011.51,-92.5732,2,1,0
935.181,-67.8193,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
602.705,-43.7081,1,1,0
685.353,-49.7018,1,1,0.00510662
1229.45,-112.52,2,1,0.223945
1298.93,-118.878,2,1,0.385221
1363.59,-124.796,2,1,0.504623
1392.03,-127.399,2,1,0.567495
1359.49,-124.421,2,1,0.547168
1429.25,-130.805,2,1,0.508424
1444.98,-132.245,2,1,0.403992
1446.21,-132.357,2,1,0.225147
1494.75,-136.8,2,1,0.00705889
1398.63,-128.003,2,1,0
1216.68,-111.35,2,1,0
1171.46,-107.212,2,1,0
1007.82,-92.2359,2,1,0
889.504,-64.5068,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
478.537,-34.7035,1,1,0
621.873,-45.0982,1,1,0.0352951
1307.85,-119.694,2,1,0.143298
1398.38,-127.98,2,1,0.423339
1370.81,-125.457,2,1,0.437898
1393.62,-127.544,2,1,0.566935
1365.32,-124.954,2,1,0.500026
1428.45,-130.732,2,1,0.488099
1444.28,-132.18,2,1,0.381746
1455.62,-133.218,2,1,0.274418
1505.22,-137.757,2,1,0.0352616
1394.86,-127.658,2,1,0
1189.48,-108.861,2,1,0
1148.05,-105.07,2,1,0
977.614,-89.4713,2,1,0
833.08,-60.415,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
430.85,-31.2453,1,1,0
528.108,-38.2984,1,1,0.0441257
1057.1,-96.7462,2,1,0.291475
1150.24,-105.27,2,1,0.466032
1299.44,-118.925,2,1,0.597053
1370.81,-125.456,2,1,0.642619
1339.14,-122.558,2,1,0.637572
