parameter 
	 ePrice(T) 
			 / 
		1	0.0725
		2	0.0725
		3	0.0725
		4	0.0725
		5	0.0725
		6	0.0725
		7	0.0725
		8	0.0725
		9	0.0915
		10	0.0915
		11	0.0915
		12	0.0915
		13	0.0915
		14	0.0915
		15	0.0915
		16	0.0915
		17	0.0915
		18	0.0915
		19	0.0915
		20	0.0915
		21	0.0915
		22	0.0725
		23	0.0725
		24	0.0725
		25	0.0725
		26	0.0725
		27	0.0725
		28	0.0725
		29	0.0725
		30	0.0725
		31	0.0725
		32	0.0725
		33	0.0915
		34	0.0915
		35	0.0915
		36	0.0915
		37	0.0915
		38	0.0915
		39	0.0915
		40	0.0915
		41	0.0915
		42	0.0915
		43	0.0915
		44	0.0915
		45	0.0915
		46	0.0725
		47	0.0725
		48	0.0725
		49	0.0725
		50	0.0725
		51	0.0725
		52	0.0725
		53	0.0725
		54	0.0725
		55	0.0725
		56	0.0725
		57	0.0915
		58	0.0915
		59	0.0915
		60	0.0915
		61	0.0915
		62	0.0915
		63	0.0915
		64	0.0915
		65	0.0915
		66	0.0915
		67	0.0915
		68	0.0915
		69	0.0915
		70	0.0725
		71	0.0725
		72	0.0725
		73	0.0725
		74	0.0725
		75	0.0725
		76	0.0725
		77	0.0725
		78	0.0725
		79	0.0725
		80	0.0725
		81	0.0915
		82	0.0915
		83	0.0915
		84	0.0915
		85	0.0915
		86	0.0915
		87	0.0915
		88	0.0915
		89	0.0915
		90	0.0915
		91	0.0915
		92	0.0915
		93	0.0915
		94	0.0725
		95	0.0725
		96	0.0725
		97	0.0725
		98	0.0725
		99	0.0725
		100	0.0725
		101	0.0725
		102	0.0725
		103	0.0725
		104	0.0725
		105	0.0915
		106	0.0915
		107	0.0915
		108	0.0915
		109	0.0915
		110	0.0915
		111	0.0915
		112	0.0915
		113	0.0915
		114	0.0915
		115	0.0915
		116	0.0915
		117	0.0915
		118	0.0725
		119	0.0725
		120	0.0725
		121	0.0725
		122	0.0725
		123	0.0725
		124	0.0725
		125	0.0725
		126	0.0725
		127	0.0725
		128	0.0725
		129	0.0725
		130	0.0725
		131	0.0725
		132	0.0725
		133	0.0725
		134	0.0725
		135	0.0725
		136	0.0725
		137	0.0725
		138	0.0725
		139	0.0725
		140	0.0725
		141	0.0725
		142	0.0725
		143	0.0725
		144	0.0725
		145	0.0725
		146	0.0725
		147	0.0725
		148	0.0725
		149	0.0725
		150	0.0725
		151	0.0725
		152	0.0725
		153	0.0725
		154	0.0725
		155	0.0725
		156	0.0725
		157	0.0725
		158	0.0725
		159	0.0725
		160	0.0725
		161	0.0725
		162	0.0725
		163	0.0725
		164	0.0725
		165	0.0725
		166	0.0725
		167	0.0725
		168	0.0725
		169	0.0725
		170	0.0725
		171	0.0725
		172	0.0725
		173	0.0725
		174	0.0725
		175	0.0725
		176	0.0725
		177	0.0915
		178	0.0915
		179	0.0915
		180	0.0915
		181	0.0915
		182	0.0915
		183	0.0915
		184	0.0915
		185	0.0915
		186	0.0915
		187	0.0915
		188	0.0915
		189	0.0915
		190	0.0725
		191	0.0725
		192	0.0725
		193	0.0725
		194	0.0725
		195	0.0725
		196	0.0725
		197	0.0725
		198	0.0725
		199	0.0725
		200	0.0725
		201	0.0915
		202	0.0915
		203	0.0915
		204	0.0915
		205	0.0915
		206	0.0915
		207	0.0915
		208	0.0915
		209	0.0915
		210	0.0915
		211	0.0915
		212	0.0915
		213	0.0915
		214	0.0725
		215	0.0725
		216	0.0725
		217	0.0725
		218	0.0725
		219	0.0725
		220	0.0725
		221	0.0725
		222	0.0725
		223	0.0725
		224	0.0725
		225	0.0915
		226	0.0915
		227	0.0915
		228	0.0915
		229	0.0915
		230	0.0915
		231	0.0915
		232	0.0915
		233	0.0915
		234	0.0915
		235	0.0915
		236	0.0915
		237	0.0915
		238	0.0725
		239	0.0725
		240	0.0725
		241	0.0725
		242	0.0725
		243	0.0725
		244	0.0725
		245	0.0725
		246	0.0725
		247	0.0725
		248	0.0725
		249	0.0915
		250	0.0915
		251	0.0915
		252	0.0915
		253	0.0915
		254	0.0915
		255	0.0915
		256	0.0915
		257	0.0915
		258	0.0915
		259	0.0915
		260	0.0915
		261	0.0915
		262	0.0725
		263	0.0725
		264	0.0725
		265	0.0725
		266	0.0725
		267	0.0725
		268	0.0725
		269	0.0725
		270	0.0725
		271	0.0725
		272	0.0725
		273	0.0915
		274	0.0915
		275	0.0915
		276	0.0915
		277	0.0915
		278	0.0915
		279	0.0915
		280	0.0915
		281	0.0915
		282	0.0915
		283	0.0915
		284	0.0915
		285	0.0915
		286	0.0725
		287	0.0725
		288	0.0725
		289	0.0725
		290	0.0725
		291	0.0725
		292	0.0725
		293	0.0725
		294	0.0725
		295	0.0725
		296	0.0725
		297	0.0725
		298	0.0725
		299	0.0725
		300	0.0725
		301	0.0725
		302	0.0725
		303	0.0725
		304	0.0725
		305	0.0725
		306	0.0725
		307	0.0725
		308	0.0725
		309	0.0725
		310	0.0725
		311	0.0725
		312	0.0725
		313	0.0725
		314	0.0725
		315	0.0725
		316	0.0725
		317	0.0725
		318	0.0725
		319	0.0725
		320	0.0725
		321	0.0725
		322	0.0725
		323	0.0725
		324	0.0725
		325	0.0725
		326	0.0725
		327	0.0725
		328	0.0725
		329	0.0725
		330	0.0725
		331	0.0725
		332	0.0725
		333	0.0725
		334	0.0725
		335	0.0725
		336	0.0725
		337	0.0725
		338	0.0725
		339	0.0725
		340	0.0725
		341	0.0725
		342	0.0725
		343	0.0725
		344	0.0725
		345	0.0915
		346	0.0915
		347	0.0915
		348	0.0915
		349	0.0915
		350	0.0915
		351	0.0915
		352	0.0915
		353	0.0915
		354	0.0915
		355	0.0915
		356	0.0915
		357	0.0915
		358	0.0725
		359	0.0725
		360	0.0725
		361	0.0725
		362	0.0725
		363	0.0725
		364	0.0725
		365	0.0725
		366	0.0725
		367	0.0725
		368	0.0725
		369	0.0915
		370	0.0915
		371	0.0915
		372	0.0915
		373	0.0915
		374	0.0915
		375	0.0915
		376	0.0915
		377	0.0915
		378	0.0915
		379	0.0915
		380	0.0915
		381	0.0915
		382	0.0725
		383	0.0725
		384	0.0725
		385	0.0725
		386	0.0725
		387	0.0725
		388	0.0725
		389	0.0725
		390	0.0725
		391	0.0725
		392	0.0725
		393	0.0915
		394	0.0915
		395	0.0915
		396	0.0915
		397	0.0915
		398	0.0915
		399	0.0915
		400	0.0915
		401	0.0915
		402	0.0915
		403	0.0915
		404	0.0915
		405	0.0915
		406	0.0725
		407	0.0725
		408	0.0725
		409	0.0725
		410	0.0725
		411	0.0725
		412	0.0725
		413	0.0725
		414	0.0725
		415	0.0725
		416	0.0725
		417	0.0915
		418	0.0915
		419	0.0915
		420	0.0915
		421	0.0915
		422	0.0915
