control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,developable_roof_sqft,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,interconnection_limit,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias,elevation,unsub_cost,departamento,agent_id
EDCD,27,103,URIBIA,res,estrato_1,560.79919,2578,17869751,6931.63,9385.328,577.6358333,1000,1,1,0.6,small,15,34,0.126177799,LA GUAJIRA,0
EDCD,27,530,MANAURE,res,estrato_1,560.79919,2684,10652966,3969.06,5595.018,330.755,1000,1,1,0.6,small,15,13,0.126177799,LA GUAJIRA,1
EDCD,27,767,MAICAO,res,estrato_1,560.79919,18445,87004286,4716.96,45695.306,393.08,1000,1,1,0.6,small,15,24,0.126177799,LA GUAJIRA,2
EDCD,27,525,RIOHACHA,res,estrato_1,560.79919,27839,94102962,3380.26,49423.584,281.6883333,1000,1,1,0.6,small,15,172,0.126177799,LA GUAJIRA,3
EDCD,27,525,RIOHACHA,res,estrato_1,560.79919,18,410358,22797.67,215.523,1899.805833,1000,1,1,0.6,small,15,172,0.126177799,LA GUAJIRA,4
EDCD,27,62,DIBULLA,res,estrato_1,560.79919,2707,10184480,3762.28,5348.966,313.5233333,1000,1,1,0.6,small,15,681,0.126177799,LA GUAJIRA,5
EDCD,27,62,DIBULLA,res,estrato_1,560.79919,74,162923,2201.66,85.568,183.4716667,1000,1,1,0.6,small,15,681,0.126177799,LA GUAJIRA,6
EDCD,27,585,SANTA MARTA,res,estrato_1,560.79919,62094,271275267.6,4368.78,142475.811,364.065,1000,1,1,0.6,small,15,888,0.126177799,MAGDALENA,7
EDCD,27,754,HATONUEVO,res,estrato_1,560.79919,2594,9783087,3771.43,5138.151,314.2858333,1000,1,1,0.6,small,15,132,0.126177799,LA GUAJIRA,8
EDCD,27,4,BARRANCAS,res,estrato_1,560.79919,4469,15907721.99,3559.57,8354.855,296.6308333,1000,1,1,0.6,small,15,261,0.126177799,LA GUAJIRA,9
EDCD,27,920,CIENAGA,res,estrato_1,560.79919,14094,63798762,4526.66,33507.59,377.2216667,1000,1,1,0.6,small,15,409,0.126177799,MAGDALENA,10
EDCD,27,10,BARRANQUILLA,res,estrato_1,560.79919,121860,537682792,4412.3,282395.047,367.6916667,1000,1,1,0.6,small,15,20,0.126177799,ATLANTICO,11
EDCD,27,794,SITIONUEVO,res,estrato_1,560.79919,5179,24342121.5,4700.16,12784.665,391.68,1000,1,1,0.6,small,15,2,0.126177799,MAGDALENA,12
EDCD,27,169,PUERTO COLOMBIA,res,estrato_1,560.79919,4492,13713031,3052.77,7202.187,254.3975,1000,1,1,0.6,small,15,18,0.126177799,ATLANTICO,13
EDCD,27,393,DISTRACCION,res,estrato_1,560.79919,723,1865723,2580.53,979.892,215.0441667,1000,1,1,0.6,small,15,226,0.126177799,LA GUAJIRA,14
EDCD,27,393,DISTRACCION,res,estrato_1,560.79919,597,2423245,4059.04,1272.707,338.2533333,1000,1,1,0.6,small,15,226,0.126177799,LA GUAJIRA,15
EDCD,27,431,FONSECA,res,estrato_1,560.79919,6589,22791661,3459.05,11970.352,288.2541667,1000,1,1,0.6,small,15,247,0.126177799,LA GUAJIRA,16
EDCD,27,702,SAN JUAN DEL CESAR,res,estrato_1,560.79919,5909,20460371,3462.58,10745.941,288.5483333,1000,1,1,0.6,small,15,393,0.126177799,LA GUAJIRA,17
EDCD,27,1013,PUEBLOVIEJO,res,estrato_1,560.79919,5216,31560012.5,6050.62,16575.556,504.2183333,1000,1,1,0.6,small,15,1,0.126177799,MAGDALENA,18
EDCD,27,406,TUBARA,res,estrato_1,560.79919,1761,4165913,2365.65,2187.969,197.1375,1000,1,1,0.6,small,15,65,0.126177799,ATLANTICO,19
EDCD,27,101,GALAPA,res,estrato_1,560.79919,9571,44688956,4669.2,23470.976,389.1,1000,1,1,0.6,small,15,54,0.126177799,ATLANTICO,20
EDCD,27,136,SOLEDAD,res,estrato_1,560.79919,81959,369349570,4506.52,193985.173,375.5433333,1000,1,1,0.6,small,15,18,0.126177799,ATLANTICO,21
EDCD,27,453,MALAMBO,res,estrato_1,560.79919,21378,99062715,4633.86,52028.483,386.155,1000,1,1,0.6,small,15,30,0.126177799,ATLANTICO,22
EDCD,27,540,JUAN DE ACOSTA,res,estrato_1,560.79919,2993,10744973,3590.03,5643.341,299.1691667,1000,1,1,0.6,small,15,43,0.126177799,ATLANTICO,23
EDCD,27,926,VALLEDUPAR,res,estrato_1,560.79919,50499,137962636,2731.99,72459.014,227.6658333,1000,1,1,0.6,small,15,368,0.126177799,CESAR,24
EDCD,27,926,VALLEDUPAR,res,estrato_1,560.79919,12,27287,2273.92,14.331,189.4933333,1000,1,1,0.6,small,15,368,0.126177799,CESAR,25
EDCD,27,603,ARACATACA,res,estrato_1,560.79919,5264,12439286,2363.09,6533.207,196.9241667,1000,1,1,0.6,small,15,957,0.126177799,MAGDALENA,26
EDCD,27,789,BARANOA,res,estrato_1,560.79919,8110,19302336,2380.07,10137.732,198.3391667,1000,1,1,0.6,small,15,80,0.126177799,ATLANTICO,27
EDCD,27,954,SABANAGRANDE,res,estrato_1,560.79919,3815,22185283,5815.28,11651.878,484.6066667,1000,1,1,0.6,small,15,8,0.126177799,ATLANTICO,28
EDCD,27,456,POLONUEVO,res,estrato_1,560.79919,2268,5300635,2337.14,2783.933,194.7616667,1000,1,1,0.6,small,15,40,0.126177799,ATLANTICO,29
EDCD,27,407,PIOJO,res,estrato_1,560.79919,942,2374294,2520.48,1246.997,210.04,1000,1,1,0.6,small,15,59,0.126177799,ATLANTICO,30
EDCD,27,241,USIACURI,res,estrato_1,560.79919,1283,2251758,1755.07,1182.64,146.2558333,1000,1,1,0.6,small,15,69,0.126177799,ATLANTICO,31
EDCD,27,1052,SANTA CATALINA,res,estrato_1,560.79919,3547,8710259,2455.67,4574.694,204.6391667,1000,1,1,0.6,small,15,11,0.126177799,BOLIVAR,32
EDCD,27,346,SANTO TOMAS,res,estrato_1,560.79919,2590,11008865,4250.53,5781.939,354.2108333,1000,1,1,0.6,small,15,15,0.126177799,ATLANTICO,33
EDCD,27,628,PALMAR DE VARELA,res,estrato_1,560.79919,3159,10414599,3296.8,5469.826,274.7333333,1000,1,1,0.6,small,15,9,0.126177799,ATLANTICO,34
EDCD,27,152,EL RETEN,res,estrato_1,560.79919,3839,9634661,2509.68,5060.196,209.14,1000,1,1,0.6,small,15,5,0.126177799,MAGDALENA,35
EDCD,27,631,REMOLINO,res,estrato_1,560.79919,1755,5052794,2879.08,2653.765,239.9233333,1000,1,1,0.6,small,15,3,0.126177799,MAGDALENA,36
EDCD,27,448,SABANALARGA,res,estrato_1,560.79919,13134,36431945,2773.87,19134.332,231.1558333,1000,1,1,0.6,small,15,54,0.126177799,ATLANTICO,37
EDCD,27,448,SABANALARGA,res,estrato_1,560.79919,56,178315,3184.2,93.652,265.35,1000,1,1,0.6,small,15,54,0.126177799,ATLANTICO,38
EDCD,27,14,PONEDERA,res,estrato_1,560.79919,3017,10760841,3566.74,5651.675,297.2283333,1000,1,1,0.6,small,15,12,0.126177799,ATLANTICO,39
EDCD,27,364,LURUACO,res,estrato_1,560.79919,4874,13864106,2844.5,7281.533,237.0416667,1000,1,1,0.6,small,15,51,0.126177799,ATLANTICO,40
EDCD,27,691,PUEBLO BELLO,res,estrato_1,560.79919,2428,4610096,1898.72,2421.257,158.2266667,1000,1,1,0.6,small,15,436,0.126177799,CESAR,41
EDCD,27,322,PIVIJAY,res,estrato_1,560.79919,4401,8458987,1922.06,4442.724,160.1716667,1000,1,1,0.6,small,15,32,0.126177799,MAGDALENA,42
EDCD,27,322,PIVIJAY,res,estrato_1,560.79919,2541,8271466,3255.2,4344.236,271.2666667,1000,1,1,0.6,small,15,32,0.126177799,MAGDALENA,43
