sector_abbr,control_reg_id,nem_system_size_limit_kw,year
res,1,1000,2015
res,1,1000,2016
res,1,1000,2017
res,1,1000,2018
res,1,1000,2019
res,1,1000,2020
res,1,1000,2021
res,1,1000,2022
res,1,1000,2023
res,1,1000,2024
res,1,1000,2025
res,1,1000,2026
res,1,1000,2027
res,1,1000,2028
res,1,1000,2029
res,1,1000,2030
res,1,1000,2031
res,1,1000,2032
res,1,1000,2033
res,1,1000,2034
res,1,1000,2035
res,1,1000,2036
res,1,1000,2037
res,1,1000,2038
res,1,1000,2039
res,1,1000,2040
res,1,1000,2041
res,1,1000,2042
res,1,1000,2043
res,1,1000,2044
res,1,1000,2045
res,1,1000,2046
res,1,1000,2047
res,1,1000,2048
res,1,1000,2049
res,1,1000,2050
res,2,1000,2015
res,2,1000,2016
res,2,1000,2017
res,2,1000,2018
res,2,1000,2019
res,2,1000,2020
res,2,1000,2021
res,2,1000,2022
res,2,1000,2023
res,2,1000,2024
res,2,1000,2025
res,2,1000,2026
res,2,1000,2027
res,2,1000,2028
res,2,1000,2029
res,2,1000,2030
res,2,1000,2031
res,2,1000,2032
res,2,1000,2033
res,2,1000,2034
res,2,1000,2035
res,2,1000,2036
res,2,1000,2037
res,2,1000,2038
res,2,1000,2039
res,2,1000,2040
res,2,1000,2041
res,2,1000,2042
res,2,1000,2043
res,2,1000,2044
res,2,1000,2045
res,2,1000,2046
res,2,1000,2047
res,2,1000,2048
res,2,1000,2049
res,2,1000,2050
res,3,1000,2015
res,3,1000,2016
res,3,1000,2017
res,3,1000,2018
res,3,1000,2019
res,3,1000,2020
res,3,1000,2021
res,3,1000,2022
res,3,1000,2023
res,3,1000,2024
res,3,1000,2025
res,3,1000,2026
res,3,1000,2027
res,3,1000,2028
res,3,1000,2029
res,3,1000,2030
res,3,1000,2031
res,3,1000,2032
res,3,1000,2033
res,3,1000,2034
res,3,1000,2035
res,3,1000,2036
res,3,1000,2037
res,3,1000,2038
res,3,1000,2039
res,3,1000,2040
res,3,1000,2041
res,3,1000,2042
res,3,1000,2043
res,3,1000,2044
res,3,1000,2045
res,3,1000,2046
res,3,1000,2047
res,3,1000,2048
res,3,1000,2049
res,3,1000,2050
res,4,1000,2015
res,4,1000,2016
res,4,1000,2017
res,4,1000,2018
res,4,1000,2019
res,4,1000,2020
res,4,1000,2021
res,4,1000,2022
res,4,1000,2023
res,4,1000,2024
res,4,1000,2025
res,4,1000,2026
res,4,1000,2027
res,4,1000,2028
res,4,1000,2029
res,4,1000,2030
res,4,1000,2031
res,4,1000,2032
res,4,1000,2033
res,4,1000,2034
res,4,1000,2035
res,4,1000,2036
res,4,1000,2037
res,4,1000,2038
res,4,1000,2039
res,4,1000,2040
res,4,1000,2041
res,4,1000,2042
res,4,1000,2043
res,4,1000,2044
res,4,1000,2045
res,4,1000,2046
res,4,1000,2047
res,4,1000,2048
res,4,1000,2049
res,4,1000,2050
res,5,1000,2015
res,5,1000,2016
res,5,1000,2017
res,5,1000,2018
res,5,1000,2019
res,5,1000,2020
res,5,1000,2021
res,5,1000,2022
res,5,1000,2023
res,5,1000,2024
res,5,1000,2025
res,5,1000,2026
res,5,1000,2027
res,5,1000,2028
res,5,1000,2029
res,5,1000,2030
res,5,1000,2031
res,5,1000,2032
res,5,1000,2033
res,5,1000,2034
res,5,1000,2035
res,5,1000,2036
res,5,1000,2037
res,5,1000,2038
res,5,1000,2039
res,5,1000,2040
res,5,1000,2041
res,5,1000,2042
res,5,1000,2043
res,5,1000,2044
res,5,1000,2045
res,5,1000,2046
res,5,1000,2047
res,5,1000,2048
res,5,1000,2049
res,5,1000,2050
res,6,1000,2015
res,6,1000,2016
res,6,1000,2017
res,6,1000,2018
res,6,1000,2019
res,6,1000,2020
res,6,1000,2021
res,6,1000,2022
res,6,1000,2023
res,6,1000,2024
res,6,1000,2025
res,6,1000,2026
res,6,1000,2027
res,6,1000,2028
res,6,1000,2029
res,6,1000,2030
res,6,1000,2031
res,6,1000,2032
res,6,1000,2033
res,6,1000,2034
res,6,1000,2035
res,6,1000,2036
res,6,1000,2037
res,6,1000,2038
res,6,1000,2039
res,6,1000,2040
res,6,1000,2041
res,6,1000,2042
res,6,1000,2043
res,6,1000,2044
res,6,1000,2045
res,6,1000,2046
res,6,1000,2047
res,6,1000,2048
res,6,1000,2049
res,6,1000,2050
res,7,1000,2015
res,7,1000,2016
res,7,1000,2017
res,7,1000,2018
res,7,1000,2019
res,7,1000,2020
res,7,1000,2021
res,7,1000,2022
res,7,1000,2023
res,7,1000,2024
res,7,1000,2025
res,7,1000,2026
res,7,1000,2027
res,7,1000,2028
res,7,1000,2029
res,7,1000,2030
res,7,1000,2031
res,7,1000,2032
res,7,1000,2033
res,7,1000,2034
res,7,1000,2035
res,7,1000,2036
res,7,1000,2037
res,7,1000,2038
res,7,1000,2039
res,7,1000,2040
res,7,1000,2041
res,7,1000,2042
res,7,1000,2043
res,7,1000,2044
res,7,1000,2045
res,7,1000,2046
res,7,1000,2047
res,7,1000,2048
res,7,1000,2049
res,7,1000,2050
res,8,1000,2015
res,8,1000,2016
res,8,1000,2017
res,8,1000,2018
res,8,1000,2019
res,8,1000,2020
res,8,1000,2021
res,8,1000,2022
res,8,1000,2023
res,8,1000,2024
res,8,1000,2025
res,8,1000,2026
res,8,1000,2027
res,8,1000,2028
res,8,1000,2029
res,8,1000,2030
res,8,1000,2031
res,8,1000,2032
res,8,1000,2033
res,8,1000,2034
res,8,1000,2035
res,8,1000,2036
res,8,1000,2037
res,8,1000,2038
res,8,1000,2039
res,8,1000,2040
res,8,1000,2041
res,8,1000,2042
res,8,1000,2043
res,8,1000,2044
res,8,1000,2045
res,8,1000,2046
res,8,1000,2047
res,8,1000,2048
res,8,1000,2049
res,8,1000,2050
res,9,1000,2015
res,9,1000,2016
res,9,1000,2017
res,9,1000,2018
res,9,1000,2019
res,9,1000,2020
res,9,1000,2021
res,9,1000,2022
res,9,1000,2023
res,9,1000,2024
res,9,1000,2025
res,9,1000,2026
res,9,1000,2027
res,9,1000,2028
res,9,1000,2029
res,9,1000,2030
res,9,1000,2031
res,9,1000,2032
res,9,1000,2033
res,9,1000,2034
res,9,1000,2035
res,9,1000,2036
res,9,1000,2037
res,9,1000,2038
res,9,1000,2039
res,9,1000,2040
res,9,1000,2041
res,9,1000,2042
res,9,1000,2043
res,9,1000,2044
res,9,1000,2045
res,9,1000,2046
res,9,1000,2047
res,9,1000,2048
res,9,1000,2049
res,9,1000,2050
res,10,1000,2015
res,10,1000,2016
res,10,1000,2017
res,10,1000,2018
res,10,1000,2019
res,10,1000,2020
res,10,1000,2021
res,10,1000,2022
res,10,1000,2023
res,10,1000,2024
res,10,1000,2025
res,10,1000,2026
res,10,1000,2027
res,10,1000,2028
res,10,1000,2029
res,10,1000,2030
res,10,1000,2031
res,10,1000,2032
res,10,1000,2033
res,10,1000,2034
res,10,1000,2035
res,10,1000,2036
res,10,1000,2037
res,10,1000,2038
res,10,1000,2039
res,10,1000,2040
res,10,1000,2041
res,10,1000,2042
res,10,1000,2043
res,10,1000,2044
res,10,1000,2045
res,10,1000,2046
res,10,1000,2047
res,10,1000,2048
res,10,1000,2049
res,10,1000,2050
res,11,1000,2015
res,11,1000,2016
res,11,1000,2017
res,11,1000,2018
res,11,1000,2019
res,11,1000,2020
res,11,1000,2021
res,11,1000,2022
res,11,1000,2023
res,11,1000,2024
res,11,1000,2025
res,11,1000,2026
res,11,1000,2027
res,11,1000,2028
res,11,1000,2029
res,11,1000,2030
res,11,1000,2031
res,11,1000,2032
res,11,1000,2033
res,11,1000,2034
res,11,1000,2035
res,11,1000,2036
res,11,1000,2037
res,11,1000,2038
res,11,1000,2039
res,11,1000,2040
res,11,1000,2041
res,11,1000,2042
res,11,1000,2043
res,11,1000,2044
res,11,1000,2045
res,11,1000,2046
res,11,1000,2047
res,11,1000,2048
res,11,1000,2049
res,11,1000,2050
res,12,1000,2015
res,12,1000,2016
res,12,1000,2017
res,12,1000,2018
res,12,1000,2019
res,12,1000,2020
res,12,1000,2021
res,12,1000,2022
res,12,1000,2023
res,12,1000,2024
res,12,1000,2025
res,12,1000,2026
res,12,1000,2027
res,12,1000,2028
res,12,1000,2029
res,12,1000,2030
res,12,1000,2031
res,12,1000,2032
res,12,1000,2033
res,12,1000,2034
res,12,1000,2035
res,12,1000,2036
res,12,1000,2037
res,12,1000,2038
res,12,1000,2039
res,12,1000,2040
res,12,1000,2041
res,12,1000,2042
res,12,1000,2043
res,12,1000,2044
res,12,1000,2045
res,12,1000,2046
res,12,1000,2047
res,12,1000,2048
res,12,1000,2049
res,12,1000,2050
res,13,1000,2015
res,13,1000,2016
res,13,1000,2017
res,13,1000,2018
res,13,1000,2019
res,13,1000,2020
res,13,1000,2021
res,13,1000,2022
res,13,1000,2023
res,13,1000,2024
res,13,1000,2025
res,13,1000,2026
res,13,1000,2027
res,13,1000,2028
res,13,1000,2029
res,13,1000,2030
res,13,1000,2031
res,13,1000,2032
res,13,1000,2033
res,13,1000,2034
res,13,1000,2035
res,13,1000,2036
res,13,1000,2037
res,13,1000,2038
res,13,1000,2039
res,13,1000,2040
res,13,1000,2041
res,13,1000,2042
res,13,1000,2043
res,13,1000,2044
res,13,1000,2045
res,13,1000,2046
res,13,1000,2047
res,13,1000,2048
res,13,1000,2049
res,13,1000,2050
res,14,1000,2015
res,14,1000,2016
res,14,1000,2017
res,14,1000,2018
res,14,1000,2019
res,14,1000,2020
res,14,1000,2021
res,14,1000,2022
res,14,1000,2023
res,14,1000,2024
res,14,1000,2025
res,14,1000,2026
res,14,1000,2027
res,14,1000,2028
res,14,1000,2029
res,14,1000,2030
res,14,1000,2031
res,14,1000,2032
res,14,1000,2033
res,14,1000,2034
res,14,1000,2035
res,14,1000,2036
res,14,1000,2037
res,14,1000,2038
res,14,1000,2039
res,14,1000,2040
res,14,1000,2041
res,14,1000,2042
res,14,1000,2043
res,14,1000,2044
res,14,1000,2045
res,14,1000,2046
res,14,1000,2047
res,14,1000,2048
res,14,1000,2049
res,14,1000,2050
res,15,1000,2015
res,15,1000,2016
res,15,1000,2017
res,15,1000,2018
res,15,1000,2019
res,15,1000,2020
res,15,1000,2021
res,15,1000,2022
res,15,1000,2023
res,15,1000,2024
res,15,1000,2025
res,15,1000,2026
res,15,1000,2027
res,15,1000,2028
res,15,1000,2029
res,15,1000,2030
res,15,1000,2031
res,15,1000,2032
res,15,1000,2033
res,15,1000,2034
res,15,1000,2035
res,15,1000,2036
res,15,1000,2037
res,15,1000,2038
res,15,1000,2039
res,15,1000,2040
res,15,1000,2041
res,15,1000,2042
res,15,1000,2043
res,15,1000,2044
res,15,1000,2045
res,15,1000,2046
res,15,1000,2047
res,15,1000,2048
res,15,1000,2049
res,15,1000,2050
res,16,1000,2015
res,16,1000,2016
res,16,1000,2017
res,16,1000,2018
res,16,1000,2019
res,16,1000,2020
res,16,1000,2021
res,16,1000,2022
res,16,1000,2023
res,16,1000,2024
res,16,1000,2025
res,16,1000,2026
res,16,1000,2027
res,16,1000,2028
res,16,1000,2029
res,16,1000,2030
res,16,1000,2031
res,16,1000,2032
res,16,1000,2033
res,16,1000,2034
res,16,1000,2035
res,16,1000,2036
res,16,1000,2037
res,16,1000,2038
res,16,1000,2039
res,16,1000,2040
res,16,1000,2041
res,16,1000,2042
res,16,1000,2043
res,16,1000,2044
res,16,1000,2045
res,16,1000,2046
res,16,1000,2047
res,16,1000,2048
res,16,1000,2049
res,16,1000,2050
res,17,1000,2015
res,17,1000,2016
res,17,1000,2017
res,17,1000,2018
res,17,1000,2019
res,17,1000,2020
res,17,1000,2021
res,17,1000,2022
res,17,1000,2023
res,17,1000,2024
res,17,1000,2025
res,17,1000,2026
res,17,1000,2027
res,17,1000,2028
res,17,1000,2029
res,17,1000,2030
res,17,1000,2031
res,17,1000,2032
res,17,1000,2033
res,17,1000,2034
res,17,1000,2035
res,17,1000,2036
res,17,1000,2037
res,17,1000,2038
res,17,1000,2039
res,17,1000,2040
res,17,1000,2041
res,17,1000,2042
res,17,1000,2043
res,17,1000,2044
res,17,1000,2045
res,17,1000,2046
res,17,1000,2047
res,17,1000,2048
res,17,1000,2049
res,17,1000,2050
res,18,1000,2015
res,18,1000,2016
res,18,1000,2017
res,18,1000,2018
res,18,1000,2019
res,18,1000,2020
res,18,1000,2021
res,18,1000,2022
res,18,1000,2023
res,18,1000,2024
res,18,1000,2025
res,18,1000,2026
res,18,1000,2027
res,18,1000,2028
res,18,1000,2029
res,18,1000,2030
res,18,1000,2031
res,18,1000,2032
res,18,1000,2033
res,18,1000,2034
res,18,1000,2035
res,18,1000,2036
res,18,1000,2037
res,18,1000,2038
res,18,1000,2039
res,18,1000,2040
res,18,1000,2041
res,18,1000,2042
res,18,1000,2043
res,18,1000,2044
res,18,1000,2045
res,18,1000,2046
res,18,1000,2047
res,18,1000,2048
res,18,1000,2049
res,18,1000,2050
res,19,1000,2015
res,19,1000,2016
res,19,1000,2017
res,19,1000,2018
res,19,1000,2019
res,19,1000,2020
res,19,1000,2021
res,19,1000,2022
res,19,1000,2023
res,19,1000,2024
res,19,1000,2025
res,19,1000,2026
res,19,1000,2027
res,19,1000,2028
res,19,1000,2029
res,19,1000,2030
res,19,1000,2031
res,19,1000,2032
res,19,1000,2033
res,19,1000,2034
res,19,1000,2035
res,19,1000,2036
res,19,1000,2037
res,19,1000,2038
res,19,1000,2039
res,19,1000,2040
res,19,1000,2041
res,19,1000,2042
res,19,1000,2043
res,19,1000,2044
res,19,1000,2045
res,19,1000,2046
res,19,1000,2047
res,19,1000,2048
res,19,1000,2049
res,19,1000,2050
res,20,1000,2015
res,20,1000,2016
res,20,1000,2017
res,20,1000,2018
res,20,1000,2019
res,20,1000,2020
res,20,1000,2021
res,20,1000,2022
res,20,1000,2023
res,20,1000,2024
res,20,1000,2025
res,20,1000,2026
res,20,1000,2027
res,20,1000,2028
res,20,1000,2029
res,20,1000,2030
res,20,1000,2031
res,20,1000,2032
res,20,1000,2033
res,20,1000,2034
res,20,1000,2035
res,20,1000,2036
res,20,1000,2037
res,20,1000,2038
res,20,1000,2039
res,20,1000,2040
res,20,1000,2041
res,20,1000,2042
res,20,1000,2043
res,20,1000,2044
res,20,1000,2045
res,20,1000,2046
res,20,1000,2047
res,20,1000,2048
res,20,1000,2049
res,20,1000,2050
res,21,1000,2015
res,21,1000,2016
res,21,1000,2017
res,21,1000,2018
res,21,1000,2019
res,21,1000,2020
res,21,1000,2021
res,21,1000,2022
res,21,1000,2023
res,21,1000,2024
res,21,1000,2025
res,21,1000,2026
res,21,1000,2027
res,21,1000,2028
res,21,1000,2029
res,21,1000,2030
res,21,1000,2031
res,21,1000,2032
res,21,1000,2033
res,21,1000,2034
res,21,1000,2035
res,21,1000,2036
res,21,1000,2037
res,21,1000,2038
res,21,1000,2039
res,21,1000,2040
res,21,1000,2041
res,21,1000,2042
res,21,1000,2043
res,21,1000,2044
res,21,1000,2045
res,21,1000,2046
res,21,1000,2047
res,21,1000,2048
res,21,1000,2049
res,21,1000,2050
res,22,1000,2015
res,22,1000,2016
res,22,1000,2017
res,22,1000,2018
res,22,1000,2019
res,22,1000,2020
res,22,1000,2021
res,22,1000,2022
res,22,1000,2023
res,22,1000,2024
res,22,1000,2025
res,22,1000,2026
res,22,1000,2027
res,22,1000,2028
res,22,1000,2029
res,22,1000,2030
res,22,1000,2031
res,22,1000,2032
res,22,1000,2033
res,22,1000,2034
res,22,1000,2035
res,22,1000,2036
res,22,1000,2037
res,22,1000,2038
res,22,1000,2039
res,22,1000,2040
res,22,1000,2041
res,22,1000,2042
res,22,1000,2043
res,22,1000,2044
res,22,1000,2045
res,22,1000,2046
res,22,1000,2047
res,22,1000,2048
res,22,1000,2049
res,22,1000,2050
res,23,1000,2015
res,23,1000,2016
res,23,1000,2017
res,23,1000,2018
res,23,1000,2019
res,23,1000,2020
res,23,1000,2021
res,23,1000,2022
res,23,1000,2023
res,23,1000,2024
res,23,1000,2025
res,23,1000,2026
res,23,1000,2027
res,23,1000,2028
res,23,1000,2029
res,23,1000,2030
res,23,1000,2031
res,23,1000,2032
res,23,1000,2033
res,23,1000,2034
res,23,1000,2035
res,23,1000,2036
res,23,1000,2037
res,23,1000,2038
res,23,1000,2039
res,23,1000,2040
res,23,1000,2041
res,23,1000,2042
res,23,1000,2043
res,23,1000,2044
res,23,1000,2045
res,23,1000,2046
res,23,1000,2047
res,23,1000,2048
res,23,1000,2049
res,23,1000,2050
res,24,1000,2015
res,24,1000,2016
res,24,1000,2017
res,24,1000,2018
res,24,1000,2019
res,24,1000,2020
res,24,1000,2021
res,24,1000,2022
res,24,1000,2023
res,24,1000,2024
res,24,1000,2025
res,24,1000,2026
res,24,1000,2027
res,24,1000,2028
res,24,1000,2029
res,24,1000,2030
res,24,1000,2031
res,24,1000,2032
res,24,1000,2033
res,24,1000,2034
res,24,1000,2035
res,24,1000,2036
res,24,1000,2037
res,24,1000,2038
res,24,1000,2039
res,24,1000,2040
res,24,1000,2041
res,24,1000,2042
res,24,1000,2043
res,24,1000,2044
res,24,1000,2045
res,24,1000,2046
res,24,1000,2047
res,24,1000,2048
res,24,1000,2049
res,24,1000,2050
res,25,1000,2015
res,25,1000,2016
res,25,1000,2017
res,25,1000,2018
res,25,1000,2019
res,25,1000,2020
res,25,1000,2021
res,25,1000,2022
res,25,1000,2023
res,25,1000,2024
res,25,1000,2025
res,25,1000,2026
res,25,1000,2027
res,25,1000,2028
res,25,1000,2029
res,25,1000,2030
res,25,1000,2031
res,25,1000,2032
res,25,1000,2033
res,25,1000,2034
res,25,1000,2035
res,25,1000,2036
res,25,1000,2037
res,25,1000,2038
res,25,1000,2039
res,25,1000,2040
res,25,1000,2041
res,25,1000,2042
res,25,1000,2043
res,25,1000,2044
res,25,1000,2045
res,25,1000,2046
res,25,1000,2047
res,25,1000,2048
res,25,1000,2049
res,25,1000,2050
res,26,1000,2015
res,26,1000,2016
res,26,1000,2017
res,26,1000,2018
res,26,1000,2019
res,26,1000,2020
res,26,1000,2021
res,26,1000,2022
res,26,1000,2023
res,26,1000,2024
res,26,1000,2025
res,26,1000,2026
res,26,1000,2027
res,26,1000,2028
res,26,1000,2029
res,26,1000,2030
res,26,1000,2031
res,26,1000,2032
res,26,1000,2033
res,26,1000,2034
res,26,1000,2035
res,26,1000,2036
res,26,1000,2037
res,26,1000,2038
res,26,1000,2039
res,26,1000,2040
res,26,1000,2041
res,26,1000,2042
res,26,1000,2043
res,26,1000,2044
res,26,1000,2045
res,26,1000,2046
res,26,1000,2047
res,26,1000,2048
res,26,1000,2049
res,26,1000,2050
res,27,1000,2015
res,27,1000,2016
res,27,1000,2017
res,27,1000,2018
res,27,1000,2019
res,27,1000,2020
res,27,1000,2021
res,27,1000,2022
res,27,1000,2023
res,27,1000,2024
res,27,1000,2025
res,27,1000,2026
res,27,1000,2027
res,27,1000,2028
res,27,1000,2029
res,27,1000,2030
res,27,1000,2031
res,27,1000,2032
res,27,1000,2033
res,27,1000,2034
res,27,1000,2035
res,27,1000,2036
res,27,1000,2037
res,27,1000,2038
res,27,1000,2039
res,27,1000,2040
res,27,1000,2041
res,27,1000,2042
res,27,1000,2043
res,27,1000,2044
res,27,1000,2045
res,27,1000,2046
res,27,1000,2047
res,27,1000,2048
res,27,1000,2049
res,27,1000,2050
res,28,1000,2015
res,28,1000,2016
res,28,1000,2017
res,28,1000,2018
res,28,1000,2019
res,28,1000,2020
res,28,1000,2021
res,28,1000,2022
res,28,1000,2023
res,28,1000,2024
res,28,1000,2025
res,28,1000,2026
res,28,1000,2027
res,28,1000,2028
res,28,1000,2029
res,28,1000,2030
res,28,1000,2031
res,28,1000,2032
res,28,1000,2033
res,28,1000,2034
res,28,1000,2035
res,28,1000,2036
res,28,1000,2037
res,28,1000,2038
res,28,1000,2039
res,28,1000,2040
res,28,1000,2041
res,28,1000,2042
res,28,1000,2043
res,28,1000,2044
res,28,1000,2045
res,28,1000,2046
res,28,1000,2047
res,28,1000,2048
res,28,1000,2049
res,28,1000,2050
res,29,1000,2015
res,29,1000,2016
res,29,1000,2017
res,29,1000,2018
res,29,1000,2019
res,29,1000,2020
res,29,1000,2021
res,29,1000,2022
res,29,1000,2023
res,29,1000,2024
res,29,1000,2025
res,29,1000,2026
res,29,1000,2027
res,29,1000,2028
res,29,1000,2029
res,29,1000,2030
res,29,1000,2031
res,29,1000,2032
res,29,1000,2033
res,29,1000,2034
res,29,1000,2035
res,29,1000,2036
res,29,1000,2037
res,29,1000,2038
res,29,1000,2039
res,29,1000,2040
res,29,1000,2041
res,29,1000,2042
res,29,1000,2043
res,29,1000,2044
res,29,1000,2045
res,29,1000,2046
res,29,1000,2047
res,29,1000,2048
res,29,1000,2049
res,29,1000,2050
res,30,1000,2015
res,30,1000,2016
res,30,1000,2017
res,30,1000,2018
res,30,1000,2019
res,30,1000,2020
res,30,1000,2021
res,30,1000,2022
res,30,1000,2023
res,30,1000,2024
res,30,1000,2025
res,30,1000,2026
res,30,1000,2027
res,30,1000,2028
res,30,1000,2029
res,30,1000,2030
res,30,1000,2031
res,30,1000,2032
res,30,1000,2033
res,30,1000,2034
res,30,1000,2035
res,30,1000,2036
res,30,1000,2037
res,30,1000,2038
res,30,1000,2039
res,30,1000,2040
res,30,1000,2041
res,30,1000,2042
res,30,1000,2043
res,30,1000,2044
res,30,1000,2045
res,30,1000,2046
res,30,1000,2047
res,30,1000,2048
res,30,1000,2049
res,30,1000,2050
res,31,1000,2015
res,31,1000,2016
res,31,1000,2017
res,31,1000,2018
res,31,1000,2019
res,31,1000,2020
res,31,1000,2021
res,31,1000,2022
res,31,1000,2023
res,31,1000,2024
res,31,1000,2025
res,31,1000,2026
res,31,1000,2027
res,31,1000,2028
res,31,1000,2029
res,31,1000,2030
res,31,1000,2031
res,31,1000,2032
res,31,1000,2033
res,31,1000,2034
res,31,1000,2035
res,31,1000,2036
res,31,1000,2037
res,31,1000,2038
res,31,1000,2039
res,31,1000,2040
res,31,1000,2041
res,31,1000,2042
res,31,1000,2043
res,31,1000,2044
res,31,1000,2045
res,31,1000,2046
res,31,1000,2047
res,31,1000,2048
res,31,1000,2049
res,31,1000,2050
res,32,1000,2015
res,32,1000,2016
res,32,1000,2017
res,32,1000,2018
res,32,1000,2019
res,32,1000,2020
res,32,1000,2021
res,32,1000,2022
res,32,1000,2023
res,32,1000,2024
res,32,1000,2025
res,32,1000,2026
res,32,1000,2027
res,32,1000,2028
res,32,1000,2029
res,32,1000,2030
res,32,1000,2031
res,32,1000,2032
res,32,1000,2033
res,32,1000,2034
res,32,1000,2035
res,32,1000,2036
res,32,1000,2037
res,32,1000,2038
res,32,1000,2039
res,32,1000,2040
res,32,1000,2041
res,32,1000,2042
res,32,1000,2043
res,32,1000,2044
res,32,1000,2045
res,32,1000,2046
res,32,1000,2047
res,32,1000,2048
res,32,1000,2049
res,32,1000,2050
res,33,1000,2015
res,33,1000,2016
res,33,1000,2017
res,33,1000,2018
res,33,1000,2019
res,33,1000,2020
res,33,1000,2021
res,33,1000,2022
res,33,1000,2023
res,33,1000,2024
res,33,1000,2025
res,33,1000,2026
res,33,1000,2027
res,33,1000,2028
res,33,1000,2029
res,33,1000,2030
res,33,1000,2031
res,33,1000,2032
res,33,1000,2033
res,33,1000,2034
res,33,1000,2035
res,33,1000,2036
res,33,1000,2037
res,33,1000,2038
res,33,1000,2039
res,33,1000,2040
res,33,1000,2041
res,33,1000,2042
res,33,1000,2043
res,33,1000,2044
res,33,1000,2045
res,33,1000,2046
res,33,1000,2047
res,33,1000,2048
res,33,1000,2049
res,33,1000,2050
res,34,1000,2015
res,34,1000,2016
res,34,1000,2017
res,34,1000,2018
res,34,1000,2019
res,34,1000,2020
res,34,1000,2021
res,34,1000,2022
res,34,1000,2023
res,34,1000,2024
res,34,1000,2025
res,34,1000,2026
res,34,1000,2027
res,34,1000,2028
res,34,1000,2029
res,34,1000,2030
res,34,1000,2031
res,34,1000,2032
res,34,1000,2033
res,34,1000,2034
res,34,1000,2035
res,34,1000,2036
res,34,1000,2037
res,34,1000,2038
res,34,1000,2039
res,34,1000,2040
res,34,1000,2041
res,34,1000,2042
res,34,1000,2043
res,34,1000,2044
res,34,1000,2045
res,34,1000,2046
res,34,1000,2047
res,34,1000,2048
res,34,1000,2049
res,34,1000,2050
res,35,1000,2015
res,35,1000,2016
res,35,1000,2017
res,35,1000,2018
res,35,1000,2019
res,35,1000,2020
res,35,1000,2021
res,35,1000,2022
res,35,1000,2023
res,35,1000,2024
res,35,1000,2025
res,35,1000,2026
res,35,1000,2027
res,35,1000,2028
res,35,1000,2029
res,35,1000,2030
res,35,1000,2031
res,35,1000,2032
res,35,1000,2033
res,35,1000,2034
res,35,1000,2035
res,35,1000,2036
res,35,1000,2037
res,35,1000,2038
res,35,1000,2039
res,35,1000,2040
res,35,1000,2041
res,35,1000,2042
res,35,1000,2043
res,35,1000,2044
res,35,1000,2045
res,35,1000,2046
res,35,1000,2047
res,35,1000,2048
res,35,1000,2049
res,35,1000,2050
res,36,1000,2015
res,36,1000,2016
res,36,1000,2017
res,36,1000,2018
res,36,1000,2019
res,36,1000,2020
res,36,1000,2021
res,36,1000,2022
res,36,1000,2023
res,36,1000,2024
res,36,1000,2025
res,36,1000,2026
res,36,1000,2027
res,36,1000,2028
res,36,1000,2029
res,36,1000,2030
res,36,1000,2031
res,36,1000,2032
res,36,1000,2033
res,36,1000,2034
res,36,1000,2035
res,36,1000,2036
res,36,1000,2037
res,36,1000,2038
res,36,1000,2039
res,36,1000,2040
res,36,1000,2041
res,36,1000,2042
res,36,1000,2043
res,36,1000,2044
res,36,1000,2045
res,36,1000,2046
res,36,1000,2047
res,36,1000,2048
res,36,1000,2049
res,36,1000,2050
res,37,1000,2015
res,37,1000,2016
res,37,1000,2017
res,37,1000,2018
res,37,1000,2019
res,37,1000,2020
res,37,1000,2021
res,37,1000,2022
res,37,1000,2023
res,37,1000,2024
res,37,1000,2025
res,37,1000,2026
res,37,1000,2027
res,37,1000,2028
res,37,1000,2029
res,37,1000,2030
res,37,1000,2031
res,37,1000,2032
res,37,1000,2033
res,37,1000,2034
res,37,1000,2035
res,37,1000,2036
res,37,1000,2037
res,37,1000,2038
res,37,1000,2039
res,37,1000,2040
res,37,1000,2041
res,37,1000,2042
res,37,1000,2043
res,37,1000,2044
res,37,1000,2045
res,37,1000,2046
res,37,1000,2047
res,37,1000,2048
res,37,1000,2049
res,37,1000,2050
res,38,1000,2015
res,38,1000,2016
res,38,1000,2017
res,38,1000,2018
res,38,1000,2019
res,38,1000,2020
res,38,1000,2021
res,38,1000,2022
res,38,1000,2023
res,38,1000,2024
res,38,1000,2025
res,38,1000,2026
res,38,1000,2027
res,38,1000,2028
res,38,1000,2029
res,38,1000,2030
res,38,1000,2031
res,38,1000,2032
res,38,1000,2033
res,38,1000,2034
res,38,1000,2035
res,38,1000,2036
