control_reg_id,state_id,sector_abbr,p,q,teq_yr1,tech
27,103,res,0.00285301,0.573395,2,solar
35,103,res,0.00285301,0.573395,2,solar
18,103,res,0.00285301,0.573395,2,solar
27,530,res,0.00285301,0.573395,2,solar
27,767,res,0.00285301,0.573395,2,solar
12,767,res,0.00285301,0.573395,2,solar
27,525,res,0.00285301,0.573395,2,solar
38,525,res,0.00285301,0.573395,2,solar
12,525,res,0.00285301,0.573395,2,solar
35,525,res,0.00285301,0.573395,2,solar
33,525,res,0.00285301,0.573395,2,solar
30,525,res,0.00285301,0.573395,2,solar
18,525,res,0.00285301,0.573395,2,solar
27,62,res,0.00285301,0.573395,2,solar
27,585,res,0.00285301,0.573395,2,solar
18,585,res,0.00285301,0.573395,2,solar
1,585,res,0.00285301,0.573395,2,solar
12,585,res,0.00285301,0.573395,2,solar
35,585,res,0.00285301,0.573395,2,solar
15,585,res,0.00285301,0.573395,2,solar
33,585,res,0.00285301,0.573395,2,solar
2,585,res,0.00285301,0.573395,2,solar
38,585,res,0.00285301,0.573395,2,solar
30,585,res,0.00285301,0.573395,2,solar
40,585,res,0.00285301,0.573395,2,solar
27,754,res,0.00285301,0.573395,2,solar
38,754,res,0.00285301,0.573395,2,solar
18,754,res,0.00285301,0.573395,2,solar
27,4,res,0.00285301,0.573395,2,solar
18,4,res,0.00285301,0.573395,2,solar
27,920,res,0.00285301,0.573395,2,solar
12,920,res,0.00285301,0.573395,2,solar
2,920,res,0.00285301,0.573395,2,solar
18,920,res,0.00285301,0.573395,2,solar
27,10,res,0.00285301,0.573395,2,solar
18,10,res,0.00285301,0.573395,2,solar
22,10,res,0.00285301,0.573395,2,solar
38,10,res,0.00285301,0.573395,2,solar
12,10,res,0.00285301,0.573395,2,solar
42,10,res,0.00285301,0.573395,2,solar
32,10,res,0.00285301,0.573395,2,solar
35,10,res,0.00285301,0.573395,2,solar
2,10,res,0.00285301,0.573395,2,solar
30,10,res,0.00285301,0.573395,2,solar
11,10,res,0.00285301,0.573395,2,solar
33,10,res,0.00285301,0.573395,2,solar
21,10,res,0.00285301,0.573395,2,solar
40,10,res,0.00285301,0.573395,2,solar
27,794,res,0.00285301,0.573395,2,solar
27,169,res,0.00285301,0.573395,2,solar
18,169,res,0.00285301,0.573395,2,solar
42,169,res,0.00285301,0.573395,2,solar
35,169,res,0.00285301,0.573395,2,solar
30,169,res,0.00285301,0.573395,2,solar
27,393,res,0.00285301,0.573395,2,solar
30,393,res,0.00285301,0.573395,2,solar
27,431,res,0.00285301,0.573395,2,solar
18,431,res,0.00285301,0.573395,2,solar
27,702,res,0.00285301,0.573395,2,solar
18,702,res,0.00285301,0.573395,2,solar
27,1013,res,0.00285301,0.573395,2,solar
27,406,res,0.00285301,0.573395,2,solar
30,406,res,0.00285301,0.573395,2,solar
18,406,res,0.00285301,0.573395,2,solar
27,101,res,0.00285301,0.573395,2,solar
35,101,res,0.00285301,0.573395,2,solar
2,101,res,0.00285301,0.573395,2,solar
18,101,res,0.00285301,0.573395,2,solar
12,101,res,0.00285301,0.573395,2,solar
42,101,res,0.00285301,0.573395,2,solar
27,136,res,0.00285301,0.573395,2,solar
35,136,res,0.00285301,0.573395,2,solar
36,136,res,0.00285301,0.573395,2,solar
2,136,res,0.00285301,0.573395,2,solar
18,136,res,0.00285301,0.573395,2,solar
42,136,res,0.00285301,0.573395,2,solar
38,136,res,0.00285301,0.573395,2,solar
30,136,res,0.00285301,0.573395,2,solar
40,136,res,0.00285301,0.573395,2,solar
27,453,res,0.00285301,0.573395,2,solar
12,453,res,0.00285301,0.573395,2,solar
42,453,res,0.00285301,0.573395,2,solar
35,453,res,0.00285301,0.573395,2,solar
2,453,res,0.00285301,0.573395,2,solar
18,453,res,0.00285301,0.573395,2,solar
30,453,res,0.00285301,0.573395,2,solar
27,540,res,0.00285301,0.573395,2,solar
27,926,res,0.00285301,0.573395,2,solar
18,926,res,0.00285301,0.573395,2,solar
38,926,res,0.00285301,0.573395,2,solar
1,926,res,0.00285301,0.573395,2,solar
35,926,res,0.00285301,0.573395,2,solar
12,926,res,0.00285301,0.573395,2,solar
33,926,res,0.00285301,0.573395,2,solar
30,926,res,0.00285301,0.573395,2,solar
40,926,res,0.00285301,0.573395,2,solar
27,603,res,0.00285301,0.573395,2,solar
27,789,res,0.00285301,0.573395,2,solar
18,789,res,0.00285301,0.573395,2,solar
27,954,res,0.00285301,0.573395,2,solar
2,954,res,0.00285301,0.573395,2,solar
18,954,res,0.00285301,0.573395,2,solar
27,456,res,0.00285301,0.573395,2,solar
18,456,res,0.00285301,0.573395,2,solar
42,456,res,0.00285301,0.573395,2,solar
27,407,res,0.00285301,0.573395,2,solar
27,241,res,0.00285301,0.573395,2,solar
27,1052,res,0.00285301,0.573395,2,solar
35,1052,res,0.00285301,0.573395,2,solar
27,346,res,0.00285301,0.573395,2,solar
18,346,res,0.00285301,0.573395,2,solar
27,628,res,0.00285301,0.573395,2,solar
27,152,res,0.00285301,0.573395,2,solar
27,631,res,0.00285301,0.573395,2,solar
27,448,res,0.00285301,0.573395,2,solar
21,448,res,0.00285301,0.573395,2,solar
11,448,res,0.00285301,0.573395,2,solar
18,448,res,0.00285301,0.573395,2,solar
27,14,res,0.00285301,0.573395,2,solar
18,14,res,0.00285301,0.573395,2,solar
27,364,res,0.00285301,0.573395,2,solar
27,691,res,0.00285301,0.573395,2,solar
27,322,res,0.00285301,0.573395,2,solar
27,528,res,0.00285301,0.573395,2,solar
18,528,res,0.00285301,0.573395,2,solar
27,455,res,0.00285301,0.573395,2,solar
27,1003,res,0.00285301,0.573395,2,solar
12,1003,res,0.00285301,0.573395,2,solar
18,1003,res,0.00285301,0.573395,2,solar
27,264,res,0.00285301,0.573395,2,solar
27,820,res,0.00285301,0.573395,2,solar
27,399,res,0.00285301,0.573395,2,solar
27,671,res,0.00285301,0.573395,2,solar
27,857,res,0.00285301,0.573395,2,solar
27,374,res,0.00285301,0.573395,2,solar
27,202,res,0.00285301,0.573395,2,solar
27,634,res,0.00285301,0.573395,2,solar
27,188,res,0.00285301,0.573395,2,solar
18,188,res,0.00285301,0.573395,2,solar
27,120,res,0.00285301,0.573395,2,solar
27,447,res,0.00285301,0.573395,2,solar
27,554,res,0.00285301,0.573395,2,solar
27,883,res,0.00285301,0.573395,2,solar
33,883,res,0.00285301,0.573395,2,solar
12,883,res,0.00285301,0.573395,2,solar
38,883,res,0.00285301,0.573395,2,solar
18,883,res,0.00285301,0.573395,2,solar
27,117,res,0.00285301,0.573395,2,solar
15,117,res,0.00285301,0.573395,2,solar
18,117,res,0.00285301,0.573395,2,solar
27,787,res,0.00285301,0.573395,2,solar
27,769,res,0.00285301,0.573395,2,solar
18,769,res,0.00285301,0.573395,2,solar
27,962,res,0.00285301,0.573395,2,solar
27,247,res,0.00285301,0.573395,2,solar
27,450,res,0.00285301,0.573395,2,solar
38,450,res,0.00285301,0.573395,2,solar
18,450,res,0.00285301,0.573395,2,solar
27,713,res,0.00285301,0.573395,2,solar
18,713,res,0.00285301,0.573395,2,solar
27,694,res,0.00285301,0.573395,2,solar
27,1059,res,0.00285301,0.573395,2,solar
27,454,res,0.00285301,0.573395,2,solar
27,801,res,0.00285301,0.573395,2,solar
12,801,res,0.00285301,0.573395,2,solar
18,801,res,0.00285301,0.573395,2,solar
27,220,res,0.00285301,0.573395,2,solar
27,321,res,0.00285301,0.573395,2,solar
27,940,res,0.00285301,0.573395,2,solar
38,940,res,0.00285301,0.573395,2,solar
18,940,res,0.00285301,0.573395,2,solar
27,681,res,0.00285301,0.573395,2,solar
33,681,res,0.00285301,0.573395,2,solar
27,773,res,0.00285301,0.573395,2,solar
18,773,res,0.00285301,0.573395,2,solar
27,420,res,0.00285301,0.573395,2,solar
27,76,res,0.00285301,0.573395,2,solar
18,76,res,0.00285301,0.573395,2,solar
27,543,res,0.00285301,0.573395,2,solar
27,324,res,0.00285301,0.573395,2,solar
27,562,res,0.00285301,0.573395,2,solar
38,562,res,0.00285301,0.573395,2,solar
18,562,res,0.00285301,0.573395,2,solar
27,249,res,0.00285301,0.573395,2,solar
12,249,res,0.00285301,0.573395,2,solar
18,249,res,0.00285301,0.573395,2,solar
27,643,res,0.00285301,0.573395,2,solar
27,534,res,0.00285301,0.573395,2,solar
27,51,res,0.00285301,0.573395,2,solar
27,1004,res,0.00285301,0.573395,2,solar
12,1004,res,0.00285301,0.573395,2,solar
35,1004,res,0.00285301,0.573395,2,solar
38,1004,res,0.00285301,0.573395,2,solar
30,1004,res,0.00285301,0.573395,2,solar
27,646,res,0.00285301,0.573395,2,solar
27,178,res,0.00285301,0.573395,2,solar
27,770,res,0.00285301,0.573395,2,solar
27,806,res,0.00285301,0.573395,2,solar
27,273,res,0.00285301,0.573395,2,solar
18,273,res,0.00285301,0.573395,2,solar
27,825,res,0.00285301,0.573395,2,solar
27,823,res,0.00285301,0.573395,2,solar
27,239,res,0.00285301,0.573395,2,solar
27,979,res,0.00285301,0.573395,2,solar
33,979,res,0.00285301,0.573395,2,solar
27,740,res,0.00285301,0.573395,2,solar
27,772,res,0.00285301,0.573395,2,solar
27,989,res,0.00285301,0.573395,2,solar
18,989,res,0.00285301,0.573395,2,solar
35,989,res,0.00285301,0.573395,2,solar
40,989,res,0.00285301,0.573395,2,solar
27,707,res,0.00285301,0.573395,2,solar
27,165,res,0.00285301,0.573395,2,solar
27,726,res,0.00285301,0.573395,2,solar
27,497,res,0.00285301,0.573395,2,solar
33,497,res,0.00285301,0.573395,2,solar
38,497,res,0.00285301,0.573395,2,solar
12,497,res,0.00285301,0.573395,2,solar
35,497,res,0.00285301,0.573395,2,solar
30,497,res,0.00285301,0.573395,2,solar
40,497,res,0.00285301,0.573395,2,solar
18,497,res,0.00285301,0.573395,2,solar
27,759,res,0.00285301,0.573395,2,solar
27,385,res,0.00285301,0.573395,2,solar
27,55,res,0.00285301,0.573395,2,solar
27,590,res,0.00285301,0.573395,2,solar
18,590,res,0.00285301,0.573395,2,solar
27,755,res,0.00285301,0.573395,2,solar
27,529,res,0.00285301,0.573395,2,solar
38,529,res,0.00285301,0.573395,2,solar
18,529,res,0.00285301,0.573395,2,solar
33,529,res,0.00285301,0.573395,2,solar
40,529,res,0.00285301,0.573395,2,solar
32,529,res,0.00285301,0.573395,2,solar
27,403,res,0.00285301,0.573395,2,solar
18,403,res,0.00285301,0.573395,2,solar
27,948,res,0.00285301,0.573395,2,solar
12,948,res,0.00285301,0.573395,2,solar
33,948,res,0.00285301,0.573395,2,solar
18,948,res,0.00285301,0.573395,2,solar
27,495,res,0.00285301,0.573395,2,solar
27,146,res,0.00285301,0.573395,2,solar
18,146,res,0.00285301,0.573395,2,solar
27,409,res,0.00285301,0.573395,2,solar
20,868,res,0.00285301,0.573395,2,solar
27,775,res,0.00285301,0.573395,2,solar
33,775,res,0.00285301,0.573395,2,solar
20,134,res,0.00285301,0.573395,2,solar
27,892,res,0.00285301,0.573395,2,solar
27,909,res,0.00285301,0.573395,2,solar
33,909,res,0.00285301,0.573395,2,solar
27,310,res,0.00285301,0.573395,2,solar
27,817,res,0.00285301,0.573395,2,solar
27,79,res,0.00285301,0.573395,2,solar
27,725,res,0.00285301,0.573395,2,solar
27,636,res,0.00285301,0.573395,2,solar
33,636,res,0.00285301,0.573395,2,solar
20,640,res,0.00285301,0.573395,2,solar
27,997,res,0.00285301,0.573395,2,solar
20,376,res,0.00285301,0.573395,2,solar
12,376,res,0.00285301,0.573395,2,solar
18,376,res,0.00285301,0.573395,2,solar
30,376,res,0.00285301,0.573395,2,solar
27,198,res,0.00285301,0.573395,2,solar
27,617,res,0.00285301,0.573395,2,solar
33,617,res,0.00285301,0.573395,2,solar
27,211,res,0.00285301,0.573395,2,solar
27,514,res,0.00285301,0.573395,2,solar
27,1023,res,0.00285301,0.573395,2,solar
27,126,res,0.00285301,0.573395,2,solar
27,546,res,0.00285301,0.573395,2,solar
38,546,res,0.00285301,0.573395,2,solar
33,546,res,0.00285301,0.573395,2,solar
18,546,res,0.00285301,0.573395,2,solar
27,545,res,0.00285301,0.573395,2,solar
27,915,res,0.00285301,0.573395,2,solar
33,915,res,0.00285301,0.573395,2,solar
18,915,res,0.00285301,0.573395,2,solar
27,782,res,0.00285301,0.573395,2,solar
27,704,res,0.00285301,0.573395,2,solar
35,704,res,0.00285301,0.573395,2,solar
27,276,res,0.00285301,0.573395,2,solar
33,276,res,0.00285301,0.573395,2,solar
12,276,res,0.00285301,0.573395,2,solar
32,276,res,0.00285301,0.573395,2,solar
38,276,res,0.00285301,0.573395,2,solar
40,276,res,0.00285301,0.573395,2,solar
18,276,res,0.00285301,0.573395,2,solar
27,541,res,0.00285301,0.573395,2,solar
27,719,res,0.00285301,0.573395,2,solar
33,719,res,0.00285301,0.573395,2,solar
18,719,res,0.00285301,0.573395,2,solar
38,719,res,0.00285301,0.573395,2,solar
35,719,res,0.00285301,0.573395,2,solar
12,719,res,0.00285301,0.573395,2,solar
30,719,res,0.00285301,0.573395,2,solar
40,719,res,0.00285301,0.573395,2,solar
27,434,res,0.00285301,0.573395,2,solar
35,480,res,0.00285301,0.573395,2,solar
33,480,res,0.00285301,0.573395,2,solar
20,956,res,0.00285301,0.573395,2,solar
27,956,res,0.00285301,0.573395,2,solar
27,257,res,0.00285301,0.573395,2,solar
27,380,res,0.00285301,0.573395,2,solar
38,380,res,0.00285301,0.573395,2,solar
18,380,res,0.00285301,0.573395,2,solar
27,791,res,0.00285301,0.573395,2,solar
20,903,res,0.00285301,0.573395,2,solar
27,512,res,0.00285301,0.573395,2,solar
27,83,res,0.00285301,0.573395,2,solar
35,49,res,0.00285301,0.573395,2,solar
27,201,res,0.00285301,0.573395,2,solar
20,46,res,0.00285301,0.573395,2,solar
27,46,res,0.00285301,0.573395,2,solar
21,46,res,0.00285301,0.573395,2,solar
18,46,res,0.00285301,0.573395,2,solar
12,46,res,0.00285301,0.573395,2,solar
27,233,res,0.00285301,0.573395,2,solar
27,138,res,0.00285301,0.573395,2,solar
18,138,res,0.00285301,0.573395,2,solar
35,268,res,0.00285301,0.573395,2,solar
20,848,res,0.00285301,0.573395,2,solar
27,848,res,0.00285301,0.573395,2,solar
27,639,res,0.00285301,0.573395,2,solar
35,708,res,0.00285301,0.573395,2,solar
