control_reg_id,state_id,tariff_class,sector_abbr,pv_capacity_mw,pv_systems_count
1,53,industrial,ind,0.0,0.0
1,89,comercial,com,0.0,0.0
1,89,estrato_1,res,0.0,0.0
1,89,estrato_2,res,0.0,0.0
1,89,estrato_3,res,0.0,0.0
1,89,estrato_6,res,0.0,0.0
1,89,industrial,ind,0.0,0.0
1,100,comercial,com,0.0,0.0
1,102,industrial,ind,0.0,0.0
1,107,comercial,com,0.0,0.0
1,107,estrato_1,res,0.0,0.0
1,107,estrato_2,res,0.0,0.0
1,107,estrato_3,res,0.0,0.0
1,107,estrato_4,res,0.0,0.0
1,107,estrato_5,res,0.0,0.0
1,107,estrato_6,res,0.0,0.0
1,107,industrial,ind,0.0,0.0
1,116,comercial,com,0.0,0.0
1,116,estrato_1,res,0.0,0.0
1,119,comercial,com,0.0,0.0
1,119,estrato_1,res,0.0,0.0
1,119,estrato_2,res,0.0,0.0
1,119,estrato_3,res,0.0,0.0
1,119,estrato_4,res,0.0,0.0
1,119,estrato_5,res,0.0,0.0
1,119,estrato_6,res,0.0,0.0
1,119,industrial,ind,0.0,0.0
1,139,comercial,com,0.0,0.0
1,139,estrato_1,res,0.0,0.0
1,139,estrato_2,res,0.0,0.0
1,139,estrato_3,res,0.0,0.0
1,139,estrato_4,res,0.0,0.0
1,139,industrial,ind,0.0,0.0
1,183,comercial,com,0.0,0.0
1,183,estrato_1,res,0.0,0.0
1,183,estrato_2,res,0.0,0.0
1,183,estrato_3,res,0.0,0.0
1,183,estrato_4,res,0.0,0.0
1,183,estrato_5,res,0.0,0.0
1,183,estrato_6,res,0.0,0.0
1,183,industrial,ind,0.0,0.0
1,186,comercial,com,0.0,0.0
1,186,estrato_1,res,0.0,0.0
1,186,estrato_2,res,0.0,0.0
1,186,estrato_3,res,0.0,0.0
1,186,estrato_4,res,0.0,0.0
1,186,industrial,ind,0.0,0.0
1,206,comercial,com,0.0,0.0
1,206,estrato_1,res,0.0,0.0
1,206,estrato_2,res,0.0,0.0
1,206,estrato_3,res,0.0,0.0
1,206,estrato_4,res,0.0,0.0
1,206,estrato_5,res,0.0,0.0
1,206,industrial,ind,0.0,0.0
1,207,comercial,com,0.0,0.0
1,207,estrato_1,res,0.0,0.0
1,207,estrato_2,res,0.0,0.0
1,207,estrato_3,res,0.0,0.0
1,207,estrato_4,res,0.0,0.0
1,207,estrato_5,res,0.0,0.0
1,207,estrato_6,res,0.0,0.0
1,207,industrial,ind,0.0,0.0
1,212,comercial,com,0.0,0.0
1,212,estrato_1,res,0.0,0.0
1,212,estrato_2,res,0.0,0.0
1,212,estrato_3,res,0.0,0.0
1,212,estrato_4,res,0.0,0.0
1,212,estrato_6,res,0.0,0.0
1,212,industrial,ind,0.0,0.0
1,244,comercial,com,0.0,0.0
1,244,estrato_1,res,0.0,0.0
1,244,estrato_2,res,0.0,0.0
1,244,estrato_3,res,0.0,0.0
1,244,estrato_4,res,0.0,0.0
1,244,estrato_5,res,0.0,0.0
1,244,estrato_6,res,0.0,0.0
1,244,industrial,ind,0.0,0.0
1,252,comercial,com,0.0,0.0
1,252,estrato_1,res,0.0,0.0
1,252,estrato_2,res,0.0,0.0
1,252,estrato_3,res,0.0,0.0
1,252,estrato_4,res,0.0,0.0
1,252,estrato_5,res,0.0,0.0
1,252,estrato_6,res,0.0,0.0
1,252,industrial,ind,0.0,0.0
1,290,comercial,com,0.0,0.0
1,290,estrato_1,res,0.0,0.0
1,290,estrato_2,res,0.0,0.0
1,290,estrato_3,res,0.0,0.0
1,290,estrato_4,res,0.0,0.0
1,290,estrato_5,res,0.0,0.0
1,290,estrato_6,res,0.0,0.0
1,290,industrial,ind,0.0,0.0
1,296,comercial,com,0.0,0.0
1,296,estrato_1,res,0.0,0.0
1,296,estrato_2,res,0.0,0.0
1,296,estrato_3,res,0.0,0.0
1,296,estrato_4,res,0.0,0.0
1,296,estrato_6,res,0.0,0.0
1,296,industrial,ind,0.0,0.0
1,368,comercial,com,0.0,0.0
1,368,estrato_1,res,0.0,0.0
1,368,estrato_2,res,0.0,0.0
1,368,estrato_3,res,0.0,0.0
1,368,estrato_4,res,0.0,0.0
1,368,industrial,ind,0.0,0.0
1,381,comercial,com,0.0,0.0
