state,No Carbon Price,Price Based On State Carbon Intensity,Price Based On NG Offset
AL,0,0.00027442,0.000414
AR,0,0.000285794,0.000414
AZ,0,0.00047717,0.000414
CA,0,0.000204991,0.000414
CO,0,0.000736344,0.000414
CT,0,0.000159335,0.000414
DC,0,0.00050685,0.000414
DE,0,0.000834425,0.000414
FL,0,0.000452839,0.000414
GA,0,0.00034869,0.000414
IA,0,0.000610124,0.000414
ID,0,3.91E-05,0.000414
IL,0,0.000324539,0.000414
IN,0,0.000794152,0.000414
KS,0,0.000326027,0.000414
KY,0,0.000846596,0.000414
LA,0,0.000308582,0.000414
MA,0,0.000274436,0.000414
MD,0,0.00053598,0.000414
ME,0,0.000203227,0.000414
MI,0,0.000500549,0.000414
MN,0,0.000544275,0.000414
MO,0,0.000680602,0.000414
MS,0,0.000345718,0.000414
MT,0,0.000271397,0.000414
NC,0,0.000460056,0.000414
ND,0,0.00077706,0.000414
NE,0,0.000659034,0.000414
NH,0,0.000137088,0.000414
NJ,0,0.000248261,0.000414
NM,0,0.000651236,0.000414
NV,0,0.000440273,0.000414
NY,0,0.000193182,0.000414
OH,0,0.000701762,0.000414
OK,0,0.000374801,0.000414
OR,0,0.00012707,0.000414
PA,0,0.000435525,0.000414
RI,0,0.000372172,0.000414
SC,0,0.000234218,0.000414
SD,0,0.000392181,0.000414
TN,0,0.000251711,0.000414
TX,0,0.000494381,0.000414
UT,0,0.000766763,0.000414
VA,0,0.000338647,0.000414
VT,0,0,0.000414
WA,0,2.29E-05,0.000414
WI,0,0.000584653,0.000414
WV,0,0.00083039,0.000414
WY,0,0.000758401,0.000414
AK,0,0.000452839,0.000414
HI,0,0.000680602,0.000414
