"","Region","Sector","Year","value","State"
"1","East North Central","Residential","2011",1,"WI"
"2","East North Central","Residential","2011",1,"IL"
"3","East North Central","Residential","2011",1,"IN"
"4","East North Central","Residential","2011",1,"MI"
"5","East North Central","Residential","2011",1,"OH"
"6","East North Central","Commercial","2011",1,"WI"
"7","East North Central","Commercial","2011",1,"IL"
"8","East North Central","Commercial","2011",1,"IN"
"9","East North Central","Commercial","2011",1,"MI"
"10","East North Central","Commercial","2011",1,"OH"
"11","East North Central","Industrial","2011",1,"WI"
"12","East North Central","Industrial","2011",1,"IL"
"13","East North Central","Industrial","2011",1,"IN"
"14","East North Central","Industrial","2011",1,"MI"
"15","East North Central","Industrial","2011",1,"OH"
"16","East South Central","Residential","2011",1,"KY"
"17","East South Central","Residential","2011",1,"TN"
"18","East South Central","Residential","2011",1,"MS"
"19","East South Central","Residential","2011",1,"AL"
"20","East South Central","Commercial","2011",1,"KY"
"21","East South Central","Commercial","2011",1,"TN"
"22","East South Central","Commercial","2011",1,"MS"
"23","East South Central","Commercial","2011",1,"AL"
"24","East South Central","Industrial","2011",1,"KY"
"25","East South Central","Industrial","2011",1,"TN"
"26","East South Central","Industrial","2011",1,"MS"
"27","East South Central","Industrial","2011",1,"AL"
"28","Middle Atlantic","Residential","2011",1,"PA"
"29","Middle Atlantic","Residential","2011",1,"NY"
"30","Middle Atlantic","Residential","2011",1,"NJ"
"31","Middle Atlantic","Commercial","2011",1,"PA"
"32","Middle Atlantic","Commercial","2011",1,"NY"
"33","Middle Atlantic","Commercial","2011",1,"NJ"
"34","Middle Atlantic","Industrial","2011",1,"PA"
"35","Middle Atlantic","Industrial","2011",1,"NY"
"36","Middle Atlantic","Industrial","2011",1,"NJ"
"37","Mountain","Residential","2011",1,"MT"
"38","Mountain","Residential","2011",1,"ID"
"39","Mountain","Residential","2011",1,"WY"
"40","Mountain","Residential","2011",1,"NV"
"41","Mountain","Residential","2011",1,"UT"
"42","Mountain","Residential","2011",1,"CO"
"43","Mountain","Residential","2011",1,"AZ"
"44","Mountain","Residential","2011",1,"NM"
"45","Mountain","Commercial","2011",1,"MT"
"46","Mountain","Commercial","2011",1,"ID"
"47","Mountain","Commercial","2011",1,"WY"
"48","Mountain","Commercial","2011",1,"NV"
"49","Mountain","Commercial","2011",1,"UT"
"50","Mountain","Commercial","2011",1,"CO"
"51","Mountain","Commercial","2011",1,"AZ"
"52","Mountain","Commercial","2011",1,"NM"
"53","Mountain","Industrial","2011",1,"MT"
"54","Mountain","Industrial","2011",1,"ID"
"55","Mountain","Industrial","2011",1,"WY"
"56","Mountain","Industrial","2011",1,"NV"
"57","Mountain","Industrial","2011",1,"UT"
"58","Mountain","Industrial","2011",1,"CO"
"59","Mountain","Industrial","2011",1,"AZ"
"60","Mountain","Industrial","2011",1,"NM"
"61","New England","Residential","2011",1,"ME"
"62","New England","Residential","2011",1,"VT"
"63","New England","Residential","2011",1,"NH"
"64","New England","Residential","2011",1,"MA"
"65","New England","Residential","2011",1,"RI"
"66","New England","Residential","2011",1,"CT"
"67","New England","Commercial","2011",1,"ME"
"68","New England","Commercial","2011",1,"VT"
"69","New England","Commercial","2011",1,"NH"
"70","New England","Commercial","2011",1,"MA"
"71","New England","Commercial","2011",1,"RI"
"72","New England","Commercial","2011",1,"CT"
"73","New England","Industrial","2011",1,"ME"
"74","New England","Industrial","2011",1,"VT"
"75","New England","Industrial","2011",1,"NH"
"76","New England","Industrial","2011",1,"MA"
"77","New England","Industrial","2011",1,"RI"
"78","New England","Industrial","2011",1,"CT"
"79","Pacific","Residential","2011",1,"AK"
"80","Pacific","Residential","2011",1,"WA"
"81","Pacific","Residential","2011",1,"OR"
"82","Pacific","Residential","2011",1,"CA"
"83","Pacific","Residential","2011",1,"HI"
"84","Pacific","Commercial","2011",1,"AK"
