state,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
AL,0.19,0.36,0.48,0.66,0.85,1.06,1.28,1.53,1.81,2.13,2.5,2.93,3.44,4.07,4.81,5.73,6.85,8.25,10.01
AR,0.01,0.02,0.04,0.11,0.23,0.44,0.78,1.39,2.41,4.16,7.07,12.01,19.92,33.63,55.83,92.08,149.45,239.34,376.88
AZ,867,1892.41,2720.17,4397.71,5753.91,6802.26,7579.61,7985.61,8308.05,8481.5,8666.1,8782.96,8834.79,8864.81,8891.39,8916.14,8953.7,8958.11,8971.68
CA,3465.68,6199.3,10339.39,15120.53,19167.96,22177.89,24839.05,27310.89,29667.26,31723.98,33428.8,34831.65,36232.82,37455.88,38464.75,39274.52,39965.24,40530.96,40828.09
CO,228.69,326.66,410.75,613.28,853.89,1105.48,1367.25,1640.32,1905.05,2226.6,2642.6,3192.69,3901.62,4656.84,5293.95,5808.46,6197.96,6496.43,6690.92
CT,90.3,198.92,412.27,815.75,1306.73,1738.19,2049.93,2278.3,2435.46,2575.77,2778.44,3009.79,3272.97,3558.69,3781.1,3942.24,4123.64,4267.78,4415.73
DC,12.02,20.25,27.5,39.12,52.6,68.98,86.19,108.39,131.04,154.79,180.52,211.45,239.82,267.74,292.3,316.1,339.19,356,375.11
DE,26.35,36.92,53.45,79.27,117.15,171.86,245.19,338.95,447.95,571.29,694.47,821.42,937.42,1064.78,1198.29,1333.01,1469.8,1591.73,1723.05
FL,107.99,196.03,327.88,584.32,1020.78,1779.68,3000.28,4900.61,7650.98,11188.81,15111.77,18903.7,22625.2,25897.57,28476.49,30477.48,31923.28,32936.18,33709.28
GA,47.62,105.37,253.71,619.43,1404.26,2693.12,4147.12,5451.71,6367.78,7108.65,7762.73,8529.14,9484.79,10677.22,11995.32,13272.35,14415.67,15346.26,16139.15
IA,0,0.01,0.03,0.1,0.45,1.94,8.2,35.31,143.71,497.96,1146.98,1929.55,2643.61,3154.54,3474.46,3633.95,3735.15,3785.11,3812.28
ID,0.03,0.1,0.18,0.36,0.67,1.23,2.16,3.78,6.53,11.38,19.67,34.1,59.52,103.96,179.09,300.32,484.95,745.31,1064.94
IL,15.51,21.43,28.03,38.32,53.08,74.53,104.53,148.31,209.83,293.94,412.15,576.04,791.22,1078.02,1435.77,1870.72,2357.17,2922.19,3541.14
IN,0.17,0.49,0.83,1.49,2.47,3.98,6.28,9.86,15.37,24.16,38.2,61.79,102.02,173.06,299.83,525.78,920.42,1563.2,2498.03
KS,0.58,1.43,2.48,4.77,9.26,19.79,46.19,116.04,289.98,651.24,1170.73,1675.88,2031.49,2268.28,2455.55,2580.33,2712.97,2827.6,2956.61
KY,0.08,0.2,0.34,0.65,1.15,1.98,3.32,5.55,9.17,15.2,24.97,40.9,66.72,108.61,173.62,275.07,424.85,643.12,935.83
LA,3.31,17.36,66.87,259.79,865.74,2295.86,4512.65,6937.52,8874.24,10113.95,10963.64,11471.51,11827.44,12040.74,12172.96,12232.9,12279.04,12308.15,12322.9
MA,436.01,1228.78,1645.18,3379.56,4906.01,5894.65,6454.6,6851.69,7074.8,7199.1,7302.87,7344.61,7397.78,7431.06,7447.66,7453.14,7455.38,7460.51,7463.27
MD,190.44,364.67,573.2,1047.21,1563.36,2066.25,2598.79,3247.32,3906.91,4610.64,5489.92,6811.69,8317.81,9547.77,10296.37,10891.92,11201.41,11445.69,11571.3
ME,8.65,13.52,20.68,36.13,60.19,94.44,141.96,202.23,284.09,380.87,485.85,596.22,704.14,819.87,945.73,1090.7,1232.85,1364.36,1454.79
MI,0.89,1.98,3.54,6,9.74,15.54,24.3,37.78,58.02,89.21,135.93,207.05,312.79,470.74,696.06,1020.43,1462.48,2052.22,2845.28
MN,0.01,0.03,0.06,0.17,0.43,1.06,2.57,6.01,14.21,33.37,74.42,156.64,310.11,566.86,934.18,1369.47,1811.18,2227.94,2585.73
MO,46.95,173.22,470.43,1035.34,1652.6,2214.71,2641.33,2963.31,3222.23,3578.53,3981.59,4278.89,4418.51,4479.85,4512.8,4529.88,4540.87,4548.74,4555.11
MS,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MT,0.92,1.94,2.77,4.26,6.08,8.37,11.42,15.33,20.31,26.4,34.14,44.66,58.2,75.9,98.52,127.51,163.6,208.44,262.73
NC,113.37,261.42,481.43,1066.51,1869.06,2788.45,3554.1,4191.99,4576.87,4855.73,5209.07,6037.92,7876.06,10791.14,13849.44,15986.68,17356.96,18085.7,18461.08
ND,0.02,0.05,0.05,0.09,0.13,0.18,0.21,0.26,0.31,0.36,0.41,0.47,0.53,0.59,0.65,0.71,0.77,0.82,0.89
NE,0.09,0.29,0.45,0.86,1.49,2.54,4.28,7.35,12.84,22.91,41.5,75.97,136.28,229.74,352.89,482.96,622.43,762.05,889.38
NH,0.75,1.87,3.86,7.47,13.69,25.51,47.03,86.32,144.95,250.22,419.48,641.78,962.4,1316.29,1627.52,1866.31,2019.41,2120.7,2184.25
NJ,1046.8,1340.83,1728,2298.61,2940.58,3696.64,4292.76,4902.35,5421.2,5913.43,6443.34,7022.36,7650.24,8238.88,8706.51,9064.82,9328.79,9494.71,9626.26
