state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AL,16937.23625,16440.17801,16023.11887,16092.26371,16455.88782,16369.99828,16521.47072,16743.32144,16990.11172,17206.56538,17291.49825,17383.3805,17523.01192,17678.96686,17852.50284,18017.96429,18178.81088,18335.81274,18496.20807,18656.66958,18788.57545,18914.10955,19033.12748,19165.84562,19311.69839,19474.28382,19654.46232,19846.45176,20034.87325,20200.20234,20354.64105,20518.25428,20683.18265,20849.43673,21017.02719,21185.96476,21356.26027,21527.92464,21700.96887,21875.40406,22051.24137
AR,9246.539163,8982.626613,8752.613955,8845.862834,9024.09506,8988.205084,9084.835997,9216.63916,9367.317656,9495.943879,9555.410308,9615.705852,9702.628438,9794.61953,9893.231432,9986.124137,10073.82063,10156.13322,10239.33707,10320.78823,10389.45586,10453.18374,10511.73958,10579.66965,10654.9443,10739.20544,10831.37924,10928.43846,11024.13195,11105.37674,11181.04221,11263.50559,11346.58825,11430.29492,11514.63036,11599.59936,11685.20675,11771.4574,11858.35622,11945.90816,12034.11819
AZ,15917.81547,16250.15748,16414.81292,16302.626,16285.4851,16636.74059,16809.9399,17078.16749,17375.1287,17621.28761,17765.29244,17932.09271,18132.21758,18328.90364,18540.6744,18732.82264,18928.26789,19113.25488,19304.87135,19495.88513,19649.49737,19789.58478,19921.28787,20072.02852,20249.69473,20443.4383,20658.80741,20859.67677,21060.36887,21259.32384,21460.42363,21650.45238,21842.1638,22035.5728,22230.69441,22427.54379,22626.13624,22826.48719,23028.61222,23232.52704,23438.24749
CA,51415.14969,52394.01645,51868.24799,51258.33898,51697.2917,51174.6382,52024.91211,52266.19318,52902.30449,53467.94443,53660.55885,53966.77766,54371.24595,54813.46021,55301.9591,55719.80339,56077.40071,56463.69229,56887.32674,57316.60476,57637.29897,57950.55392,58301.33497,58747.98347,59161.50346,59635.41702,60164.1905,60675.63015,61211.84289,61729.14599,62248.24477,62729.15813,63213.78689,63702.15976,64194.30567,64690.25377,65190.03344,65693.67426,66201.20609,66712.65897,67228.06319
CO,9245.128813,9438.154336,9533.786855,9468.628258,9458.672757,9662.683306,9763.278131,9919.065759,10091.54198,10234.51202,10318.15058,10415.02883,10531.26213,10645.49815,10768.49543,10880.09587,10993.61123,11101.05239,11212.34397,11323.28552,11412.5041,11493.86741,11570.36107,11657.91182,11761.10105,11873.62806,11998.71527,12115.38098,12231.94372,12347.49754,12464.29708,12574.66651,12686.01325,12798.34594,12911.67333,13026.00421,13141.34747,13257.71208,13375.10708,13493.54159,13613.02483
CT,6408.050268,6282.040537,6258.132407,6245.529908,6648.642041,6687.578575,6815.63278,6932.366096,6984.11873,6973.591219,6909.388658,6869.933377,6855.881439,6844.316434,6847.520459,6844.194375,6849.793791,6856.842646,6857.468194,6865.920717,6864.669622,6870.635211,6869.353601,6874.220668,6880.735519,6891.842806,6906.215148,6928.21612,6941.901885,6942.313831,6945.10591,6953.201195,6961.305917,6969.420085,6977.543711,6985.676807,6993.819382,7001.971448,7010.133017,7018.304099,7026.484705
DE,2462.781896,2441.792014,2400.655799,2390.612691,2376.857957,2415.977405,2439.653078,2438.256855,2446.696246,2450.283763,2430.948016,2414.278668,2406.890322,2403.390069,2404.677697,2404.140539,2404.13666,2404.501229,2403.694523,2406.116582,2405.416531,2406.791423,2406.574232,2407.600068,2408.90321,2412.407341,2418.075618,2421.740703,2425.458146,2426.89897,2430.203364,2432.696052,2435.191297,2437.689102,2440.189468,2442.692399,2445.197897,2447.705965,2450.216606,2452.729822,2455.245616
FL,45988.07784,44638.46254,43506.06126,43693.80371,44681.11791,44447.91016,44859.18898,45461.55928,46131.6456,46719.3618,46949.972,47199.45119,47578.57919,48002.02892,48473.21476,48922.47662,49359.20816,49785.50049,50221.00677,50656.69275,51014.84431,51355.6952,51678.85334,52039.21037,52435.23061,52876.68349,53365.90515,53887.19594,54398.79901,54847.70146,55267.03432,55711.27785,56159.09228,56610.5063,57065.54884,57524.24907,57986.63639,58452.74044,58922.59109,59396.21847,59873.65292
GA,27988.73625,27167.34887,26478.15979,26592.42145,27193.30929,27051.37707,27301.68486,27668.29256,28076.11281,28433.8019,28574.15323,28725.9884,28956.72893,29214.44404,29501.21176,29774.63636,30040.4349,30299.88005,30564.93288,30830.09509,31048.06918,31255.51393,31452.19073,31671.50709,31912.52839,32181.20037,32478.94485,32796.20687,33107.57286,33380.77872,33635.98827,33906.35867,34178.90235,34453.63677,34730.57954,35009.74841,35291.16127,35574.83617,35860.79129,36149.04494,36439.61562
IA,8454.742064,8465.28731,8448.77401,8448.15866,8518.780623,8576.193633,8641.648341,8757.528041,8866.815908,8945.108674,8984.6681,9038.532309,9109.870776,9174.330808,9244.269986,9302.517511,9360.124397,9402.431826,9441.822663,9480.530714,9507.159358,9535.102997,9559.725432,9593.712989,9635.759104,9684.085162,9739.348661,9789.933812,9841.361909,9898.361875,9957.502922,10003.69425,10050.09984,10096.72071,10143.55784,10190.61225,10237.88493,10285.3769,10333.08918,10381.02279,10429.17876
