old,new,
diffusion_solar.scenario_options,diffusion_template.input_main_scenario_options,
diffusion_solar.scenario_options (INFLATION),diffusion_template.input_main_market_inflation,not implemented?
diffusion_solar.scenario_options (ann_system_degradation),diffusion_template.input_solar_performance_annual_system_degradation,
diffusion_solar.solar_cost_projections,diffusion_template.input_solar_cost_projections,
diffusion_solar.cost_multipliers,diffusion_template.input_solar_cost_multipliers,not implemented?
diffusion_solar.learning_rates,diffusion_template.input_solar_cost_learning_rates,not implemented?
diffusion_solar.solar_performance_improvements,diffusion_template.input_solar_performance_improvements,
diffusion_solar.manual_carbon_intensities,diffusion_template.input_main_market_carbon_intensities,
diffusion_solar.system_sizing_factors,diffusion_template.input_solar_performance_system_sizing_factors,
diffusion_solar.cost_projections_to_model,diffusion_template.input_solar_cost_projections_to_model,
,,
diffusion_wind.scenario_options,diffusion_template.input_main_scenario_options,
diffusion_wind.scenario_options (INFLATION),diffusion_template.input_main_market_inflation,not implemented?
diffusion_wind.wind_cost_projections,diffusion_template.input_wind_cost_projections,
diffusion_wind.wind_performance_improvements,diffusion_template.input_wind_performance_improvements,
diffusion_wind.wind_generation_derate_factors,diffusion_template.input_wind_performance_gen_derate_factors,
diffusion_wind.system_sizing_factors,diffusion_template.input_wind_performance_system_sizing_factors,
diffusion_wind.min_acres_per_hu_lkup,diffusion_template.input_wind_siting_parcel_size,
diffusion_wind.max_hi_dev_pct_lkup,diffusion_template.input_wind_siting_hi_dev,
diffusion_wind.required_canopy_clearance_lkup,diffusion_template.input_wind_siting_canopy_clearance,
,,
diffusion_solar.nem_scenario,diffusion_template.input_main_nem_scenario,
diffusion_solar.nem_scenario_avoided_costs,diffusion_template.input_main_nem_avoided_costs,
diffusion_solar.user_defined_electric_rates,diffusion_template.input_main_market_flat_electric_rates,
diffusion_solar.rate_type_weights,diffusion_template.input_main_market_rate_type_weights,
diffusion_solar.leasing_availability,diffusion_template.input_solar_leasing_availability,
diffusion_solar.user_defined_max_market_share,diffusion_template.input_solar_finances_max_market_share,
diffusion_solar.manual_incentives,diffusion_template.input_solar_incentives,
diffusion_solar.depreciation_schedule,diffusion_template.input_solar_finances_depreciation_schedule,
diffusion_solar.financial_parameters,diffusion_template.input_solar_finances,
diffusion_solar.market_projections,diffusion_template.input_main_market_projections,
,,
diffusion_wind.nem_scenario,diffusion_template.input_main_nem_scenario,
diffusion_wind.nem_scenario_avoided_costs,diffusion_template.input_main_nem_avoided_costs,
diffusion_wind.user_defined_electric_rates,diffusion_template.input_main_market_flat_electric_rates,
diffusion_wind.rate_type_weights,diffusion_template.input_main_market_rate_type_weights,
diffusion_wind.leasing_availability,diffusion_template.input_wind_leasing_availability,
diffusion_wind.user_defined_max_market_share,diffusion_template.input_wind_finances_max_market_share,
diffusion_wind.manual_incentives,diffusion_template.input_wind_incentives,
diffusion_wind.depreciation_schedule,diffusion_template.input_wind_finances_depreciation_schedule,
diffusion_wind.financial_parameters,diffusion_template.input_wind_finances,
diffusion_wind.market_projections,diffusion_template.input_main_market_projections,
,,
,,
diffusion_wind.counties_to_model,diffusion_template.counties_to_model,
diffusion_solar.counties_to_model,diffusion_template.counties_to_model,
,,
diffusion_wind.carbon_intensities_to_model,diffusion_template.carbon_intensities_to_model,
diffusion_wind.carbon_intensities_to_model,diffusion_template.carbon_intensities_to_model,
,,
diffusion_wind.point_microdata_ind_us_joined,diffusion_template.point_microdata_ind_us_joined_wind,NEED TO CREATE A COMBINED WIND/SOLAR MICRODATA AFTER TESTING!!!!
diffusion_wind.point_microdata_com_us_joined,diffusion_template.point_microdata_com_us_joined_wind,NEED TO CREATE A COMBINED WIND/SOLAR MICRODATA AFTER TESTING!!!!
diffusion_wind.point_microdata_res_us_joined,diffusion_template.point_microdata_res_us_joined_wind,NEED TO CREATE A COMBINED WIND/SOLAR MICRODATA AFTER TESTING!!!!
diffusion_solar.point_microdata_ind_us_joined,diffusion_template.point_microdata_ind_us_joined_solar,NEED TO CREATE A COMBINED WIND/SOLAR MICRODATA AFTER TESTING!!!!
diffusion_solar.point_microdata_com_us_joined,diffusion_template.point_microdata_com_us_joined_solar,NEED TO CREATE A COMBINED WIND/SOLAR MICRODATA AFTER TESTING!!!!
diffusion_solar.point_microdata_res_us_joined,diffusion_template.point_microdata_res_us_joined_solar,NEED TO CREATE A COMBINED WIND/SOLAR MICRODATA AFTER TESTING!!!!
,,
diffusion_wind.sectors_to_model,diffusion_template.sectors_to_model,
diffusion_solar.sectors_to_model,diffusion_template.sectors_to_model,
,,
diffusion_wind.max_market_curves_to_model,diffusion_template.max_market_curves_to_model,
diffusion_solar.max_market_curves_to_model,diffusion_template.max_market_curves_to_model,
,,
diffusion_wind.rate_escalations_to_model,diffusion_template.rate_escalations_to_model,
diffusion_solar.rate_escalations_to_model,diffusion_template.rate_escalations_to_model,
,,
diffusion_wind.turbine_costs_per_size_and_year,diffusion_template.turbine_costs_per_size_and_year,
,,
diffusion_wind.all_rate_jsons,diffusion_template.all_rate_jsons,
diffusion_solar.all_rate_jsons,diffusion_template.all_rate_jsons,
