schema,table,proposed action,actual action,remaining to do
diffusion_shared,aeo_load_growth_projections_2013,DELETE,,
diffusion_shared,aeo_load_growth_projections_2014,,,
diffusion_shared,ann_ave_elec_rates_by_county_2012,,,
diffusion_shared,ann_ave_elec_rates_by_state_2012,?,,
diffusion_shared,ann_ave_elec_rates_by_utility_2012,?,,
diffusion_shared,annual_ave_elec_rates_2011,DELETE,,
diffusion_shared,applicable_rate_load_combinations_com,,,
diffusion_shared,applicable_rate_load_combinations_ind,,,
diffusion_shared,applicable_rate_load_combinations_res,,,
diffusion_shared,binned_annual_load_kwh_100_bins,DELETE,,
diffusion_shared,binned_annual_load_kwh_10_bins,DELETE,,
diffusion_shared,binned_annual_load_kwh_500_bins,DELETE,,
diffusion_shared,binned_annual_load_kwh_50_bins,DELETE,,
diffusion_shared,capital_cost_multipliers_us,,,
diffusion_shared,carbon_intensities,,,
diffusion_shared,cbecs_2003_max_demand_by_tmy_and_eia_region,,,
diffusion_shared,cbecs_2003_pba_to_eplus_crbs,,,
diffusion_shared,cbecs_recs_combined,,,
diffusion_shared,county_geom,,,
diffusion_shared,county_housing_units,,,
diffusion_shared,eia_microdata_cbecs_2003,,,
diffusion_shared,eia_microdata_cbecs_2003_pba_lookup,,,
diffusion_shared,eia_microdata_cbecs_2003_pbaplus8_lookup,,,
diffusion_shared,eia_microdata_recs_2009,,,
diffusion_shared,eia_reportable_domain_to_state_recs_2009,,,
diffusion_shared,energy_plus_load_meta,,,
diffusion_shared,energy_plus_max_normalized_demand,,,
diffusion_shared,energy_plus_max_normalized_demand_com,,,
diffusion_shared,energy_plus_max_normalized_demand_res,,,
diffusion_shared,energy_plus_normalized_load_com,,,
diffusion_shared,energy_plus_normalized_load_res,,,
diffusion_shared,load_and_customers_by_county_us,rename with year and source,,
diffusion_shared,max_market_share,?DELETE,,
diffusion_shared,max_market_share_revised,?SEE ABOVE,,
diffusion_shared,nem_scenario_bau,,,
diffusion_shared,nem_scenario_full_everywhere,,,
diffusion_shared,nem_scenario_none_everywhere,,,
diffusion_shared,net_metering_availability_2013,,,
diffusion_shared,pt_grid_us_com,,,
diffusion_shared,pt_grid_us_ind,,,
diffusion_shared,pt_grid_us_res,,,
diffusion_shared,pt_grid_us_res_new_0hu,see below -- delete one of theseÄ,,
diffusion_shared,pt_grid_us_res_new_bad,DELETE?,,
diffusion_shared,pt_grid_us_res_new_no_hu,DELETE?,,
diffusion_shared,pt_ranked_rate_array_lkup_com,?MOVE TO _DATA schema?,,
diffusion_shared,pt_ranked_rate_array_lkup_ind,?MOVE TO _DATA schema?,,
diffusion_shared,pt_ranked_rate_array_lkup_res,?MOVE TO _DATA schema?,,
diffusion_shared,pt_ranked_rate_arrays_com,?MOVE TO _DATA schema?,,
