Year,Cost ($2014/kW),Inverter Cost ($2014/kW),Fixed O&M ($2014/kW-yr),Variable O&M ($2014/kWh)
2014,3055.896534,140,0,0
2016,2482.789254,128.9753252,0,0
2018,1909.681975,128.9753252,0,0
2020,1336.574696,106.9259757,0,0
2022,1336.574696,106.9259757,0,0
2024,1336.574696,106.9259757,0,0
2026,1336.574696,106.9259757,0,0
2028,1336.574696,106.9259757,0,0
2030,1336.574696,106.9259757,0,0
2032,1336.574696,106.9259757,0,0
2034,1336.574696,106.9259757,0,0
2036,1336.574696,106.9259757,0,0
2038,1336.574696,106.9259757,0,0
2040,1336.574696,106.9259757,0,0
2042,1336.574696,106.9259757,0,0
2044,1336.574696,106.9259757,0,0
2046,1336.574696,106.9259757,0,0
2048,1336.574696,106.9259757,0,0
2050,1336.574696,106.9259757,0,0
