Year,Cost ($2014/kW),Inverter Cost ($2014/kW),Fixed O&M ($2014/kW-yr),Variable O&M ($2014/kWh)
2014,3667.07584,210,0,0
2016,2979.347105,182.7703903,0,0
2018,2291.61837,182.7703903,0,0
2020,1603.889635,128.3111708,0,0
2022,1603.889635,128.3111708,0,0
2024,1603.889635,128.3111708,0,0
2026,1603.889635,128.3111708,0,0
2028,1603.889635,128.3111708,0,0
2030,1603.889635,128.3111708,0,0
2032,1603.889635,128.3111708,0,0
2034,1603.889635,128.3111708,0,0
2036,1603.889635,128.3111708,0,0
2038,1603.889635,128.3111708,0,0
2040,1603.889635,128.3111708,0,0
2042,1603.889635,128.3111708,0,0
2044,1603.889635,128.3111708,0,0
2046,1603.889635,128.3111708,0,0
2048,1603.889635,128.3111708,0,0
2050,1603.889635,128.3111708,0,0
