,district_id,resource_id,tilt,azimuth,cf
0,547,362,15,180,[0 0 0 ... 0 0 0]
1,554,348,15,180,[ 0  0 72 ...  0  0  0]
2,553,260,15,180,[0 0 0 ... 0 0 0]
3,532,341,15,180,[0 0 0 ... 0 0 0]
4,536,330,15,180,[ 0  0 42 ...  0  0  0]
5,248,674,25,180,[  0   0 196 ...   0   0   0]
6,256,678,25,180,[  0   0 213 ...   0   0   0]
7,254,735,25,180,[  0   0 278 ...   0   0   0]
8,316,668,25,180,[  0   0 232 ...   0   0   0]
9,310,623,25,180,[  0   0 169 ...   0   0   0]
10,304,631,25,180,[  0   0 171 ...   0   0   0]
11,312,632,25,180,[  0   0 157 ...   0   0   0]
12,211,525,25,180,[ 0  0 75 ...  0  0  0]
13,216,587,25,180,[  0   0 135 ...   0   0   0]
14,214,592,25,180,[  0   0 140 ...   0   0   0]
15,208,529,25,180,[ 0  0 63 ...  0  0  0]
16,236,581,25,180,[  0   0 135 ...   0   0   0]
17,520,201,35,180,[0 0 0 ... 0 0 0]
18,406,449,15,180,[ 0  0 69 ...  0  0  0]
19,405,485,25,180,[ 0  0 71 ...  0  0  0]
20,401,442,25,180,[0 0 0 ... 0 0 0]
21,586,58,15,180,[0 0 0 ... 0 0 0]
22,585,55,15,180,[0 0 0 ... 0 0 0]
23,483,18,25,180,[0 0 0 ... 0 0 0]
24,469,17,25,180,[0 0 0 ... 0 0 0]
25,476,61,25,180,[0 0 0 ... 0 0 0]
26,479,5,25,180,[0 0 0 ... 0 0 0]
27,472,35,25,180,[0 0 0 ... 0 0 0]
28,84,497,25,180,[  0   0 106 ...   0   0   0]
29,85,143,25,180,[0 0 0 ... 0 0 0]
30,83,564,25,180,[  0   0 147 ...   0   0   0]
31,79,212,25,180,[0 0 0 ... 0 0 0]
32,77,166,25,180,[0 0 0 ... 0 0 0]
33,88,215,35,180,[0 0 0 ... 0 0 0]
34,33,170,35,180,[0 0 0 ... 0 0 0]
35,27,268,35,180,[0 0 0 ... 0 0 0]
36,29,169,35,180,[0 0 0 ... 0 0 0]
37,352,79,35,180,[0 0 0 ... 0 0 0]
38,346,337,25,180,[0 0 0 ... 0 0 0]
39,347,562,25,180,[  0   0 133 ...   0   0   0]
40,364,233,25,180,[0 0 0 ... 0 0 0]
41,573,110,15,180,[0 0 0 ... 0 0 0]
42,572,537,25,180,[  0   0 137 ...   0   0   0]
43,575,73,15,180,[0 0 0 ... 0 0 0]
44,597,189,15,180,[ 0  0 55 ...  0  0  0]
45,595,171,15,180,[ 0  0 49 ...  0  0  0]
46,600,220,15,180,[ 0  0 63 ...  0  0  0]
47,594,164,15,180,[ 0  0 17 ...  0  0  0]
48,587,28,15,180,[0 0 0 ... 0 0 0]
49,449,279,25,180,[0 0 0 ... 0 0 0]
50,420,97,25,180,[0 0 0 ... 0 0 0]
51,432,380,25,180,[0 0 0 ... 0 0 0]
52,444,450,25,180,[0 0 0 ... 0 0 0]
53,509,74,15,180,[0 0 0 ... 0 0 0]
54,527,222,25,180,[0 0 0 ... 0 0 0]
55,521,142,15,180,[0 0 0 ... 0 0 0]
56,514,173,25,180,[0 0 0 ... 0 0 0]
57,272,516,15,180,[  0   0 124 ...   0   0   0]
58,276,696,25,180,[  0   0 296 ...   0   0   0]
59,275,688,25,180,[  0   0 254 ...   0   0   0]
60,296,634,25,180,[  0   0 207 ...   0   0   0]
61,298,643,25,180,[  0   0 221 ...   0   0   0]
62,293,628,25,180,[  0   0 186 ...   0   0   0]
63,297,644,25,180,[  0   0 204 ...   0   0   0]
