,district_id,resource_id,tilt,azimuth,cf
0,546,439,15,180,[ 0  0 96 ...  0  0  0]
1,538,293,15,180,[0 0 0 ... 0 0 0]
2,537,313,15,180,[0 0 0 ... 0 0 0]
3,547,423,15,180,[ 0  0 90 ...  0  0  0]
4,548,406,15,180,[ 0  0 69 ...  0  0  0]
5,532,341,15,180,[0 0 0 ... 0 0 0]
6,545,453,15,180,[  0   0 103 ...   0   0   0]
7,542,512,15,180,[  0   0 119 ...   0   0   0]
8,549,378,15,180,[ 0  0 63 ...  0  0  0]
9,554,348,15,180,[ 0  0 72 ...  0  0  0]
10,533,684,15,180,[  0  48 185 ...   0   0   0]
11,540,390,15,180,[0 0 4 ... 0 0 0]
12,544,478,15,180,[  0   0 112 ...   0   0   0]
13,553,260,15,180,[0 0 0 ... 0 0 0]
14,534,362,15,180,[0 0 0 ... 0 0 0]
15,541,424,15,180,[ 0  0 69 ...  0  0  0]
16,536,330,15,180,[ 0  0 42 ...  0  0  0]
17,539,357,15,180,[0 0 1 ... 0 0 0]
18,535,307,15,180,[0 0 0 ... 0 0 0]
19,543,496,15,180,[  0   0 116 ...   0   0   0]
20,552,285,15,180,[0 0 0 ... 0 0 0]
21,253,735,25,180,[  0   0 278 ...   0   0   0]
22,249,695,25,180,[  0   0 223 ...   0   0   0]
23,251,728,25,180,[  0   0 220 ...   0   0   0]
24,254,729,25,180,[  0   0 246 ...   0   0   0]
25,256,678,25,180,[  0   0 213 ...   0   0   0]
26,248,683,25,180,[  0   0 213 ...   0   0   0]
27,246,655,25,180,[  0   0 218 ...   0   0   0]
28,259,736,25,180,[  0   0 327 ...   0   0   0]
29,245,647,25,180,[  0   0 267 ...   0   0   0]
30,255,690,25,180,[  0   0 218 ...   0   0   0]
31,258,731,25,180,[  0   0 265 ...   0   0   0]
32,247,674,25,180,[  0   0 196 ...   0   0   0]
33,252,722,25,180,[  0   0 236 ...   0   0   0]
34,250,715,25,180,[  0   0 158 ...   0   0   0]
35,305,665,25,180,[  0   0 179 ...   0   0   0]
36,310,726,25,180,[  0   0 224 ...   0   0   0]
37,303,632,25,180,[  0   0 157 ...   0   0   0]
38,304,653,25,180,[  0   0 197 ...   0   0   0]
39,309,730,25,180,[  0   0 233 ...   0   0   0]
40,316,668,25,180,[  0   0 232 ...   0   0   0]
41,313,692,25,180,[  0   0 220 ...   0   0   0]
42,301,623,25,180,[  0   0 169 ...   0   0   0]
43,321,639,25,180,[  0   0 190 ...   0   0   0]
44,311,713,25,180,[  0   0 223 ...   0   0   0]
45,302,630,25,180,[  0   0 176 ...   0   0   0]
46,323,638,25,180,[  0   0 175 ...   0   0   0]
47,318,658,25,180,[  0   0 206 ...   0   0   0]
48,317,654,25,180,[  0   0 179 ...   0   0   0]
49,300,625,25,180,[  0   0 168 ...   0   0   0]
50,314,670,25,180,[  0   0 215 ...   0   0   0]
51,308,717,25,180,[  0   0 169 ...   0   0   0]
52,325,650,25,180,[  0   0 189 ...   0   0   0]
