"State","Year","scenario","variable","marg.cost"
"Andhra_Pradesh",2017,"Base","load",2797.23356696114
"Andhra_Pradesh",2018,"Base","load",2798.7773841352
"Andhra_Pradesh",2019,"Base","load",2689.29210437414
"Andhra_Pradesh",2020,"Base","load",2536.69840153451
"Andhra_Pradesh",2021,"Base","load",2433.18157002273
"Andhra_Pradesh",2022,"Base","load",2425.4187171127
"Andhra_Pradesh",2023,"Base","load",2641.03718883317
"Andhra_Pradesh",2024,"Base","load",2635.0151363794
"Andhra_Pradesh",2025,"Base","load",2688.04200984532
"Andhra_Pradesh",2026,"Base","load",2712.92308442974
"Andhra_Pradesh",2027,"Base","load",2658.45683382936
"Andhra_Pradesh",2028,"Base","load",2888.49043685042
"Andhra_Pradesh",2029,"Base","load",2670.11802640779
"Andhra_Pradesh",2030,"Base","load",2669.51608559265
"Andhra_Pradesh",2031,"Base","load",2645.9243546362
"Andhra_Pradesh",2032,"Base","load",2519.54410405536
"Andhra_Pradesh",2033,"Base","load",2812.77788691429
"Andhra_Pradesh",2034,"Base","load",2736.37239620827
"Andhra_Pradesh",2035,"Base","load",2808.48361279443
"Andhra_Pradesh",2036,"Base","load",2815.11826566539
"Andhra_Pradesh",2037,"Base","load",2822.80337611954
"Andhra_Pradesh",2038,"Base","load",2857.50560969153
"Andhra_Pradesh",2039,"Base","load",2960.29390816697
"Andhra_Pradesh",2040,"Base","load",2966.51504962672
"Andhra_Pradesh",2041,"Base","load",2945.98654256447
"Andhra_Pradesh",2042,"Base","load",2943.80482397156
"Andhra_Pradesh",2043,"Base","load",2918.9511098222
"Andhra_Pradesh",2044,"Base","load",2939.12682897693
"Andhra_Pradesh",2045,"Base","load",2927.04867814836
"Andhra_Pradesh",2046,"Base","load",2949.58167531521
"Andhra_Pradesh",2047,"Base","load",3032.37955810701
"Arunachal_Pradesh",2017,"Base","load",2854.70679775784
"Arunachal_Pradesh",2018,"Base","load",2871.20457612262
"Arunachal_Pradesh",2019,"Base","load",2734.03304553448
"Arunachal_Pradesh",2020,"Base","load",2554.41772018406
"Arunachal_Pradesh",2021,"Base","load",2439.12828571833
"Arunachal_Pradesh",2022,"Base","load",2435.89135981288
"Arunachal_Pradesh",2023,"Base","load",2658.14651940925
"Arunachal_Pradesh",2024,"Base","load",2624.73496916895
"Arunachal_Pradesh",2025,"Base","load",2663.28020338777
"Arunachal_Pradesh",2026,"Base","load",2701.55438574437
"Arunachal_Pradesh",2027,"Base","load",2649.62600435871
"Arunachal_Pradesh",2028,"Base","load",2836.5136674741
"Arunachal_Pradesh",2029,"Base","load",2618.12500413696
"Arunachal_Pradesh",2030,"Base","load",2598.47535910621
"Arunachal_Pradesh",2031,"Base","load",2565.56792893655
"Arunachal_Pradesh",2032,"Base","load",2482.52617005774
"Arunachal_Pradesh",2033,"Base","load",2679.68328773565
"Arunachal_Pradesh",2034,"Base","load",2715.85480885394
"Arunachal_Pradesh",2035,"Base","load",2779.70183991272
"Arunachal_Pradesh",2036,"Base","load",2783.20671963735
"Arunachal_Pradesh",2037,"Base","load",2774.39754059568
"Arunachal_Pradesh",2038,"Base","load",2790.48551151412
"Arunachal_Pradesh",2039,"Base","load",2918.73346031143
"Arunachal_Pradesh",2040,"Base","load",2952.07352749883
"Arunachal_Pradesh",2041,"Base","load",2946.9364737758
"Arunachal_Pradesh",2042,"Base","load",2917.18487902972
"Arunachal_Pradesh",2043,"Base","load",2908.28052658993
"Arunachal_Pradesh",2044,"Base","load",2915.01132260568
"Arunachal_Pradesh",2045,"Base","load",2898.02393958767
"Arunachal_Pradesh",2046,"Base","load",2912.59575150453
"Arunachal_Pradesh",2047,"Base","load",2981.18845887252
"Assam",2017,"Base","load",2849.81231684905
"Assam",2018,"Base","load",2859.30196078428
"Assam",2019,"Base","load",2739.55314845006
"Assam",2020,"Base","load",2579.52517573681
"Assam",2021,"Base","load",2463.09128999893
"Assam",2022,"Base","load",2459.80973373836
"Assam",2023,"Base","load",2684.26097632086
"Assam",2024,"Base","load",2650.52837319661
"Assam",2025,"Base","load",2689.45393000238
"Assam",2026,"Base","load",2728.11013665554
"Assam",2027,"Base","load",2675.67076263961
"Assam",2028,"Base","load",2864.38675153087
"Assam",2029,"Base","load",2643.87873648107
"Assam",2030,"Base","load",2623.87628169916
"Assam",2031,"Base","load",2590.67751527857
"Assam",2032,"Base","load",2506.88118996912
"Assam",2033,"Base","load",2700.30773600641
"Assam",2034,"Base","load",2739.6807740715
"Assam",2035,"Base","load",2798.10154587673
"Assam",2036,"Base","load",2803.08560092898
"Assam",2037,"Base","load",2792.24462663189
"Assam",2038,"Base","load",2809.75532829922
