State,2016,2017,2018,2019
Arunachal Pradesh,0.27,0.27,5.39,5.39
Assam,0,11.78,12.45,22.4
Bihar,5.1,108.52,142.45,142.45
Chhattisgarh,93.58,128.86,231.35,231.35
Goa,0,0.71,0.91,3.92
Gujarat,1119.17,1249.37,1588,2440.13
Haryana,15.39,81.4,216.85,224.52
Himachal Pradesh,0.2,0.73,0.73,22.68
Jharkhand,16.19,23.27,25.67,34.95
Karnataka,145.46,1027.84,4944.12,6095.56
Kerala,13.04,74.2,107.94,138.59
Madhya Pradesh,776.37,857.04,1305.35,1840.16
Maharashtra,385.76,452.37,1239.18,1633.54
Manipur,0,0.03,0.06,3.44
Meghalaya,0,0.01,0.02,0.12
Mizoram,0.1,0.1,0.2,0.5
Nagaland,0,0.5,1,1
Odisha,66.92,79.42,79.57,394.73
Punjab,405.06,793.95,905.62,905.62
Rajasthan,1269.93,1812.93,2332.77,3226.79
Sikkim,0,0,0,0.01
Tamil Nadu,1061.82,1691.83,1908.57,2575.22
Tripura,5,5.09,5.09,5.09
Uttar Pradesh,143.5,336.73,694.41,960.1
Uttarakhand,0,0,0,0
West Bengal,7.77,26.14,37.32,75.95
Andaman and Nicobar Islands,5.1,6.56,6.56,11.73
Chandigarh,6.81,17.32,25.2,34.71
Dadra Nagar Haveli,0,2.97,5.46,5.46
Daman Diu,0,10.46,10.61,14.47
Nct of Delhi,14.28,40.27,69.57,126.89
Jammu and Kashmir,1,1.36,1.36,14.83
Puducherry,0,0,0,0
Andhra Pradesh,1100.8,3154.21,5486.71,6677.77
