state,sector_abbr,tension,min_kwh,max_kwh,rate_rs_per_kwh,per_unit
jammu_kashmir,res,LT,0,100,1.69,
jammu_kashmir,res,LT,100,200,2.29,
jammu_kashmir,res,LT,200,400,3.3,
jammu_kashmir,res,HT,,,5.01,
jammu_kashmir,com,LT,0,100,2.81,
jammu_kashmir,com,LT,100,200,2.97,
jammu_kashmir,com,LT,200,300,4.29,
jammu_kashmir,com,LT,300,,4.62,
jammu_kashmir,com,HT,0,,5.01,
jammu_kashmir,ind,LT,0,50,3.3,
jammu_kashmir,ind,LT,50,,3.09,
jammu_kashmir,ind,HT,11,,2.95,
jammu_kashmir,ind,HT,33,,2.86,
himachal_pradesh,res,LT,0,125,3.95,
himachal_pradesh,res,LT,125,300,4.85,
himachal_pradesh,res,LT,300,,5.45,
himachal_pradesh,res,HT,0,125,3.7,
himachal_pradesh,res,HT,125,300,4.6,
himachal_pradesh,res,HT,300,,5.1,
himachal_pradesh,com,LT,0,20,5.1,
himachal_pradesh,com,LT,20,100,4.85,
himachal_pradesh,com,HT,,,4.75,
himachal_pradesh,ind,LT,0,20,4.75,
himachal_pradesh,ind,LT,20,50,4.6,
himachal_pradesh,ind,HT,,,4.6,
punjab,res,LT,0,100,4.99,
punjab,res,LT,100,300,6.59,
punjab,res,LT,300,,7.2,
punjab,res,HT,0,,6.52,
punjab,com,LT,0,100,6.91,
punjab,com,LT,100,500,7.17,
punjab,com,LT,500,,7.29,
punjab,com,HT,0,,6.54,
punjab,ind,LT,0,,5.37,
punjab,ind,HT,0,,5.8,
chandigarh,res,LT,0,150,2.75,
chandigarh,res,LT,150,400,4.8,
chandigarh,res,LT,400,,5.2,
chandigarh,res,HT,0,,4.8,
chandigarh,com,LT,0,150,5,
chandigarh,com,LT,150,400,5.3,
chandigarh,com,LT,400,,5.6,
chandigarh,com,HT,0,,5.3,
chandigarh,ind,LT,0,,4.75,
chandigarh,ind,HT,0,,5,
uttarakhand,res,LT,0,100,2.8,
uttarakhand,res,LT,100,200,3.75,
uttarakhand,res,LT,200,400,5.15,
uttarakhand,res,LT,400,,5.9,
uttarakhand,res,HT,0,100,2.55,
uttarakhand,res,HT,100,200,3.3,
uttarakhand,res,HT,200,300,4.5,
uttarakhand,res,HT,300,400,4.5,
uttarakhand,res,HT,400,500,5.1,
uttarakhand,res,HT,500,,5.1,
uttarakhand,com,LT,0,,4.85,
uttarakhand,com,HT,0,,5.3,
uttarakhand,ind,LT,0,10,4.6,kw
uttarakhand,ind,LT,25,75,4.25,kw
uttarakhand,ind,HT,0,,4.6,
haryana,res,LT,0,,4.5,
haryana,res,LT,150,,5.25,
haryana,res,LT,250,,6.3,
haryana,res,LT,500,,7.1,
haryana,res,HT,0,,6.4,
haryana,com,LT,0,5,6.35,
haryana,com,LT,5,20,7.05,
haryana,com,LT,20,50,6.6,
haryana,com,LT,50,70,6.95,
haryana,com,HT,50,,6.75,
haryana,ind,HT,50,,6.75,
haryana,ind,LT,0,10,6.35,kw
haryana,ind,LT,10,20,6.65,kw
haryana,ind,LT,20,50,6.4,kw
haryana,ind,LT,50,70,6.65,kw
haryana,ind,LT,11,,6.65,kv
haryana,ind,LT,33,,6.55,kv
nct_of_delhi,res,LT,0,200,3,
nct_of_delhi,res,LT,200,400,4.5,
nct_of_delhi,res,LT,400,800,6.5,
nct_of_delhi,res,LT,800,1200,7,
nct_of_delhi,res,LT,1200,,8,
nct_of_delhi,res,HT,0,,4.5,
nct_of_delhi,com,LT,0,3,6,kw
nct_of_delhi,com,LT,3,,8.5,kw
nct_of_delhi,com,HT,0,,8.5,
nct_of_delhi,ind,LT,0,,7.75,
nct_of_delhi,ind,HT,0,,7.75,
rajasthan,res,LT,0,50,4.75,
rajasthan,res,LT,50,150,6.5,
rajasthan,res,LT,150,300,7.35,
rajasthan,res,LT,300,500,7.65,
rajasthan,res,LT,500,,7.95,
rajasthan,res,HT,0,,7.15,
rajasthan,com,LT,0,100,7.55,
rajasthan,com,LT,100,200,8.5,
rajasthan,com,LT,200,500,8.85,
rajasthan,com,LT,500,,8.95,
rajasthan,com,HT,0,,8.85,
rajasthan,ind,LT,0,500,6,
rajasthan,ind,LT,500,,6.45,
rajasthan,ind,HT,,,7,
uttar_pradesh,res,LT,0,150,3.85,
uttar_pradesh,res,LT,150,300,5,
uttar_pradesh,res,LT,300,500,5.5,
uttar_pradesh,res,LT,500,,6,
uttar_pradesh,res,HT,0,2500,7.5,
uttar_pradesh,res,HT,2500,,7.7,
uttar_pradesh,com,LT,0,300,7.5,
uttar_pradesh,com,LT,300,1000,8.4,
uttar_pradesh,com,LT,1000,,8.75,
uttar_pradesh,com,HT,0,2500,8.32,
uttar_pradesh,com,HT,2500,,8.68,
uttar_pradesh,ind,LT,0,1000,9,
uttar_pradesh,ind,LT,1000,,9.3,
uttar_pradesh,ind,HT,0,,7.1,
bihar,res,LT,0,100,6.05,
bihar,res,LT,100,200,6.85,
bihar,res,LT,200,300,7.7,
bihar,res,LT,300,,8,
bihar,res,HT,0,,6.55,
bihar,com,LT,0,100,6.3,
bihar,com,LT,100,200,6.85,
bihar,com,LT,200,,7.4,
bihar,com,HT,11,,6.55,kv
bihar,com,HT,33,,6.5,kv
bihar,ind,LT,0,,6.4,
bihar,ind,HT,11,,6.55,
bihar,ind,HT,33,,6.5,
