Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"India","IND","National","INDt","Total",0.431,0.435,0.442,0.449,0.456,0.463,0.471,0.477,0.484,0.492,0.498,0.502,0.508,0.521,0.530,0.539,0.548,0.558,0.565,0.571,0.582,0.590,0.600,0.607,0.618,0.627,0.637,0.643,0.647
"India","IND","Subnat","INDr136","Andaman and Nicobar Islands",0.683,0.690,0.700,0.696,0.694,0.693,0.693,0.691,0.691,0.692,0.694,0.695,0.698,0.709,0.714,0.720,0.726,0.722,0.716,0.709,0.707,0.703,0.701,0.706,0.714,0.721,0.729,0.735,0.739
"India","IND","Subnat","INDr101","Andhra Pradesh",0.424,0.428,0.434,0.439,0.444,0.450,0.456,0.459,0.464,0.470,0.478,0.484,0.493,0.508,0.519,0.530,0.542,0.553,0.562,0.568,0.580,0.590,0.600,0.608,0.620,0.629,0.640,0.646,0.650
"India","IND","Subnat","INDr125","Arunachal Pradesh",0.437,0.442,0.448,0.455,0.463,0.471,0.479,0.484,0.491,0.499,0.502,0.506,0.510,0.521,0.528,0.535,0.543,0.570,0.594,0.616,0.641,0.665,0.689,0.679,0.672,0.661,0.651,0.657,0.660
"India","IND","Subnat","INDr102","Assam",0.411,0.415,0.421,0.429,0.438,0.447,0.456,0.464,0.472,0.482,0.488,0.493,0.500,0.513,0.522,0.531,0.542,0.549,0.554,0.558,0.567,0.574,0.582,0.586,0.593,0.598,0.605,0.610,0.614
"India","IND","Subnat","INDr103","Bihar",0.378,0.382,0.388,0.394,0.401,0.407,0.414,0.419,0.425,0.432,0.436,0.440,0.444,0.455,0.463,0.470,0.478,0.488,0.497,0.504,0.514,0.524,0.533,0.539,0.550,0.557,0.567,0.572,0.576
"India","IND","Subnat","INDr131","Chandigarth",0.633,0.639,0.648,0.644,0.642,0.641,0.640,0.637,0.636,0.636,0.638,0.638,0.641,0.652,0.657,0.663,0.669,0.665,0.658,0.651,0.648,0.645,0.643,0.672,0.704,0.734,0.764,0.770,0.775
"India","IND","Subnat","INDr129","Chhattisgarh",0.562,0.567,0.575,0.572,0.569,0.569,0.567,0.564,0.562,0.563,0.564,0.564,0.567,0.577,0.582,0.588,0.594,0.589,0.583,0.576,0.574,0.571,0.569,0.576,0.586,0.594,0.604,0.609,0.613
"India","IND","Subnat","INDr132","Dadra and Nagar Haveli",0.672,0.679,0.689,0.685,0.684,0.683,0.683,0.681,0.680,0.681,0.684,0.684,0.686,0.698,0.703,0.709,0.716,0.711,0.705,0.698,0.696,0.692,0.690,0.680,0.673,0.663,0.653,0.659,0.663
"India","IND","Subnat","INDr134","Daman and Diu",0.651,0.657,0.666,0.664,0.663,0.662,0.662,0.661,0.661,0.662,0.664,0.665,0.668,0.678,0.683,0.688,0.695,0.691,0.685,0.679,0.677,0.673,0.672,0.676,0.684,0.690,0.697,0.704,0.708
"India","IND","Subnat","INDr104","Goa",0.552,0.557,0.565,0.569,0.575,0.581,0.587,0.593,0.598,0.606,0.614,0.621,0.630,0.647,0.659,0.671,0.685,0.699,0.711,0.721,0.737,0.749,0.764,0.759,0.758,0.754,0.750,0.756,0.761
"India","IND","Subnat","INDr105","Gujarat",0.470,0.475,0.482,0.487,0.491,0.498,0.504,0.508,0.514,0.521,0.527,0.533,0.540,0.554,0.564,0.573,0.584,0.591,0.595,0.598,0.606,0.612,0.619,0.628,0.641,0.651,0.663,0.668,0.672
"India","IND","Subnat","INDr106","Haryana",0.467,0.471,0.479,0.487,0.497,0.506,0.516,0.524,0.533,0.544,0.549,0.554,0.559,0.573,0.582,0.591,0.600,0.610,0.618,0.623,0.634,0.643,0.653,0.662,0.675,0.686,0.698,0.704,0.708
"India","IND","Subnat","INDr107","Himachal Pradesh",0.479,0.484,0.491,0.503,0.516,0.530,0.543,0.554,0.566,0.581,0.589,0.596,0.604,0.620,0.632,0.644,0.656,0.660,0.662,0.661,0.667,0.671,0.675,0.683,0.695,0.704,0.714,0.721,0.725
