year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,1390,1289.18568,1289.18568,10,7.5,7.5,0,0,0
2015,1220,1131.515489,1131.515489,9.669992181,7.309325102,7.309325102,0,0,0
2016,1050,973.8452977,973.8452977,9.033924475,7.140163063,7.140163063,0,0,0
2017,925,857.9113337,857.9113337,6.920791082,5.434557446,5.434557446,0,0,0
2018,855,792.9883139,792.9883139,6.510416579,5.29,5.29,0,0,0
2019,740,686.329067,686.329067,6.178869133,4.986026479,4.986026479,0,0,0
2020,720,667.7796327,667.7796327,5.507747013,4.598707522,4.598707522,0,0,0
2021,700,649.2301985,649.2301985,5.053848432,4.34969842,4.34969842,0,0,0
2022,670,621.4060471,621.4060471,4.899267803,4.218175825,4.218175825,0,0,0
2023,670,621.4060471,621.4060471,4.744687177,4.086653231,4.086653231,0,0,0
2024,670,621.4060471,621.4060471,4.590106552,3.955130633,3.955130633,0,0,0
2025,670,621.4060471,621.4060471,4.435525927,3.823608038,3.823608038,0,0,0
2026,670,621.4060471,621.4060471,4.280945301,3.692085442,3.692085442,0,0,0
2027,670,621.4060471,621.4060471,4.126364676,3.560562847,3.560562847,0,0,0
2028,670,621.4060471,621.4060471,3.97178405,3.429040251,3.429040251,0,0,0
2029,670,621.4060471,621.4060471,3.817203424,3.297517656,3.297517656,0,0,0
2030,670,621.4060471,621.4060471,3.662622799,3.16599506,3.16599506,0,0,0
2031,670,621.4060471,621.4060471,3.602105846,3.137213287,3.137213287,0,0,0
2032,670,621.4060471,621.4060471,3.541588893,3.108431514,3.108431514,0,0,0
2033,670,621.4060471,621.4060471,3.48107194,3.079649741,3.079649741,0,0,0
2034,670,621.4060471,621.4060471,3.420554988,3.050867967,3.050867967,0,0,0
2035,670,621.4060471,621.4060471,3.360038035,3.022086194,3.022086194,0,0,0
2036,670,621.4060471,621.4060471,3.306901623,3,3,0,0,0
2037,670,621.4060471,621.4060471,3.246249302,3,3,0,0,0
2038,670,621.4060471,621.4060471,3.185596982,3,3,0,0,0
2039,670,621.4060471,621.4060471,3.124944662,3,3,0,0,0
2040,670,621.4060471,621.4060471,3.064292342,3,3,0,0,0
2041,670,621.4060471,621.4060471,3.040352558,3,3,0,0,0
2042,670,621.4060471,621.4060471,3.016412774,3,3,0,0,0
2043,670,621.4060471,621.4060471,3,3,3,0,0,0
2044,670,621.4060471,621.4060471,3,3,3,0,0,0
2045,670,621.4060471,621.4060471,3,3,3,0,0,0
2046,670,621.4060471,621.4060471,3,3,3,0,0,0
2047,670,621.4060471,621.4060471,3,3,3,0,0,0
2048,670,621.4060471,621.4060471,3,3,3,0,0,0
2049,670,621.4060471,621.4060471,3,3,3,0,0,0
2050,670,621.4060471,621.4060471,3,3,3,0,0,0
