year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,1390,1289.18568,1289.18568,10,7.5,7.5,0,0,0
2015,1220,1131.515489,1131.515489,9.669992181,7.309325102,7.309325102,0,0,0
2016,1050,973.8452977,973.8452977,9.033924475,7.140163063,7.140163063,0,0,0
2017,925,857.9113337,857.9113337,6.920791082,5.434557446,5.434557446,0,0,0
2018,855,792.9883139,792.9883139,6.510416579,5.29,5.29,0,0,0
2019,740,686.329067,686.329067,6.178869133,4.986026479,4.986026479,0,0,0
2020,720,667.7796327,667.7796327,5.507747013,4.598707522,4.598707522,0,0,0
2021,700,649.2301985,649.2301985,5.053848432,4.34969842,4.34969842,0,0,0
2022,670,621.4060471,621.4060471,4.899267803,4.218175825,4.218175825,0,0,0
2023,650,602.8566129,602.8566129,4.744687177,4.086653231,4.086653231,0,0,0
2024,599.0322834,555.5854975,555.5854975,4.590106552,3.955130633,3.955130633,0,0,0
2025,573.3080659,531.7270134,531.7270134,4.435525927,3.823608038,3.823608038,0,0,0
2026,549.8236952,509.9459239,509.9459239,4.280945301,3.692085442,3.692085442,0,0,0
2027,528.2201684,489.909264,489.909264,4.126364676,3.560562847,3.560562847,0,0,0
2028,508.2184267,471.3582143,471.3582143,3.97178405,3.429040251,3.429040251,0,0,0
2029,489.5972507,454.0876004,454.0876004,3.817203424,3.297517656,3.297517656,0,0,0
2030,472.1783039,437.9320199,437.9320199,3.662622799,3.16599506,3.16599506,0,0,0
2031,455.8157184,422.7561848,422.7561848,3.602105846,3.137213287,3.137213287,0,0,0
2032,440.3886625,408.4480268,408.4480268,3.541588893,3.108431514,3.108431514,0,0,0
2033,425.7959195,394.9136705,394.9136705,3.48107194,3.079649741,3.079649741,0,0,0
2034,411.9518594,382.0736963,382.0736963,3.420554988,3.050867967,3.050867967,0,0,0
2035,398.7833941,369.8603173,369.8603173,3.360038035,3.022086194,3.022086194,0,0,0
2036,386.2276418,358.2152122,358.2152122,3.306901623,3,3,0,0,0
2037,374.2301111,347.0878419,347.0878419,3.246249302,3,3,0,0,0
2038,362.7432712,336.4341228,336.4341228,3.185596982,3,3,0,0,0
2039,351.7254149,326.2153728,326.2153728,3.124944662,3,3,0,0,0
2040,341.1397444,316.3974628,316.3974628,3.064292342,3,3,0,0,0
2041,330.9536299,306.9501298,306.9501298,3.040352558,3,3,0,0,0
2042,321.1380027,297.8464132,297.8464132,3.016412774,3,3,0,0,0
2043,311.6668555,289.0621921,289.0621921,3,3,3,0,0,0
2044,302.5168267,280.5757992,280.5757992,3,3,3,0,0,0
2045,293.6668535,272.3676994,272.3676994,3,3,3,0,0,0
2046,285.0978798,264.4202187,264.4202187,3,3,3,0,0,0
2047,276.7926092,256.7173152,256.7173152,3,3,3,0,0,0
2048,268.7352944,249.2443836,249.2443836,3,3,3,0,0,0
2049,260.9115582,241.9880896,241.9880896,3,3,3,0,0,0
2050,253.3082385,234.9362257,234.9362257,3,3,3,0,0,0
