year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,1390,1289.18568,1289.18568,10,7.5,7.5,0,0,0
2015,1220,1131.515489,1131.515489,9.669992181,7.309325102,7.309325102,0,0,0
2016,1050,973.8452977,973.8452977,9.033924475,7.140163063,7.140163063,0,0,0
2017,925,857.9113337,857.9113337,6.920791082,5.434557446,5.434557446,0,0,0
2018,855,792.9883139,792.9883139,6.510416579,5.29,5.29,0,0,0
2019,740,686.329067,636.5507948,6.178869133,4.986026479,4.986026479,0,0,0
2020,720,667.7796327,619.3467193,5.507747013,4.598707522,4.598707522,0,0,0
2021,700,649.2301985,602.1426437,5.053848432,4.34969842,4.34969842,0,0,0
2022,670,621.4060471,576.3365304,4.899267803,4.218175825,4.218175825,0,0,0
2023,650,602.8566129,559.1324549,4.744687177,4.086653231,4.086653231,0,0,0
2024,628.3879666,582.8120633,540.5417021,4.590106552,3.955130633,3.955130633,0,0,0
2025,606.7759332,562.7675136,521.9509494,4.435525927,3.823608038,3.823608038,0,0,0
2026,585.1638998,542.722964,503.3601966,4.280945301,3.692085442,3.692085442,0,0,0
2027,563.5518668,522.6784148,484.7694442,4.126364676,3.560562847,3.560562847,0,0,0
2028,541.9398334,502.6338651,466.1786915,3.97178405,3.429040251,3.429040251,0,0,0
2029,520.3278,482.5893155,447.5879387,3.817203424,3.297517656,3.297517656,0,0,0
2030,498.7157666,462.5447659,428.997186,3.662622799,3.16599506,3.16599506,0,0,0
2031,490.2548462,454.6975016,421.7190703,3.602105846,3.137213287,3.137213287,0,0,0
2032,481.7939255,446.850237,414.4409543,3.541588893,3.108431514,3.108431514,0,0,0
2033,473.3330048,439.0029724,407.1628384,3.48107194,3.079649741,3.079649741,0,0,0
2034,464.8720844,431.155708,399.8847227,3.420554988,3.050867967,3.050867967,0,0,0
2035,456.4111637,423.3084434,392.6066068,3.360038035,3.022086194,3.022086194,0,0,0
2036,447.9502433,415.4611791,385.3284911,3.306901623,3,3,0,0,0
2037,439.4893226,407.6139145,378.0503752,3.246249302,3,3,0,0,0
2038,431.0284019,399.7666499,370.7722592,3.185596982,3,3,0,0,0
2039,422.5674815,391.9193855,363.4941435,3.124944662,3,3,0,0,0
2040,414.1065607,384.0721208,356.2160275,3.064292342,3,3,0,0,0
2041,410.7669917,380.9747651,353.3433176,3.040352558,3,3,0,0,0
2042,407.4274227,377.8774093,350.4706078,3.016412774,3,3,0,0,0
2043,404.0878536,374.7800534,347.5978978,3,3,3,0,0,0
2044,400.7482846,371.6826976,344.7251879,3,3,3,0,0,0
2045,397.4087156,368.5853419,341.8524781,3,3,3,0,0,0
2046,394.0691465,365.487986,338.9797681,3,3,3,0,0,0
2047,390.7295775,362.3906302,336.1070583,3,3,3,0,0,0
2048,387.3900084,359.2932743,333.2343483,3,3,3,0,0,0
2049,384.0504394,356.1959186,330.3616384,3,3,3,0,0,0
2050,380.7108704,353.0985628,327.4889286,3,3,3,0,0,0
