state_name,2014,2015,2016,2017,2018,2019,sector_abbr
Andhra Pradesh,0.381822389,11.10152742,20.59633298,35.86019071,53.11410604,76.67504393,com
Arunachal Pradesh,0.001363651,0.039648312,0.073558332,0.12807211,2.167922695,1.680548908,com
Assam,0.054546056,1.585932489,2.942333283,5.122884387,4.986222199,6.827229939,com
Bihar,0.040909542,1.189449367,2.206749962,3.84216329,13.00753617,12.60411681,com
Chhattisgarh,0.081819083,2.378898733,4.413499924,7.68432658,8.671690781,9.453087608,com
Goa,0,0,0,0,0,0,com
Gujarat,0.259093764,7.533179323,13.97608309,24.33370084,30.35091773,36.76200737,com
Haryana,0.327276333,9.515594934,17.6539997,30.73730632,66.12164221,77.725387,com
Himachal Pradesh,0,0,0,0,0,5.251715338,com
Jharkhand,0.054546056,1.585932489,2.942333283,5.122884387,5.419806738,6.302058406,com
Karnataka,0.531824041,15.46284177,28.68774951,49.94812277,96.47255994,122.8901389,com
Kerala,0.081819083,2.378898733,4.413499924,7.68432658,20.59526561,29.40960589,com
Madhya Pradesh,0.068182569,1.982415611,3.677916603,6.403605484,13.00753617,26.25857669,com
Maharashtra,0.627279638,18.23822362,33.83683275,58.91317045,100.8084053,167.0045477,com
Manipur,0,0,0,0,0,1.050343068,com
Meghalaya,0,0,0,0,0,0,com
Mizoram,0,0,0,0,0.108396135,0.105034307,com
Nagaland,0.002727303,0.079296624,0.147116664,0.256144219,0.433584539,0.31510292,com
Odisha,0.027273028,0.792966244,1.471166641,2.561442193,5.419806738,9.453087608,com
Punjab,0.545460555,15.85932489,29.42333283,51.22884387,61.78579682,79.82607314,com
Rajasthan,0.286366791,8.326145567,15.44724973,26.89514303,36.85468582,68.27229939,com
Sikkim,0,0,0,0,0,0,com
Tamil Nadu,0.4909145,14.2733924,26.48099954,46.10595948,70.4574876,90.32950381,com
Telangana,0.300003305,8.722628689,16.18283306,28.17586413,35.77072447,44.11440884,com
Tripura,0.023182074,0.674021308,1.250491645,2.177225864,2.059526561,1.575514601,com
Uttar Pradesh,0.368185875,10.7050443,19.86074966,34.57946961,108.3961348,128.1418542,com
Uttarakhand,0.027273028,0.792966244,1.471166641,2.561442193,10.83961348,12.60411681,com
West Bengal,0.040909542,1.189449367,2.206749962,3.84216329,15.17545887,24.15789055,com
Andaman and Nicobar Islands,0.000517644,0.015050562,0.027922858,0.048616374,0.082189985,0.198462344,com
