,Scenario,Tech,Batt Size (MW),Grid Value ($ / MWh),Avoided CO2 (lbs / MWh)
6,Low Cost,PV,0,27.71396771,220.1560285
7,Low Cost,PV,25,30.81669438,223.8987824
8,Low Cost,PV,100,32.55212413,230.7829559
9,Low Cost,Wind,0,26.37420657,212.6994518
10,Low Cost,Wind,25,26.0320536,210.374133
11,Low Cost,Wind,100,26.62232351,209.4872713
12,Mid Cost,PV,0,33.28298416,268.1294337
13,Mid Cost,PV,25,36.06399645,271.4256065
14,Mid Cost,PV,100,37.51517911,276.4500969
15,Mid Cost,Wind,0,30.54384855,265.1686041
16,Mid Cost,Wind,25,30.39006235,263.1660609
17,Mid Cost,Wind,100,31.05415762,262.3974221
0,High Cost,PV,0,38.16231496,293.6456334
1,High Cost,PV,25,40.27297975,295.9603821
2,High Cost,PV,100,40.87257232,299.173811
3,High Cost,Wind,0,31.22932058,283.5393166
4,High Cost,Wind,25,31.3454255,282.4543287
5,High Cost,Wind,100,32.13360271,281.905753
