year,batt_eff_res,batt_eff_com,batt_eff_ind
2014,0.829,0.829,0.829
2015,0.829,0.829,0.829
2016,0.829,0.829,0.829
2017,0.829,0.829,0.829
2018,0.829,0.829,0.829
2019,0.829,0.829,0.829
2020,0.829,0.829,0.829
2021,0.829,0.829,0.829
2022,0.829,0.829,0.829
2023,0.829,0.829,0.829
2024,0.829,0.829,0.829
2025,0.829,0.829,0.829
2026,0.829,0.829,0.829
2027,0.829,0.829,0.829
2028,0.829,0.829,0.829
2029,0.829,0.829,0.829
2030,0.829,0.829,0.829
2031,0.829,0.829,0.829
2032,0.829,0.829,0.829
2033,0.829,0.829,0.829
2034,0.829,0.829,0.829
2035,0.829,0.829,0.829
2036,0.829,0.829,0.829
2037,0.829,0.829,0.829
2038,0.829,0.829,0.829
2039,0.829,0.829,0.829
2040,0.829,0.829,0.829
2041,0.829,0.829,0.829
2042,0.829,0.829,0.829
2043,0.829,0.829,0.829
2044,0.829,0.829,0.829
2045,0.829,0.829,0.829
2046,0.829,0.829,0.829
2047,0.829,0.829,0.829
2048,0.829,0.829,0.829
2049,0.829,0.829,0.829
2050,0.829,0.829,0.829
