year,batt_eff_res,batt_eff_com,batt_eff_ind,batt_lifetime_res,batt_lifetime_com,batt_lifetime_ind
2014,0.829,0.829,0.829,10,10,10
2015,0.829,0.829,0.829,10,10,10
2016,0.829,0.829,0.829,10,10,10
2017,0.829,0.829,0.829,10,10,10
2018,0.829,0.829,0.829,10,10,10
2019,0.829,0.829,0.829,10,10,10
2020,0.829,0.829,0.829,10,10,10
2021,0.829,0.829,0.829,10,10,10
2022,0.829,0.829,0.829,10,10,10
2023,0.829,0.829,0.829,10,10,10
2024,0.829,0.829,0.829,10,10,10
2025,0.829,0.829,0.829,10,10,10
2026,0.829,0.829,0.829,10,10,10
2027,0.829,0.829,0.829,10,10,10
2028,0.829,0.829,0.829,10,10,10
2029,0.829,0.829,0.829,10,10,10
2030,0.829,0.829,0.829,10,10,10
2031,0.829,0.829,0.829,10,10,10
2032,0.829,0.829,0.829,10,10,10
2033,0.829,0.829,0.829,10,10,10
2034,0.829,0.829,0.829,10,10,10
2035,0.829,0.829,0.829,10,10,10
2036,0.829,0.829,0.829,10,10,10
2037,0.829,0.829,0.829,10,10,10
2038,0.829,0.829,0.829,10,10,10
2039,0.829,0.829,0.829,10,10,10
2040,0.829,0.829,0.829,10,10,10
2041,0.829,0.829,0.829,10,10,10
2042,0.829,0.829,0.829,10,10,10
2043,0.829,0.829,0.829,10,10,10
2044,0.829,0.829,0.829,10,10,10
2045,0.829,0.829,0.829,10,10,10
2046,0.829,0.829,0.829,10,10,10
2047,0.829,0.829,0.829,10,10,10
2048,0.829,0.829,0.829,10,10,10
2049,0.829,0.829,0.829,10,10,10
2050,0.829,0.829,0.829,10,10,10
