census_division_abbr,year,elec_price_res,elec_price_com,elec_price_ind
ENC,2010,0.0995985084803,0.0995985084803,0.0995985084803
ESC,2010,0.087807446294,0.087807446294,0.087807446294
MA,2010,0.149805880559,0.149805880559,0.149805880559
MTN,2010,0.0902756323439,0.0902756323439,0.0902756323439
NE,2010,0.159690800509,0.159690800509,0.159690800509
PAC,2010,0.124372649759,0.124372649759,0.124372649759
SA,2010,0.105338206906,0.105338206906,0.105338206906
WNC,2010,0.0840530351529,0.0840530351529,0.0840530351529
WSC,2010,0.0902434414601,0.0902434414601,0.0902434414601
ENC,2012,0.101440234458,0.101440234458,0.101440234458
ESC,2012,0.0851103677018,0.0851103677018,0.0851103677018
MA,2012,0.147697096417,0.147697096417,0.147697096417
MTN,2012,0.0917785304157,0.0917785304157,0.0917785304157
NE,2012,0.164406556991,0.164406556991,0.164406556991
PAC,2012,0.120267370575,0.120267370575,0.120267370575
SA,2012,0.104254177612,0.104254177612,0.104254177612
WNC,2012,0.079835949466,0.079835949466,0.079835949466
WSC,2012,0.0865021740618,0.0865021740618,0.0865021740618
ENC,2014,0.100877808755,0.100877808755,0.100877808755
ESC,2014,0.0858516659714,0.0858516659714,0.0858516659714
MA,2014,0.152086485927,0.152086485927,0.152086485927
MTN,2014,0.092677948388,0.092677948388,0.092677948388
NE,2014,0.187358302757,0.187358302757,0.187358302757
PAC,2014,0.129502095055,0.129502095055,0.129502095055
SA,2014,0.105173941227,0.105173941227,0.105173941227
WNC,2014,0.0783838015907,0.0783838015907,0.0783838015907
WSC,2014,0.0916777441051,0.0916777441051,0.0916777441051
ENC,2016,0.102684627833,0.102684627833,0.102684627833
ESC,2016,0.0856176634135,0.0856176634135,0.0856176634135
MA,2016,0.146377827501,0.146377827501,0.146377827501
MTN,2016,0.0911122133997,0.0911122133997,0.0911122133997
NE,2016,0.185611838932,0.185611838932,0.185611838932
PAC,2016,0.12354502811,0.12354502811,0.12354502811
SA,2016,0.100392038783,0.100392038783,0.100392038783
WNC,2016,0.0828988020753,0.0828988020753,0.0828988020753
WSC,2016,0.0864412233712,0.0864412233712,0.0864412233712
ENC,2018,0.104222965543,0.104222965543,0.104222965543
ESC,2018,0.0884525075128,0.0884525075128,0.0884525075128
MA,2018,0.144131627347,0.144131627347,0.144131627347
MTN,2018,0.0907860359493,0.0907860359493,0.0907860359493
NE,2018,0.177904077729,0.177904077729,0.177904077729
PAC,2018,0.124017454227,0.124017454227,0.124017454227
SA,2018,0.102776617032,0.102776617032,0.102776617032
WNC,2018,0.083478187088,0.083478187088,0.083478187088
WSC,2018,0.0890305487954,0.0890305487954,0.0890305487954
ENC,2020,0.103399774363,0.103399774363,0.103399774363
ESC,2020,0.088786900027,0.088786900027,0.088786900027
MA,2020,0.145996097823,0.145996097823,0.145996097823
MTN,2020,0.0893397749634,0.0893397749634,0.0893397749634
NE,2020,0.186794749158,0.186794749158,0.186794749158
PAC,2020,0.123338820286,0.123338820286,0.123338820286
SA,2020,0.105331149723,0.105331149723,0.105331149723
WNC,2020,0.0845924776093,0.0845924776093,0.0845924776093
WSC,2020,0.0901147711469,0.0901147711469,0.0901147711469
ENC,2022,0.102965986653,0.102965986653,0.102965986653
ESC,2022,0.0874773093974,0.0874773093974,0.0874773093974
MA,2022,0.146251876328,0.146251876328,0.146251876328
MTN,2022,0.0900615985026,0.0900615985026,0.0900615985026
NE,2022,0.204758755906,0.204758755906,0.204758755906
PAC,2022,0.123094745376,0.123094745376,0.123094745376
SA,2022,0.104107825581,0.104107825581,0.104107825581
WNC,2022,0.0905018077005,0.0905018077005,0.0905018077005
WSC,2022,0.0874803594909,0.0874803594909,0.0874803594909
ENC,2024,0.102118932118,0.102118932118,0.102118932118
ESC,2024,0.0866502568972,0.0866502568972,0.0866502568972
MA,2024,0.145875170047,0.145875170047,0.145875170047
MTN,2024,0.0889568695072,0.0889568695072,0.0889568695072
NE,2024,0.186772430784,0.186772430784,0.186772430784
PAC,2024,0.123047845681,0.123047845681,0.123047845681
SA,2024,0.102996216463,0.102996216463,0.102996216463
WNC,2024,0.0928675286588,0.0928675286588,0.0928675286588
WSC,2024,0.0867037870713,0.0867037870713,0.0867037870713
ENC,2026,0.102182108253,0.102182108253,0.102182108253
ESC,2026,0.0856687301612,0.0856687301612,0.0856687301612
MA,2026,0.144604078987,0.144604078987,0.144604078987
MTN,2026,0.0877457574452,0.0877457574452,0.0877457574452
NE,2026,0.184487817996,0.184487817996,0.184487817996
PAC,2026,0.124133446328,0.124133446328,0.124133446328
SA,2026,0.1019250612,0.1019250612,0.1019250612
WNC,2026,0.115893285008,0.115893285008,0.115893285008
WSC,2026,0.0855732741572,0.0855732741572,0.0855732741572
ENC,2028,0.101893318667,0.101893318667,0.101893318667
ESC,2028,0.0848677568258,0.0848677568258,0.0848677568258
MA,2028,0.144392586722,0.144392586722,0.144392586722
MTN,2028,0.0870030860444,0.0870030860444,0.0870030860444
NE,2028,0.183024940694,0.183024940694,0.183024940694
PAC,2028,0.123546502704,0.123546502704,0.123546502704
SA,2028,0.100995053997,0.100995053997,0.100995053997
WNC,2028,0.117277586001,0.117277586001,0.117277586001
WSC,2028,0.0865119966157,0.0865119966157,0.0865119966157
ENC,2030,0.102078615519,0.102078615519,0.102078615519
