census_division_abbr,year,elec_price_res,elec_price_com,elec_price_ind
ENC,2010,0.0995985084803,0.0995985084803,0.0995985084803
ESC,2010,0.087807446294,0.087807446294,0.087807446294
MA,2010,0.149805880559,0.149805880559,0.149805880559
MTN,2010,0.0902756323439,0.0902756323439,0.0902756323439
NE,2010,0.159690800509,0.159690800509,0.159690800509
PAC,2010,0.124372649759,0.124372649759,0.124372649759
SA,2010,0.105338206906,0.105338206906,0.105338206906
WNC,2010,0.0840530351529,0.0840530351529,0.0840530351529
WSC,2010,0.0902434414601,0.0902434414601,0.0902434414601
ENC,2012,0.101465673753,0.101465673753,0.101465673753
ESC,2012,0.0851120323222,0.0851120323222,0.0851120323222
MA,2012,0.147710586638,0.147710586638,0.147710586638
MTN,2012,0.0917776634619,0.0917776634619,0.0917776634619
NE,2012,0.16415757988,0.16415757988,0.16415757988
PAC,2012,0.120328719142,0.120328719142,0.120328719142
SA,2012,0.10425582369,0.10425582369,0.10425582369
WNC,2012,0.0797674732721,0.0797674732721,0.0797674732721
WSC,2012,0.0865126995835,0.0865126995835,0.0865126995835
ENC,2014,0.100909215504,0.100909215504,0.100909215504
ESC,2014,0.0858528749535,0.0858528749535,0.0858528749535
MA,2014,0.152066344378,0.152066344378,0.152066344378
MTN,2014,0.0926942387561,0.0926942387561,0.0926942387561
NE,2014,0.188236101678,0.188236101678,0.188236101678
PAC,2014,0.129581993242,0.129581993242,0.129581993242
SA,2014,0.105178745629,0.105178745629,0.105178745629
WNC,2014,0.0784166893335,0.0784166893335,0.0784166893335
WSC,2014,0.0916888836489,0.0916888836489,0.0916888836489
ENC,2016,0.102621112686,0.102621112686,0.102621112686
ESC,2016,0.0856306901383,0.0856306901383,0.0856306901383
MA,2016,0.146729599441,0.146729599441,0.146729599441
MTN,2016,0.0911586720734,0.0911586720734,0.0911586720734
NE,2016,0.186297661873,0.186297661873,0.186297661873
PAC,2016,0.123626614764,0.123626614764,0.123626614764
SA,2016,0.100403098885,0.100403098885,0.100403098885
WNC,2016,0.0829706608074,0.0829706608074,0.0829706608074
WSC,2016,0.0864496844993,0.0864496844993,0.0864496844993
ENC,2018,0.104386333374,0.104386333374,0.104386333374
ESC,2018,0.0884881345602,0.0884881345602,0.0884881345602
MA,2018,0.144297554456,0.144297554456,0.144297554456
MTN,2018,0.091137072442,0.091137072442,0.091137072442
NE,2018,0.175146404443,0.175146404443,0.175146404443
PAC,2018,0.124163068979,0.124163068979,0.124163068979
SA,2018,0.102799962951,0.102799962951,0.102799962951
WNC,2018,0.0836725144152,0.0836725144152,0.0836725144152
WSC,2018,0.0890673291311,0.0890673291311,0.0890673291311
ENC,2020,0.103612099877,0.103612099877,0.103612099877
ESC,2020,0.0889323754292,0.0889323754292,0.0889323754292
MA,2020,0.146319626726,0.146319626726,0.146319626726
MTN,2020,0.0899618040472,0.0899618040472,0.0899618040472
NE,2020,0.185684414564,0.185684414564,0.185684414564
PAC,2020,0.123757709653,0.123757709653,0.123757709653
SA,2020,0.105458894183,0.105458894183,0.105458894183
WNC,2020,0.08506681657,0.08506681657,0.08506681657
WSC,2020,0.090257400508,0.090257400508,0.090257400508
ENC,2022,0.10310825222,0.10310825222,0.10310825222
ESC,2022,0.0877940253012,0.0877940253012,0.0877940253012
MA,2022,0.146782779937,0.146782779937,0.146782779937
MTN,2022,0.0899185016696,0.0899185016696,0.0899185016696
NE,2022,0.184934271161,0.184934271161,0.184934271161
PAC,2022,0.123753827857,0.123753827857,0.123753827857
SA,2022,0.104337136094,0.104337136094,0.104337136094
WNC,2022,0.0920172401779,0.0920172401779,0.0920172401779
WSC,2022,0.0876920991182,0.0876920991182,0.0876920991182
ENC,2024,0.102277230156,0.102277230156,0.102277230156
ESC,2024,0.0868296878589,0.0868296878589,0.0868296878589
MA,2024,0.146588098274,0.146588098274,0.146588098274
MTN,2024,0.0885602999211,0.0885602999211,0.0885602999211
NE,2024,0.184323599471,0.184323599471,0.184323599471
PAC,2024,0.123604389378,0.123604389378,0.123604389378
SA,2024,0.103126554346,0.103126554346,0.103126554346
WNC,2024,0.0947358910721,0.0947358910721,0.0947358910721
WSC,2024,0.0871199914428,0.0871199914428,0.0871199914428
ENC,2026,0.102326664403,0.102326664403,0.102326664403
ESC,2026,0.0859567899443,0.0859567899443,0.0859567899443
MA,2026,0.145504025907,0.145504025907,0.145504025907
MTN,2026,0.0875183111547,0.0875183111547,0.0875183111547
NE,2026,0.18280435974,0.18280435974,0.18280435974
PAC,2026,0.125794087042,0.125794087042,0.125794087042
SA,2026,0.102065056521,0.102065056521,0.102065056521
WNC,2026,0.121262697837,0.121262697837,0.121262697837
WSC,2026,0.0858172220016,0.0858172220016,0.0858172220016
ENC,2028,0.102076366341,0.102076366341,0.102076366341
ESC,2028,0.0853383359846,0.0853383359846,0.0853383359846
MA,2028,0.145306120796,0.145306120796,0.145306120796
MTN,2028,0.0870120037387,0.0870120037387,0.0870120037387
NE,2028,0.182455807404,0.182455807404,0.182455807404
PAC,2028,0.124969123886,0.124969123886,0.124969123886
SA,2028,0.101016854628,0.101016854628,0.101016854628
WNC,2028,0.122194452425,0.122194452425,0.122194452425
WSC,2028,0.0869315078391,0.0869315078391,0.0869315078391
ENC,2030,0.102358921441,0.102358921441,0.102358921441
