year,census_division_abbr,elec_price_res,elec_price_com,elec_price_ind
2010,NE,0.15969,0.15969,0.15969
2012,NE,0.17353,0.17353,0.17353
2014,NE,0.20151,0.20151,0.20151
2016,NE,0.20312,0.20312,0.20312
2018,NE,0.19206,0.19206,0.19206
2020,NE,0.19679,0.19679,0.19679
2022,NE,0.18576,0.18576,0.18576
2024,NE,0.18591,0.18591,0.18591
2026,NE,0.19018,0.19018,0.19018
2028,NE,0.19324,0.19324,0.19324
2030,NE,0.19245,0.19245,0.19245
2032,NE,0.18523,0.18523,0.18523
2034,NE,0.18152,0.18152,0.18152
2036,NE,0.1789,0.1789,0.1789
2038,NE,0.1737,0.1737,0.1737
2040,NE,0.17395,0.17395,0.17395
2042,NE,0.18849,0.18849,0.18849
2044,NE,0.18366,0.18366,0.18366
2046,NE,0.18101,0.18101,0.18101
2048,NE,0.18055,0.18055,0.18055
2050,NE,0.17832,0.17832,0.17832
2011,NE,0.16661,0.16661,0.16661
2013,NE,0.18752,0.18752,0.18752
2015,NE,0.202315,0.202315,0.202315
2017,NE,0.19759,0.19759,0.19759
2019,NE,0.194425,0.194425,0.194425
2021,NE,0.191275,0.191275,0.191275
2023,NE,0.185835,0.185835,0.185835
2025,NE,0.188045,0.188045,0.188045
2027,NE,0.19171,0.19171,0.19171
2029,NE,0.192845,0.192845,0.192845
2031,NE,0.18884,0.18884,0.18884
2033,NE,0.183375,0.183375,0.183375
2035,NE,0.18021,0.18021,0.18021
2037,NE,0.1763,0.1763,0.1763
2039,NE,0.173825,0.173825,0.173825
2041,NE,0.18122,0.18122,0.18122
2043,NE,0.186075,0.186075,0.186075
2045,NE,0.182335,0.182335,0.182335
2047,NE,0.18078,0.18078,0.18078
2049,NE,0.179435,0.179435,0.179435
2010,MA,0.14981,0.14981,0.14981
2012,MA,0.14813,0.14813,0.14813
2014,MA,0.15364,0.15364,0.15364
2016,MA,0.14565,0.14565,0.14565
2018,MA,0.14607,0.14607,0.14607
2020,MA,0.14759,0.14759,0.14759
2022,MA,0.14685,0.14685,0.14685
2024,MA,0.14637,0.14637,0.14637
2026,MA,0.14613,0.14613,0.14613
2028,MA,0.14646,0.14646,0.14646
2030,MA,0.14827,0.14827,0.14827
2032,MA,0.14767,0.14767,0.14767
2034,MA,0.14898,0.14898,0.14898
2036,MA,0.14828,0.14828,0.14828
2038,MA,0.14851,0.14851,0.14851
2040,MA,0.14825,0.14825,0.14825
2042,MA,0.14822,0.14822,0.14822
2044,MA,0.14865,0.14865,0.14865
2046,MA,0.15127,0.15127,0.15127
2048,MA,0.15337,0.15337,0.15337
2050,MA,0.15487,0.15487,0.15487
2011,MA,0.14897,0.14897,0.14897
2013,MA,0.150885,0.150885,0.150885
2015,MA,0.149645,0.149645,0.149645
2017,MA,0.14586,0.14586,0.14586
2019,MA,0.14683,0.14683,0.14683
2021,MA,0.14722,0.14722,0.14722
2023,MA,0.14661,0.14661,0.14661
2025,MA,0.14625,0.14625,0.14625
2027,MA,0.146295,0.146295,0.146295
2029,MA,0.147365,0.147365,0.147365
2031,MA,0.14797,0.14797,0.14797
2033,MA,0.148325,0.148325,0.148325
2035,MA,0.14863,0.14863,0.14863
2037,MA,0.148395,0.148395,0.148395
2039,MA,0.14838,0.14838,0.14838
2041,MA,0.148235,0.148235,0.148235
2043,MA,0.148435,0.148435,0.148435
2045,MA,0.14996,0.14996,0.14996
2047,MA,0.15232,0.15232,0.15232
2049,MA,0.15412,0.15412,0.15412
2010,ENC,0.0996,0.0996,0.0996
2012,ENC,0.10077,0.10077,0.10077
2014,ENC,0.10049,0.10049,0.10049
2016,ENC,0.10411,0.10411,0.10411
2018,ENC,0.10353,0.10353,0.10353
2020,ENC,0.10338,0.10338,0.10338
2022,ENC,0.10213,0.10213,0.10213
2024,ENC,0.10148,0.10148,0.10148
2026,ENC,0.10149,0.10149,0.10149
2028,ENC,0.10058,0.10058,0.10058
2030,ENC,0.10087,0.10087,0.10087
2032,ENC,0.10105,0.10105,0.10105
2034,ENC,0.10089,0.10089,0.10089
2036,ENC,0.10133,0.10133,0.10133
2038,ENC,0.1018,0.1018,0.1018
2040,ENC,0.10222,0.10222,0.10222
2042,ENC,0.10291,0.10291,0.10291
2044,ENC,0.10479,0.10479,0.10479
2046,ENC,0.10632,0.10632,0.10632
2048,ENC,0.11033,0.11033,0.11033
2050,ENC,0.11303,0.11303,0.11303
2011,ENC,0.100185,0.100185,0.100185
2013,ENC,0.10063,0.10063,0.10063
2015,ENC,0.1023,0.1023,0.1023
2017,ENC,0.10382,0.10382,0.10382
2019,ENC,0.103455,0.103455,0.103455
2021,ENC,0.102755,0.102755,0.102755
2023,ENC,0.101805,0.101805,0.101805
2025,ENC,0.101485,0.101485,0.101485
2027,ENC,0.101035,0.101035,0.101035
2029,ENC,0.100725,0.100725,0.100725
2031,ENC,0.10096,0.10096,0.10096
2033,ENC,0.10097,0.10097,0.10097
2035,ENC,0.10111,0.10111,0.10111
2037,ENC,0.101565,0.101565,0.101565
2039,ENC,0.10201,0.10201,0.10201
2041,ENC,0.102565,0.102565,0.102565
2043,ENC,0.10385,0.10385,0.10385
2045,ENC,0.105555,0.105555,0.105555
2047,ENC,0.108325,0.108325,0.108325
