year,census_division_abbr,elec_price_res,elec_price_com,elec_price_ind
2010,NE,0.15969,0.15969,0.15969
2012,NE,0.17353,0.17353,0.17353
2014,NE,0.20151,0.20151,0.20151
2016,NE,0.20312,0.20312,0.20312
2018,NE,0.19206,0.19206,0.19206
2020,NE,0.19679,0.19679,0.19679
2022,NE,0.18581,0.18581,0.18581
2024,NE,0.186,0.186,0.186
2026,NE,0.18954,0.18954,0.18954
2028,NE,0.19355,0.19355,0.19355
2030,NE,0.19364,0.19364,0.19364
2032,NE,0.18754,0.18754,0.18754
2034,NE,0.1832,0.1832,0.1832
2036,NE,0.18346,0.18346,0.18346
2038,NE,0.18055,0.18055,0.18055
2040,NE,0.18273,0.18273,0.18273
2042,NE,0.1868,0.1868,0.1868
2044,NE,0.1864,0.1864,0.1864
2046,NE,0.18344,0.18344,0.18344
2048,NE,0.18004,0.18004,0.18004
2050,NE,0.18023,0.18023,0.18023
2011,NE,0.16661,0.16661,0.16661
2013,NE,0.18752,0.18752,0.18752
2015,NE,0.202315,0.202315,0.202315
2017,NE,0.19759,0.19759,0.19759
2019,NE,0.194425,0.194425,0.194425
2021,NE,0.1913,0.1913,0.1913
2023,NE,0.185905,0.185905,0.185905
2025,NE,0.18777,0.18777,0.18777
2027,NE,0.191545,0.191545,0.191545
2029,NE,0.193595,0.193595,0.193595
2031,NE,0.19059,0.19059,0.19059
2033,NE,0.18537,0.18537,0.18537
2035,NE,0.18333,0.18333,0.18333
2037,NE,0.182005,0.182005,0.182005
2039,NE,0.18164,0.18164,0.18164
2041,NE,0.184765,0.184765,0.184765
2043,NE,0.1866,0.1866,0.1866
2045,NE,0.18492,0.18492,0.18492
2047,NE,0.18174,0.18174,0.18174
2049,NE,0.180135,0.180135,0.180135
2010,MA,0.14981,0.14981,0.14981
2012,MA,0.14813,0.14813,0.14813
2014,MA,0.15364,0.15364,0.15364
2016,MA,0.14565,0.14565,0.14565
2018,MA,0.14607,0.14607,0.14607
2020,MA,0.14759,0.14759,0.14759
2022,MA,0.14684,0.14684,0.14684
2024,MA,0.14645,0.14645,0.14645
2026,MA,0.14638,0.14638,0.14638
2028,MA,0.14638,0.14638,0.14638
2030,MA,0.14787,0.14787,0.14787
2032,MA,0.14771,0.14771,0.14771
2034,MA,0.14992,0.14992,0.14992
2036,MA,0.1495,0.1495,0.1495
2038,MA,0.14917,0.14917,0.14917
2040,MA,0.14876,0.14876,0.14876
2042,MA,0.14861,0.14861,0.14861
2044,MA,0.15006,0.15006,0.15006
2046,MA,0.1528,0.1528,0.1528
2048,MA,0.15536,0.15536,0.15536
2050,MA,0.15616,0.15616,0.15616
2011,MA,0.14897,0.14897,0.14897
2013,MA,0.150885,0.150885,0.150885
2015,MA,0.149645,0.149645,0.149645
2017,MA,0.14586,0.14586,0.14586
2019,MA,0.14683,0.14683,0.14683
2021,MA,0.147215,0.147215,0.147215
2023,MA,0.146645,0.146645,0.146645
2025,MA,0.146415,0.146415,0.146415
2027,MA,0.14638,0.14638,0.14638
2029,MA,0.147125,0.147125,0.147125
2031,MA,0.14779,0.14779,0.14779
2033,MA,0.148815,0.148815,0.148815
2035,MA,0.14971,0.14971,0.14971
2037,MA,0.149335,0.149335,0.149335
2039,MA,0.148965,0.148965,0.148965
2041,MA,0.148685,0.148685,0.148685
2043,MA,0.149335,0.149335,0.149335
2045,MA,0.15143,0.15143,0.15143
2047,MA,0.15408,0.15408,0.15408
2049,MA,0.15576,0.15576,0.15576
2010,ENC,0.0996,0.0996,0.0996
2012,ENC,0.10077,0.10077,0.10077
2014,ENC,0.10049,0.10049,0.10049
2016,ENC,0.10411,0.10411,0.10411
2018,ENC,0.10353,0.10353,0.10353
2020,ENC,0.10338,0.10338,0.10338
2022,ENC,0.10213,0.10213,0.10213
2024,ENC,0.10141,0.10141,0.10141
2026,ENC,0.10148,0.10148,0.10148
2028,ENC,0.10086,0.10086,0.10086
2030,ENC,0.10136,0.10136,0.10136
2032,ENC,0.10138,0.10138,0.10138
2034,ENC,0.10151,0.10151,0.10151
2036,ENC,0.10177,0.10177,0.10177
2038,ENC,0.10239,0.10239,0.10239
2040,ENC,0.10242,0.10242,0.10242
2042,ENC,0.10298,0.10298,0.10298
2044,ENC,0.10461,0.10461,0.10461
2046,ENC,0.10581,0.10581,0.10581
2048,ENC,0.10927,0.10927,0.10927
2050,ENC,0.11187,0.11187,0.11187
2011,ENC,0.100185,0.100185,0.100185
2013,ENC,0.10063,0.10063,0.10063
2015,ENC,0.1023,0.1023,0.1023
2017,ENC,0.10382,0.10382,0.10382
2019,ENC,0.103455,0.103455,0.103455
2021,ENC,0.102755,0.102755,0.102755
2023,ENC,0.10177,0.10177,0.10177
2025,ENC,0.101445,0.101445,0.101445
2027,ENC,0.10117,0.10117,0.10117
2029,ENC,0.10111,0.10111,0.10111
2031,ENC,0.10137,0.10137,0.10137
2033,ENC,0.101445,0.101445,0.101445
2035,ENC,0.10164,0.10164,0.10164
2037,ENC,0.10208,0.10208,0.10208
2039,ENC,0.102405,0.102405,0.102405
2041,ENC,0.1027,0.1027,0.1027
2043,ENC,0.103795,0.103795,0.103795
2045,ENC,0.10521,0.10521,0.10521
2047,ENC,0.10754,0.10754,0.10754
