year,census_division_abbr,elec_price_res,elec_price_com,elec_price_ind
2010,NE,0.15969,0.15969,0.15969
2012,NE,0.17354,0.17354,0.17354
2014,NE,0.20151,0.20151,0.20151
2016,NE,0.20417,0.20417,0.20417
2018,NE,0.1921,0.1921,0.1921
2020,NE,0.19692,0.19692,0.19692
2022,NE,0.18514,0.18514,0.18514
2024,NE,0.18569,0.18569,0.18569
2026,NE,0.1933,0.1933,0.1933
2028,NE,0.19478,0.19478,0.19478
2030,NE,0.190445,0.190445,0.190445
2032,NE,0.1882775,0.1882775,0.1882775
2034,NE,0.18611,0.18611,0.18611
2036,NE,0.21093,0.21093,0.21093
2038,NE,0.21496,0.21496,0.21496
2040,NE,0.18682,0.18682,0.18682
2042,NE,0.1876,0.1876,0.1876
2044,NE,0.18547,0.18547,0.18547
2046,NE,0.18817,0.18817,0.18817
2048,NE,0.18909,0.18909,0.18909
2050,NE,0.18914,0.18914,0.18914
2011,NE,0.166615,0.166615,0.166615
2013,NE,0.187525,0.187525,0.187525
2015,NE,0.20284,0.20284,0.20284
2017,NE,0.198135,0.198135,0.198135
2019,NE,0.19451,0.19451,0.19451
2021,NE,0.19103,0.19103,0.19103
2023,NE,0.185415,0.185415,0.185415
2025,NE,0.189495,0.189495,0.189495
2027,NE,0.19404,0.19404,0.19404
2029,NE,0.1926125,0.1926125,0.1926125
2031,NE,0.18936125,0.18936125,0.18936125
2033,NE,0.18719375,0.18719375,0.18719375
2035,NE,0.19852,0.19852,0.19852
2037,NE,0.212945,0.212945,0.212945
2039,NE,0.20089,0.20089,0.20089
2041,NE,0.18721,0.18721,0.18721
2043,NE,0.186535,0.186535,0.186535
2045,NE,0.18682,0.18682,0.18682
2047,NE,0.18863,0.18863,0.18863
2049,NE,0.189115,0.189115,0.189115
2010,MA,0.14981,0.14981,0.14981
2012,MA,0.14813,0.14813,0.14813
2014,MA,0.15364,0.15364,0.15364
2016,MA,0.14564,0.14564,0.14564
2018,MA,0.14607,0.14607,0.14607
2020,MA,0.14759,0.14759,0.14759
2022,MA,0.14692,0.14692,0.14692
2024,MA,0.14659,0.14659,0.14659
2026,MA,0.14611,0.14611,0.14611
2028,MA,0.14626,0.14626,0.14626
2030,MA,0.14775,0.14775,0.14775
2032,MA,0.1488,0.1488,0.1488
2034,MA,0.14969,0.14969,0.14969
2036,MA,0.14971,0.14971,0.14971
2038,MA,0.14947,0.14947,0.14947
2040,MA,0.1482,0.1482,0.1482
2042,MA,0.14761,0.14761,0.14761
2044,MA,0.14886,0.14886,0.14886
2046,MA,0.15241,0.15241,0.15241
2048,MA,0.15553,0.15553,0.15553
2050,MA,0.15695,0.15695,0.15695
2011,MA,0.14897,0.14897,0.14897
2013,MA,0.150885,0.150885,0.150885
2015,MA,0.14964,0.14964,0.14964
2017,MA,0.145855,0.145855,0.145855
2019,MA,0.14683,0.14683,0.14683
2021,MA,0.147255,0.147255,0.147255
2023,MA,0.146755,0.146755,0.146755
2025,MA,0.14635,0.14635,0.14635
2027,MA,0.146185,0.146185,0.146185
2029,MA,0.147005,0.147005,0.147005
2031,MA,0.148275,0.148275,0.148275
2033,MA,0.149245,0.149245,0.149245
2035,MA,0.1497,0.1497,0.1497
2037,MA,0.14959,0.14959,0.14959
2039,MA,0.148835,0.148835,0.148835
2041,MA,0.147905,0.147905,0.147905
2043,MA,0.148235,0.148235,0.148235
2045,MA,0.150635,0.150635,0.150635
2047,MA,0.15397,0.15397,0.15397
2049,MA,0.15624,0.15624,0.15624
2010,ENC,0.0996,0.0996,0.0996
2012,ENC,0.10077,0.10077,0.10077
2014,ENC,0.10049,0.10049,0.10049
2016,ENC,0.10411,0.10411,0.10411
2018,ENC,0.10353,0.10353,0.10353
2020,ENC,0.10338,0.10338,0.10338
2022,ENC,0.10221,0.10221,0.10221
2024,ENC,0.10133,0.10133,0.10133
2026,ENC,0.10144,0.10144,0.10144
2028,ENC,0.10107,0.10107,0.10107
2030,ENC,0.10158,0.10158,0.10158
2032,ENC,0.10164,0.10164,0.10164
2034,ENC,0.10134,0.10134,0.10134
2036,ENC,0.10189,0.10189,0.10189
2038,ENC,0.10242,0.10242,0.10242
2040,ENC,0.10232,0.10232,0.10232
2042,ENC,0.10276,0.10276,0.10276
