year,census_division_abbr,elec_price_res,elec_price_com,elec_price_ind
2010,NE,0.15969,0.15969,0.15969
2012,NE,0.17353,0.17353,0.17353
2014,NE,0.20149,0.20149,0.20149
2016,NE,0.20188,0.20188,0.20188
2018,NE,0.18961,0.18961,0.18961
2020,NE,0.19536,0.19536,0.19536
2022,NE,0.18554,0.18554,0.18554
2024,NE,0.18783,0.18783,0.18783
2026,NE,0.1943,0.1943,0.1943
2028,NE,0.19718,0.19718,0.19718
2030,NE,0.20628,0.20628,0.20628
2032,NE,0.21538,0.21538,0.21538
2034,NE,0.20774,0.20774,0.20774
2036,NE,0.20502,0.20502,0.20502
2038,NE,0.20172,0.20172,0.20172
2040,NE,0.19449,0.19449,0.19449
2042,NE,0.19204,0.19204,0.19204
2044,NE,0.18973,0.18973,0.18973
2046,NE,0.1894,0.1894,0.1894
2048,NE,0.18566,0.18566,0.18566
2050,NE,0.19111,0.19111,0.19111
2011,NE,0.16661,0.16661,0.16661
2013,NE,0.18751,0.18751,0.18751
2015,NE,0.201685,0.201685,0.201685
2017,NE,0.195745,0.195745,0.195745
2019,NE,0.192485,0.192485,0.192485
2021,NE,0.19045,0.19045,0.19045
2023,NE,0.186685,0.186685,0.186685
2025,NE,0.191065,0.191065,0.191065
2027,NE,0.19574,0.19574,0.19574
2029,NE,0.20173,0.20173,0.20173
2031,NE,0.21083,0.21083,0.21083
2033,NE,0.21156,0.21156,0.21156
2035,NE,0.20638,0.20638,0.20638
2037,NE,0.20337,0.20337,0.20337
2039,NE,0.198105,0.198105,0.198105
2041,NE,0.193265,0.193265,0.193265
2043,NE,0.190885,0.190885,0.190885
2045,NE,0.189565,0.189565,0.189565
2047,NE,0.18753,0.18753,0.18753
2049,NE,0.188385,0.188385,0.188385
2010,MA,0.14981,0.14981,0.14981
2012,MA,0.14813,0.14813,0.14813
2014,MA,0.15364,0.15364,0.15364
2016,MA,0.14555,0.14555,0.14555
2018,MA,0.14618,0.14618,0.14618
2020,MA,0.14747,0.14747,0.14747
2022,MA,0.14686,0.14686,0.14686
2024,MA,0.14646,0.14646,0.14646
2026,MA,0.14584,0.14584,0.14584
2028,MA,0.14599,0.14599,0.14599
2030,MA,0.14721,0.14721,0.14721
2032,MA,0.1468,0.1468,0.1468
2034,MA,0.14921,0.14921,0.14921
2036,MA,0.15006,0.15006,0.15006
2038,MA,0.15048,0.15048,0.15048
2040,MA,0.14995,0.14995,0.14995
2042,MA,0.15059,0.15059,0.15059
2044,MA,0.15279,0.15279,0.15279
2046,MA,0.15644,0.15644,0.15644
2048,MA,0.16031,0.16031,0.16031
2050,MA,0.16179,0.16179,0.16179
2011,MA,0.14897,0.14897,0.14897
2013,MA,0.150885,0.150885,0.150885
2015,MA,0.149595,0.149595,0.149595
2017,MA,0.145865,0.145865,0.145865
2019,MA,0.146825,0.146825,0.146825
2021,MA,0.147165,0.147165,0.147165
2023,MA,0.14666,0.14666,0.14666
2025,MA,0.14615,0.14615,0.14615
2027,MA,0.145915,0.145915,0.145915
2029,MA,0.1466,0.1466,0.1466
2031,MA,0.147005,0.147005,0.147005
2033,MA,0.148005,0.148005,0.148005
2035,MA,0.149635,0.149635,0.149635
2037,MA,0.15027,0.15027,0.15027
2039,MA,0.150215,0.150215,0.150215
2041,MA,0.15027,0.15027,0.15027
2043,MA,0.15169,0.15169,0.15169
2045,MA,0.154615,0.154615,0.154615
2047,MA,0.158375,0.158375,0.158375
2049,MA,0.16105,0.16105,0.16105
2010,ENC,0.0996,0.0996,0.0996
2012,ENC,0.10077,0.10077,0.10077
2014,ENC,0.10049,0.10049,0.10049
2016,ENC,0.10416,0.10416,0.10416
2018,ENC,0.10352,0.10352,0.10352
2020,ENC,0.10333,0.10333,0.10333
2022,ENC,0.10208,0.10208,0.10208
2024,ENC,0.10131,0.10131,0.10131
2026,ENC,0.10174,0.10174,0.10174
2028,ENC,0.10114,0.10114,0.10114
2030,ENC,0.10171,0.10171,0.10171
2032,ENC,0.10203,0.10203,0.10203
2034,ENC,0.10197,0.10197,0.10197
2036,ENC,0.10256,0.10256,0.10256
2038,ENC,0.10339,0.10339,0.10339
2040,ENC,0.10349,0.10349,0.10349
2042,ENC,0.10417,0.10417,0.10417
2044,ENC,0.10627,0.10627,0.10627
2046,ENC,0.10787,0.10787,0.10787
2048,ENC,0.11251,0.11251,0.11251
2050,ENC,0.11479,0.11479,0.11479
2011,ENC,0.100185,0.100185,0.100185
2013,ENC,0.10063,0.10063,0.10063
2015,ENC,0.102325,0.102325,0.102325
2017,ENC,0.10384,0.10384,0.10384
2019,ENC,0.103425,0.103425,0.103425
2021,ENC,0.102705,0.102705,0.102705
2023,ENC,0.101695,0.101695,0.101695
2025,ENC,0.101525,0.101525,0.101525
2027,ENC,0.10144,0.10144,0.10144
2029,ENC,0.101425,0.101425,0.101425
2031,ENC,0.10187,0.10187,0.10187
2033,ENC,0.102,0.102,0.102
2035,ENC,0.102265,0.102265,0.102265
2037,ENC,0.102975,0.102975,0.102975
2039,ENC,0.10344,0.10344,0.10344
2041,ENC,0.10383,0.10383,0.10383
2043,ENC,0.10522,0.10522,0.10522
2045,ENC,0.10707,0.10707,0.10707
2047,ENC,0.11019,0.11019,0.11019
