year,census_division_abbr,elec_price_res,elec_price_com,elec_price_ind
2010,NE,0.15969,0.15969,0.15969
2012,NE,0.17354,0.17354,0.17354
2014,NE,0.20149,0.20149,0.20149
2016,NE,0.20182,0.20182,0.20182
2018,NE,0.19066,0.19066,0.19066
2020,NE,0.19579,0.19579,0.19579
2022,NE,0.18543,0.18543,0.18543
2024,NE,0.18772,0.18772,0.18772
2026,NE,0.1927,0.1927,0.1927
2028,NE,0.19557,0.19557,0.19557
2030,NE,0.20438,0.20438,0.20438
2032,NE,0.21319,0.21319,0.21319
2034,NE,0.20722,0.20722,0.20722
2036,NE,0.2038,0.2038,0.2038
2038,NE,0.20269,0.20269,0.20269
2040,NE,0.19377,0.19377,0.19377
2042,NE,0.19145,0.19145,0.19145
2044,NE,0.19182,0.19182,0.19182
2046,NE,0.19579,0.19579,0.19579
2048,NE,0.19316,0.19316,0.19316
2050,NE,0.19666,0.19666,0.19666
2011,NE,0.166615,0.166615,0.166615
2013,NE,0.187515,0.187515,0.187515
2015,NE,0.201655,0.201655,0.201655
2017,NE,0.19624,0.19624,0.19624
2019,NE,0.193225,0.193225,0.193225
2021,NE,0.19061,0.19061,0.19061
2023,NE,0.186575,0.186575,0.186575
2025,NE,0.19021,0.19021,0.19021
2027,NE,0.194135,0.194135,0.194135
2029,NE,0.199975,0.199975,0.199975
2031,NE,0.208785,0.208785,0.208785
2033,NE,0.210205,0.210205,0.210205
2035,NE,0.20551,0.20551,0.20551
2037,NE,0.203245,0.203245,0.203245
2039,NE,0.19823,0.19823,0.19823
2041,NE,0.19261,0.19261,0.19261
2043,NE,0.191635,0.191635,0.191635
2045,NE,0.193805,0.193805,0.193805
2047,NE,0.194475,0.194475,0.194475
2049,NE,0.19491,0.19491,0.19491
2010,MA,0.14981,0.14981,0.14981
2012,MA,0.14813,0.14813,0.14813
2014,MA,0.15364,0.15364,0.15364
2016,MA,0.14553,0.14553,0.14553
2018,MA,0.14613,0.14613,0.14613
2020,MA,0.14747,0.14747,0.14747
2022,MA,0.1469,0.1469,0.1469
2024,MA,0.14653,0.14653,0.14653
2026,MA,0.14588,0.14588,0.14588
2028,MA,0.14605,0.14605,0.14605
2030,MA,0.14717,0.14717,0.14717
2032,MA,0.14689,0.14689,0.14689
2034,MA,0.14921,0.14921,0.14921
2036,MA,0.14996,0.14996,0.14996
2038,MA,0.15011,0.15011,0.15011
2040,MA,0.14947,0.14947,0.14947
2042,MA,0.14979,0.14979,0.14979
2044,MA,0.15188,0.15188,0.15188
2046,MA,0.15551,0.15551,0.15551
2048,MA,0.1592,0.1592,0.1592
2050,MA,0.16056,0.16056,0.16056
2011,MA,0.14897,0.14897,0.14897
2013,MA,0.150885,0.150885,0.150885
2015,MA,0.149585,0.149585,0.149585
2017,MA,0.14583,0.14583,0.14583
2019,MA,0.1468,0.1468,0.1468
2021,MA,0.147185,0.147185,0.147185
2023,MA,0.146715,0.146715,0.146715
2025,MA,0.146205,0.146205,0.146205
2027,MA,0.145965,0.145965,0.145965
2029,MA,0.14661,0.14661,0.14661
2031,MA,0.14703,0.14703,0.14703
2033,MA,0.14805,0.14805,0.14805
2035,MA,0.149585,0.149585,0.149585
2037,MA,0.150035,0.150035,0.150035
2039,MA,0.14979,0.14979,0.14979
2041,MA,0.14963,0.14963,0.14963
2043,MA,0.150835,0.150835,0.150835
2045,MA,0.153695,0.153695,0.153695
2047,MA,0.157355,0.157355,0.157355
2049,MA,0.15988,0.15988,0.15988
2010,ENC,0.0996,0.0996,0.0996
2012,ENC,0.10077,0.10077,0.10077
2014,ENC,0.10049,0.10049,0.10049
2016,ENC,0.10415,0.10415,0.10415
2018,ENC,0.10352,0.10352,0.10352
2020,ENC,0.10333,0.10333,0.10333
2022,ENC,0.1021,0.1021,0.1021
2024,ENC,0.10131,0.10131,0.10131
2026,ENC,0.10175,0.10175,0.10175
2028,ENC,0.10109,0.10109,0.10109
2030,ENC,0.10172,0.10172,0.10172
2032,ENC,0.10199,0.10199,0.10199
2034,ENC,0.1021,0.1021,0.1021
2036,ENC,0.10257,0.10257,0.10257
2038,ENC,0.10322,0.10322,0.10322
2040,ENC,0.10339,0.10339,0.10339
2042,ENC,0.10373,0.10373,0.10373
