year,economic_lifetime,loan_term_res,loan_rate_res,down_payment_res,real_discount_res,tax_rate_res,loan_term_nonres,loan_rate_nonres,down_payment_nonres,real_discount_nonres,tax_rate_nonres
2014,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2016,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2018,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2020,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2022,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2024,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2026,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2028,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2030,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2032,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2034,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2036,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2038,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2040,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2042,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2044,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2046,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2048,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
2050,20,20,0.054,0.4,0.1,0.4,20,0.054,0.4,0.1,0.4
