year,economic_lifetime_res,loan_term_res,loan_rate_res,down_payment_res,real_discount_res,tax_rate_res,economic_lifetime_nonres,loan_term_nonres,loan_rate_nonres,down_payment_nonres,real_discount_nonres,tax_rate_nonres
2014,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2016,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2018,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2020,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2022,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2024,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2026,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2028,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2030,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2032,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2034,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2036,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2038,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2040,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2042,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2044,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2046,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2048,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
2050,25,15,0.05,0.4,0.1,0.4,20,20,0.054,0.4,0.1,0.4
