state,state_abbr,sector_abbr,year,observed_capacity_mw
Alabama,AL,res,2014,0.53542
Arizona,AZ,res,2014,316.465558
Arkansas,AR,res,2014,2.176436782
California,CA,res,2014,1698.3
Colorado,CO,res,2014,135.75
Connecticut,CT,res,2014,48.383
Delaware,DE,res,2014,7.951
Florida,FL,res,2014,29.91484
Georgia,GA,res,2014,3.39
Idaho,ID,res,2014,4.865413793
Illinois,IL,res,2014,4.2539
Indiana,IN,res,2014,1.161
Iowa,IA,res,2014,7.059
Louisiana,LA,res,2014,29.778
Maryland,MD,res,2014,70.693
Massachusetts,MA,res,2014,125.450322
Michigan,MI,res,2014,8.404
Minnesota,MN,res,2014,4.063764531
Mississippi,MS,res,2014,0.24645
Missouri,MO,res,2014,37.486
Montana,MT,res,2014,5.860344828
Nevada,NV,res,2014,19.480601
New Hampshire,NH,res,2014,3.568
New Jersey,NJ,res,2014,225.79
New Mexico,NM,res,2014,22.12
New York,NY,res,2014,163.152191
North Carolina,NC,res,2014,13.956398
Ohio,OH,res,2014,6.198
Oregon,OR,res,2014,31.72
Pennsylvania,PA,res,2014,51.846304
Rhode Island,RI,res,2014,0.016310345
South Carolina,SC,res,2014,1.11012069
Tennessee,TN,res,2014,8.45579
Texas,TX,res,2014,43.804
Utah,UT,res,2014,9.2731
Vermont,VT,res,2014,14.485
Virginia,VA,res,2014,3.687
Washington,WA,res,2014,29.4972
Washington DC,DC,res,2014,6.5856
Wisconsin,WI,res,2014,7.20099
Kansas,KS,res,2014,7.978936894
Kentucky,KY,res,2014,4.013333333
Maine,ME,res,2014,3
North Dakota,ND,res,2014,7.978936894
Nebraska,NE,res,2014,7.978936894
Oklahoma,OK,res,2014,7.978936894
South Dakota,SD,res,2014,7.978936894
West Virginia,WV,res,2014,7.978936894
Wyoming,WY,res,2014,7.978936894
Alabama,AL,com,2014,0.68313
Arizona,AZ,com,2014,144.6089835
Arkansas,AR,com,2014,1.792241379
California,CA,com,2014,825.06
Colorado,CO,com,2014,78.285
Connecticut,CT,com,2014,33.39916
Delaware,DE,com,2014,9.805
Florida,FL,com,2014,30.83464
Georgia,GA,com,2014,13.085
Idaho,ID,com,2014,1.33091954
Illinois,IL,com,2014,6.54175
Indiana,IN,com,2014,2.549
Iowa,IA,com,2014,6.871
Louisiana,LA,com,2014,0.4425
Maryland,MD,com,2014,60.81533
Massachusetts,MA,com,2014,278.0674465
Michigan,MI,com,2014,3.0255
Minnesota,MN,com,2014,6.8775655
Mississippi,MS,com,2014,0.15
Missouri,MO,com,2014,27.198
Montana,MT,com,2014,1.286954023
Nevada,NV,com,2014,31.858464
New Hampshire,NH,com,2014,0.8065
New Jersey,NJ,com,2014,492.39
New Mexico,NM,com,2014,22.641
New York,NY,com,2014,85.774089
North Carolina,NC,com,2014,49.739
Ohio,OH,com,2014,35.925
Oregon,OR,com,2014,18.465
Pennsylvania,PA,com,2014,85.689562
Rhode Island,RI,com,2014,0.027586207
South Carolina,SC,com,2014,0.182873563
Tennessee,TN,com,2014,24.01924
Texas,TX,com,2014,20.8595
Utah,UT,com,2014,4.1593835
Vermont,VT,com,2014,5.7635
Virginia,VA,com,2014,3.135
Washington,WA,com,2014,4.575
Washington DC,DC,com,2014,1.37615
Wisconsin,WI,com,2014,5.75555
Kansas,KS,com,2014,13.64711885
Kentucky,KY,com,2014,4.013333333
Maine,ME,com,2014,3
North Dakota,ND,com,2014,13.64711885
Nebraska,NE,com,2014,13.64711885
Oklahoma,OK,com,2014,13.64711885
South Dakota,SD,com,2014,13.64711885
West Virginia,WV,com,2014,13.64711885
Wyoming,WY,com,2014,13.64711885
Alabama,AL,ind,2014,0.68313
Arizona,AZ,ind,2014,144.6089835
Arkansas,AR,ind,2014,1.792241379
California,CA,ind,2014,825.06
Colorado,CO,ind,2014,78.285
Connecticut,CT,ind,2014,33.39916
Delaware,DE,ind,2014,9.805
Florida,FL,ind,2014,30.83464
Georgia,GA,ind,2014,13.085
Idaho,ID,ind,2014,1.33091954
Illinois,IL,ind,2014,6.54175
Indiana,IN,ind,2014,2.549
Iowa,IA,ind,2014,6.871
Louisiana,LA,ind,2014,0.4425
Maryland,MD,ind,2014,60.81533
Massachusetts,MA,ind,2014,278.0674465
Michigan,MI,ind,2014,3.0255
Minnesota,MN,ind,2014,6.8775655
Mississippi,MS,ind,2014,0.15
Missouri,MO,ind,2014,27.198
Montana,MT,ind,2014,1.286954023
Nevada,NV,ind,2014,31.858464
New Hampshire,NH,ind,2014,0.8065
New Jersey,NJ,ind,2014,492.39
New Mexico,NM,ind,2014,22.641
New York,NY,ind,2014,85.774089
North Carolina,NC,ind,2014,49.739
Ohio,OH,ind,2014,35.925
Oregon,OR,ind,2014,18.465
Pennsylvania,PA,ind,2014,85.689562
Rhode Island,RI,ind,2014,0.027586207
South Carolina,SC,ind,2014,0.182873563
Tennessee,TN,ind,2014,24.01924
Texas,TX,ind,2014,20.8595
Utah,UT,ind,2014,4.1593835
Vermont,VT,ind,2014,5.7635
Virginia,VA,ind,2014,3.135
Washington,WA,ind,2014,4.575
Washington DC,DC,ind,2014,1.37615
Wisconsin,WI,ind,2014,5.75555
Kansas,KS,ind,2014,13.64711885
Kentucky,KY,ind,2014,4.013333333
Maine,ME,ind,2014,3
North Dakota,ND,ind,2014,13.64711885
Nebraska,NE,ind,2014,13.64711885
Oklahoma,OK,ind,2014,13.64711885
South Dakota,SD,ind,2014,13.64711885
West Virginia,WV,ind,2014,13.64711885
Wyoming,WY,ind,2014,13.64711885
Alabama,AL,res,2016,0.90545
Arizona,AZ,res,2016,621.030575
Arkansas,AR,res,2016,3.30816092
California,CA,res,2016,3769.64
Colorado,CO,res,2016,214.0970563
Connecticut,CT,res,2016,167.598977
Delaware,DE,res,2016,30.30196552
Florida,FL,res,2016,73.94290714
Georgia,GA,res,2016,5.04
Idaho,ID,res,2016,9.346563218
Illinois,IL,res,2016,9.2939
Indiana,IN,res,2016,4.601
Iowa,IA,res,2016,10.949
Louisiana,LA,res,2016,74.14
Maryland,MD,res,2016,379.2639483
Massachusetts,MA,res,2016,438.7650815
Michigan,MI,res,2016,14.31046671
Minnesota,MN,res,2016,12.25306361
Mississippi,MS,res,2016,0.40333
Missouri,MO,res,2016,53.64631
Montana,MT,res,2016,8.819770115
Nevada,NV,res,2016,154.1244251
New Hampshire,NH,res,2016,33.73777011
New Jersey,NJ,res,2016,498.52628
New Mexico,NM,res,2016,45.55218391
New York,NY,res,2016,533.1789156
North Carolina,NC,res,2016,31.05061138
Ohio,OH,res,2016,11.4115259
Oregon,OR,res,2016,54.86
Pennsylvania,PA,res,2016,82.436304
Rhode Island,RI,res,2016,0.894586207
South Carolina,SC,res,2016,40.05012069
Tennessee,TN,res,2016,12.28279
Texas,TX,res,2016,142.624
Utah,UT,res,2016,104.3057782
Vermont,VT,res,2016,44.755
Virginia,VA,res,2016,14.607
Washington,WA,res,2016,75.3272
Washington DC,DC,res,2016,14.88845172
Wisconsin,WI,res,2016,11.85619
Kansas,KS,res,2016,14.10931992
Kentucky,KY,res,2016,5.2
Maine,ME,res,2016,5.333333333
North Dakota,ND,res,2016,14.10931992
Nebraska,NE,res,2016,14.10931992
Oklahoma,OK,res,2016,14.10931992
South Dakota,SD,res,2016,14.10931992
West Virginia,WV,res,2016,14.10931992
Wyoming,WY,res,2016,14.10931992
Alabama,AL,com,2016,1.41673
Arizona,AZ,com,2016,173.5817584
Arkansas,AR,com,2016,2.064367816
California,CA,com,2016,1367.665
Colorado,CO,com,2016,93.46498333
Connecticut,CT,com,2016,70.79467724
Delaware,DE,com,2016,15.93298851
Florida,FL,com,2016,43.61964
Georgia,GA,com,2016,15.805
Idaho,ID,com,2016,1.747011494
Illinois,IL,com,2016,11.11175
Indiana,IN,com,2016,6.264
Iowa,IA,com,2016,14.971
Louisiana,LA,com,2016,0.8135
Maryland,MD,com,2016,112.0088817
Massachusetts,MA,com,2016,501.189596
Michigan,MI,com,2016,7.2855
Minnesota,MN,com,2016,35.39188044
Mississippi,MS,com,2016,0.33197
Missouri,MO,com,2016,35.27573
Montana,MT,com,2016,1.85091954
Nevada,NV,com,2016,49.21242546
New Hampshire,NH,com,2016,9.234833333
New Jersey,NJ,com,2016,560.100885
New Mexico,NM,com,2016,27.01364368
New York,NY,com,2016,157.379089
North Carolina,NC,com,2016,58.93472727
Ohio,OH,com,2016,42.28252187
Oregon,OR,com,2016,29.615
Pennsylvania,PA,com,2016,96.334562
Rhode Island,RI,com,2016,0.914468391
South Carolina,SC,com,2016,5.464432005
Tennessee,TN,com,2016,31.03224
Texas,TX,com,2016,44.8845
Utah,UT,com,2016,30.60322982
Vermont,VT,com,2016,28.1585
Virginia,VA,com,2016,7.542
Washington,WA,com,2016,7.695
Washington DC,DC,com,2016,9.022297126
Wisconsin,WI,com,2016,8.28555
Kansas,KS,com,2016,19.47094186
Kentucky,KY,com,2016,5.2
Maine,ME,com,2016,5.333333333
North Dakota,ND,com,2016,19.47094186
