year,res,com,ind
2014,0.005,0.005,0.005
2015,0.005,0.005,0.005
2016,0.005,0.005,0.005
2017,0.005,0.005,0.005
2018,0.005,0.005,0.005
2019,0.005,0.005,0.005
2020,0.005,0.005,0.005
2021,0.0047,0.0047,0.0047
2022,0.0044,0.0044,0.0044
2023,0.0041,0.0041,0.0041
2024,0.0038,0.0038,0.0038
2025,0.0035,0.0035,0.0035
2026,0.0032,0.0032,0.0032
2027,0.0029,0.0029,0.0029
2028,0.0026,0.0026,0.0026
2029,0.0023,0.0023,0.0023
2030,0.002,0.002,0.002
2031,0.002,0.002,0.002
2032,0.002,0.002,0.002
2033,0.002,0.002,0.002
2034,0.002,0.002,0.002
2035,0.002,0.002,0.002
2036,0.002,0.002,0.002
2037,0.002,0.002,0.002
2038,0.002,0.002,0.002
2039,0.002,0.002,0.002
2040,0.002,0.002,0.002
2041,0.002,0.002,0.002
2042,0.002,0.002,0.002
2043,0.002,0.002,0.002
2044,0.002,0.002,0.002
2045,0.002,0.002,0.002
2046,0.002,0.002,0.002
2047,0.002,0.002,0.002
2048,0.002,0.002,0.002
2049,0.002,0.002,0.002
2050,0.002,0.002,0.002
