year,pv_price_res,pv_price_com,pv_price_ind,pv_om_res,pv_om_com,pv_om_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15
2015,3096.324736,2249.114594,2249.114594,18,13.5,13.5
2016,2809.707105,2034.163452,2034.163452,16,12,12
2017,2523.089473,1819.21231,1819.21231,14,10.5,10.5
2018,2236.471841,1604.261168,1604.261168,12,9,9
2019,1949.85421,1389.310026,1389.310026,10,7.5,7.5
2020,1663.236578,1174.358884,1174.358884,10,7.5,7.5
2021,1559.239185,1137.114088,1137.114088,10,7.5,7.5
2022,1455.241792,1099.869292,1099.869292,10,7.5,7.5
2023,1351.244399,1062.624496,1062.624496,10,7.5,7.5
2024,1247.247006,1025.3797,1025.3797,10,7.5,7.5
2025,1143.249613,988.1349037,988.1349037,10,7.5,7.5
2026,1130.546839,977.7334836,977.7334836,10,7.5,7.5
2027,1117.844066,967.3320636,967.3320636,10,7.5,7.5
2028,1105.141292,956.9306436,956.9306436,10,7.5,7.5
2029,1092.438519,946.5292235,946.5292235,10,7.5,7.5
2030,1079.735745,936.1278035,936.1278035,10,7.5,7.5
2031,1074.654636,930.9270935,930.9270935,10,7.5,7.5
2032,1069.573526,925.7263834,925.7263834,10,7.5,7.5
2033,1064.492417,920.5256734,920.5256734,10,7.5,7.5
2034,1059.411308,915.3249634,915.3249634,10,7.5,7.5
2035,1054.330198,910.1242534,910.1242534,10,7.5,7.5
2036,1049.249089,904.9235434,904.9235434,10,7.5,7.5
2037,1044.167979,899.7228333,899.7228333,10,7.5,7.5
2038,1039.08687,894.5221233,894.5221233,10,7.5,7.5
2039,1034.005761,889.3214133,889.3214133,10,7.5,7.5
2040,1028.924651,884.1207033,884.1207033,10,7.5,7.5
2041,1022.573265,878.9199933,878.9199933,10,7.5,7.5
2042,1016.221878,873.7192832,873.7192832,10,7.5,7.5
2043,1009.870491,868.5185732,868.5185732,10,7.5,7.5
2044,1003.519104,863.3178632,863.3178632,10,7.5,7.5
2045,997.1677176,858.1171532,858.1171532,10,7.5,7.5
2046,990.8163309,852.9164432,852.9164432,10,7.5,7.5
2047,984.4649442,847.7157331,847.7157331,10,7.5,7.5
2048,978.1135574,842.5150231,842.5150231,10,7.5,7.5
2049,971.7621707,837.3143131,837.3143131,10,7.5,7.5
2050,965.410784,832.1136031,832.1136031,10,7.5,7.5
