year,pv_price_per_kw_res,pv_price_per_kw_com,pv_price_per_kw_ind,pv_om_per_kw_res,pv_om_per_kw_com,pv_om_per_kw_ind,pv_variable_om_per_kw_res,pv_variable_om_per_kw_com,pv_variable_om_per_kw_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15,0,0,0
2015,4024.775,2432.911,2432.911467,24.29,18.36025,18.36025339,0,0,0
2016,2931.783,2152.096,2152.09638,21.43,16.1882,16.18820271,0,0,0
2017,2477.467,1616.552,1616.55247,18.58,14.01615,14.01615203,0,0,0
2018,2368.299,1488.409,1488.408692,15.72,11.8441,11.84410135,0,0,0
2019,2219.155,1374.101,1374.100523,12.86,9.672051,9.672050677,0,0,0
2020,1995.141,1262.932,1262.931617,10,7.5,7.5,0,0,0
2021,1882.977,1122.648,1122.648277,10,7.5,7.5,0,0,0
2022,1770.814,1100.705,1100.70495,10,7.5,7.5,0,0,0
2023,1658.651,1078.762,1078.761623,10,7.5,7.5,0,0,0
2024,1546.488,1056.818,1056.818295,10,7.5,7.5,0,0,0
2025,1434.325,1034.875,1034.874968,10,7.5,7.5,0,0,0
2026,1387.46,1012.932,1012.931641,10,7.5,7.5,0,0,0
2027,1340.595,990.9883,990.9883134,10,7.5,7.5,0,0,0
2028,1293.73,969.045,969.0449861,10,7.5,7.5,0,0,0
2029,1246.865,947.1017,947.1016588,10,7.5,7.5,0,0,0
2030,1200,925.1583,925.1583314,10,7.5,7.5,0,0,0
2031,1183.015,920.0186,920.0185629,10,7.5,7.5,0,0,0
2032,1166.029,914.8788,914.8787944,10,7.5,7.5,0,0,0
2033,1149.044,909.739,909.7390259,10,7.5,7.5,0,0,0
2034,1132.058,904.5993,904.5992574,10,7.5,7.5,0,0,0
2035,1115.073,899.4595,899.4594889,10,7.5,7.5,0,0,0
2036,1098.088,894.3197,894.3197204,10,7.5,7.5,0,0,0
2037,1081.102,889.18,889.1799519,10,7.5,7.5,0,0,0
2038,1064.117,884.0402,884.0401834,10,7.5,7.5,0,0,0
2039,1047.131,878.9004,878.9004149,10,7.5,7.5,0,0,0
2040,1030.146,873.7606,873.7606464,10,7.5,7.5,0,0,0
2041,1023.787,868.6209,868.6208779,10,7.5,7.5,0,0,0
2042,1017.428,863.4811,863.4811093,10,7.5,7.5,0,0,0
2043,1011.069,858.3413,858.3413408,10,7.5,7.5,0,0,0
2044,1004.71,853.2016,853.2015723,10,7.5,7.5,0,0,0
2045,998.3513,848.0618,848.0618038,10,7.5,7.5,0,0,0
2046,991.9924,842.922,842.9220353,10,7.5,7.5,0,0,0
2047,985.6335,837.7823,837.7822668,10,7.5,7.5,0,0,0
2048,979.2746,832.6425,832.6424983,10,7.5,7.5,0,0,0
2049,972.9156,827.5027,827.5027298,10,7.5,7.5,0,0,0
2050,966.5567,822.363,822.3629613,10,7.5,7.5,0,0,0
