year,pv_power_density_w_per_sqft_res,pv_power_density_w_per_sqft_com,pv_power_density_w_per_sqft_ind,pv_deg_res,pv_deg_com,pv_deg_ind
2014,13.94259369,13.94259369,13.94259369,0.005,0.005,0.005
2015,14.40734682,14.40734682,14.40734682,0.005,0.005,0.005
2016,14.87209994,14.87209994,14.87209994,0.005,0.005,0.005
2017,14.87209994,14.87209994,14.87209994,0.005,0.005,0.005
2018,14.87209994,14.87209994,14.87209994,0.005,0.005,0.005
2019,15.33685306,15.33685306,15.33685306,0.005,0.005,0.005
2020,15.80160619,15.80160619,15.80160619,0.005,0.005,0.005
2021,15.80160619,15.80160619,15.80160619,0.005,0.005,0.005
2022,15.80160619,15.80160619,15.80160619,0.005,0.005,0.005
2023,16.26635931,16.26635931,16.26635931,0.005,0.005,0.005
2024,16.73111243,16.73111243,16.73111243,0.005,0.005,0.005
2025,16.73111243,16.73111243,16.73111243,0.005,0.005,0.005
2026,16.73111243,16.73111243,16.73111243,0.005,0.005,0.005
2027,17.19586556,17.19586556,17.19586556,0.005,0.005,0.005
2028,17.66061868,17.66061868,17.66061868,0.005,0.005,0.005
2029,17.66061868,17.66061868,17.66061868,0.005,0.005,0.005
2030,17.66061868,17.66061868,17.66061868,0.005,0.005,0.005
2031,18.1253718,18.1253718,18.1253718,0.005,0.005,0.005
2032,18.59012493,18.59012493,18.59012493,0.005,0.005,0.005
2033,18.59012493,18.59012493,18.59012493,0.005,0.005,0.005
2034,18.59012493,18.59012493,18.59012493,0.005,0.005,0.005
2035,19.05487805,19.05487805,19.05487805,0.005,0.005,0.005
2036,19.51963117,19.51963117,19.51963117,0.005,0.005,0.005
2037,19.51963117,19.51963117,19.51963117,0.005,0.005,0.005
2038,19.51963117,19.51963117,19.51963117,0.005,0.005,0.005
2039,19.9843843,19.9843843,19.9843843,0.005,0.005,0.005
2040,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2041,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2042,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2043,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2044,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2045,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2046,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2047,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2048,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2049,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
2050,20.44913742,20.44913742,20.44913742,0.005,0.005,0.005
