ba,rto
p2,rto1
p1,rto1
p3,rto1
p4,rto1
p5,rto1
p6,rto1
p7,rto1
p9,rto4
p8,rto2
p10,rto4
p11,rto4
p12,rto2
p13,rto3
p14,rto1
p15,rto1
p16,rto1
p25,rto2
p26,rto2
p27,rto3
p28,rto3
p29,rto3
p30,rto3
p17,rto1
p18,rto2
p20,rto2
p19,rto2
p21,rto2
p22,rto2
p23,rto5
p24,rto5
p33,rto5
p34,rto5
p31,rto3
p59,rto3
p32,rto5
p35,rto11
p36,rto11
p37,rto11
p38,rto11
p39,rto8
p40,rto8
p41,rto8
p42,rto11
p43,rto11
p44,rto11
p46,rto11
p45,rto6
p69,rto6
p52,rto8
p53,rto8
p54,rto8
p55,rto8
p47,rto8
p48,rto8
p57,rto8
p49,rto8
p50,rto8
p51,rto8
p56,rto8
p58,rto13
p61,rto10
p62,rto10
p60,rto10
p63,rto10
p64,rto10
p65,rto10
p67,rto10
p68,rto11
p70,rto6
p71,rto6
p72,rto6
p73,rto13
p84,rto13
p74,rto6
p75,rto6
p76,rto6
p77,rto11
p78,rto6
p79,rto6
p80,rto7
p81,rto6
p82,rto6
p83,rto6
p103,rto6
p104,rto7
p105,rto6
p106,rto6
p107,rto6
p111,rto7
p112,rto7
p113,rto7
p114,rto7
p108,rto6
p109,rto7
p110,rto7
p118,rto7
p117,rto7
p116,rto7
p115,rto7
p121,rto7
p120,rto7
p119,rto12
p66,rto13
p85,rto13
p86,rto13
p87,rto13
p88,rto14
p89,rto14
p90,rto9
p91,rto9
p94,rto9
p92,rto14
p93,rto14
p97,rto15
p98,rto15
p95,rto15
p96,rto15
p99,rto7
p100,rto7
p101,rto16
p102,rto16
p124,rto12
p123,rto12
p125,rto12
p122,rto12
p126,rto12
p127,rto17
p128,rto17
p132,rto18
p133,rto18
p131,rto18
p129,rto18
p130,rto18
p134,rto18
