State,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
AK,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
AL,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
AR,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
AZ,0.04,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
CA,0.06,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
CO,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
CT,0.06,0.05,0.05,0.07,0.05,0.06,0.07,0.07,0.09,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
DC,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
DE,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.08,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08
FL,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
GA,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
HI,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
IA,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
ID,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07
IL,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
IN,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
KS,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
KY,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
LA,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07
MA,0.06,0.04,0.04,0.07,0.05,0.06,0.07,0.07,0.09,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
MD,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08
ME,0.05,0.03,0.03,0.05,0.03,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06
MI,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
MN,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
MO,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
MS,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
MT,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
NC,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
ND,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
NE,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
NH,0.05,0.04,0.04,0.07,0.05,0.05,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08
NJ,0.05,0.05,0.05,0.05,0.05,0.04,0.06,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
