agent_id,control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,country_abbr,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias
1,Occidental,3,1,Aguascalientes,res,DB2,MEX,399237,498873678.0,1249.5677449999996,9351,94,1,1,0.6,small,113
2,Occidental,3,1,Aguascalientes,com,GDBT,MEX,49859,146874027.0,2945.787661,9351,221,1,1,0.6,small,109
3,Occidental,3,1,Aguascalientes,com,GDBT,MEX,21,646704.57,30795.455710000002,9351,2307,1,1,0.6,small,109
4,Occidental,3,1,Aguascalientes,com,APBT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,117
5,Occidental,3,1,Aguascalientes,com,GDBT,MEX,372,46471511.0,124923.4167,9351,9359,1,1,0.6,small,109
6,Occidental,3,1,Aguascalientes,com,RAMT,MEX,11,49012.387,4455.671545,9351,334,1,1,0.6,small,111
7,Occidental,3,1,Aguascalientes,com,RABT,MEX,4,8115.3408,2028.8352,9351,152,1,1,0.6,small,112
8,Occidental,3,1,Aguascalientes,res,DB2,MEX,68,12132.968,178.426,9351,13,1,1,0.6,small,113
9,Occidental,3,1,Aguascalientes,res,DB2,MEX,64,58435.793,913.0592656,9351,68,1,1,0.6,small,113
10,Occidental,3,1,Aguascalientes,res,DB1,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,114
11,Occidental,3,1,Aguascalientes,res,DB1,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,114
12,Occidental,3,1,Aguascalientes,res,DB1,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,114
13,Occidental,3,1,Aguascalientes,res,DB1,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,114
14,Occidental,3,1,Aguascalientes,com,APBT,MEX,3940,78368258.0,19890.42081,9351,1490,1,1,0.6,small,117
15,Occidental,3,1,Aguascalientes,com,RABT,MEX,36,427843.97,11884.55472,9351,890,1,1,0.6,small,112
16,Occidental,3,1,Aguascalientes,com,RAMT,MEX,126,540617.84,4290.617778,9351,321,1,1,0.6,small,111
17,Occidental,3,1,Aguascalientes,com,RABT,MEX,2199,299392781.0,136149.5139,9351,10200,1,1,0.6,small,112
18,Occidental,3,1,Aguascalientes,res,DB2,MEX,3914,22437769.0,5732.695197,9351,429,1,1,0.6,small,113
19,Occidental,3,1,Aguascalientes,ind,GDMTH,MEX,1069,1127000000.0,1054256.314,9351,78990,1,1,0.6,small,115
20,Occidental,3,1,Aguascalientes,ind,GDMTH,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,115
21,Occidental,3,1,Aguascalientes,ind,GDMTH,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,115
22,Occidental,3,1,Aguascalientes,ind,GDMTH,MEX,1,155899.97,155899.97,9351,11680,1,1,0.6,small,115
23,Occidental,3,1,Aguascalientes,ind,DIST,MEX,5,153322186.0,30664437.2,9351,2297375,1,1,0.6,small,110
24,Occidental,3,1,Aguascalientes,ind,DIST,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,110
25,Occidental,3,1,Aguascalientes,ind,DIST,MEX,6,140934012.0,23489002.0,9351,1759792,1,1,0.6,small,110
26,Occidental,3,1,Aguascalientes,ind,DIST,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,110
27,Occidental,3,1,Aguascalientes,ind,DIT,MEX,2,295631868.0,147815934.0,9351,11074346,1,1,0.6,small,118
28,Occidental,3,1,Aguascalientes,ind,DIT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,118
