country_abbr,control_reg_id,state_id,sector_abbr,tariff_class,pv_capacity_mw,pv_systems_count
MEX,1,9,com,APBT,0.0,0
MEX,1,9,com,GDBT,0.353452,66
MEX,1,9,com,RABT,0.0,0
MEX,1,9,com,RAMT,0.0,0
MEX,1,9,ind,DIST,0.0,0
MEX,1,9,ind,DIT,0.0,0
MEX,1,9,ind,GDMTH,1.007,3
MEX,1,9,ind,GDMTO,0.0,0
MEX,1,9,res,DB1,2.591498,673
MEX,1,9,res,DB2,0.0,0
MEX,1,13,com,APBT,0.0,0
MEX,1,13,com,GDBT,0.07171,13
MEX,1,13,com,RABT,0.0,0
MEX,1,13,com,RAMT,0.0,0
MEX,1,13,ind,DIST,0.0,0
MEX,1,13,ind,DIT,0.0,0
MEX,1,13,ind,GDMTH,0.0,0
MEX,1,13,ind,GDMTO,0.073785,5
MEX,1,13,res,DB1,0.10986,31
MEX,1,13,res,DB2,0.0,0
MEX,1,15,com,APBT,0.0,0
MEX,1,15,com,GDBT,0.52955,43
MEX,1,15,com,RABT,0.004,1
MEX,1,15,com,RAMT,0.0,0
MEX,1,15,ind,DIST,0.0,0
MEX,1,15,ind,DIT,0.0,0
MEX,1,15,ind,GDMTH,0.878984,4
MEX,1,15,ind,GDMTO,0.118565,5
MEX,1,15,res,DB1,3.960162,634
MEX,1,15,res,DB2,0.017016,6
MEX,2,5,com,APBT,0.0,0
MEX,2,5,com,GDBT,0.04358,15
MEX,2,5,com,RABT,0.0,0
MEX,2,5,com,RAMT,0.0,0
MEX,2,5,ind,DIST,0.0,0
MEX,2,5,ind,DIT,0.0,0
MEX,2,5,ind,GDMTH,0.0,0
MEX,2,5,ind,GDMTO,0.087,1
MEX,2,5,res,DB1,0.3617900000000001,106
MEX,2,5,res,DB2,0.0,0
MEX,2,12,com,APBT,0.0,0
MEX,2,12,com,GDBT,0.2145,24
MEX,2,12,com,RABT,0.0,0
MEX,2,12,com,RAMT,0.0,0
MEX,2,12,ind,DIST,0.0,0
MEX,2,12,ind,DIT,0.0,0
MEX,2,12,ind,GDMTH,0.035,2
MEX,2,12,ind,GDMTO,0.105,4
MEX,2,12,res,DB1,0.4142400000000001,62
MEX,2,12,res,DB2,0.0,0
MEX,2,17,com,APBT,0.0,0
MEX,2,17,com,GDBT,0.43,53
MEX,2,17,com,RABT,0.0,0
MEX,2,17,com,RAMT,0.0,0
MEX,2,17,ind,DIST,0.0,0
MEX,2,17,ind,DIT,0.0,0
MEX,2,17,ind,GDMTH,0.42,1
MEX,2,17,ind,GDMTO,0.06,2
MEX,2,17,res,DB1,2.10573,289
MEX,2,17,res,DB2,0.0,0
MEX,2,20,com,APBT,0.0,0
MEX,2,20,com,GDBT,0.24125,37
MEX,2,20,com,RABT,0.0,0
MEX,2,20,com,RAMT,0.0,0
MEX,2,20,ind,DIST,0.0,0
MEX,2,20,ind,DIT,0.0,0
MEX,2,20,ind,GDMTH,0.0,0
MEX,2,20,ind,GDMTO,0.0703,4
MEX,2,20,res,DB1,0.26056999999999997,52
MEX,2,20,res,DB2,0.0072260000000000015,3
MEX,2,21,com,APBT,0.006999999999999999,2
MEX,2,21,com,GDBT,0.48602799999999996,60
MEX,2,21,com,RABT,0.0,0
MEX,2,21,com,RAMT,0.0,0
MEX,2,21,ind,DIST,0.0,0
MEX,2,21,ind,DIT,0.0,0
MEX,2,21,ind,GDMTH,0.4691,3
MEX,2,21,ind,GDMTO,0.32515,20
MEX,2,21,res,DB1,0.288013,90
MEX,2,21,res,DB2,0.0,0
MEX,2,27,com,APBT,0.0,0
MEX,2,27,com,GDBT,0.0177,8
MEX,2,27,com,RABT,0.0,0
MEX,2,27,com,RAMT,0.0,0
MEX,2,27,ind,DIST,0.0,0
MEX,2,27,ind,DIT,0.0,0
MEX,2,27,ind,GDMTH,0.0,0
MEX,2,27,ind,GDMTO,0.024,1
MEX,2,27,res,DB1,0.4344530000000001,149
MEX,2,27,res,DB2,0.0,0
MEX,2,29,com,APBT,0.0,0
MEX,2,29,com,GDBT,0.011,4
MEX,2,29,com,RABT,0.0,0
MEX,2,29,com,RAMT,0.0,0
MEX,2,29,ind,DIST,0.0,0
MEX,2,29,ind,DIT,0.0,0
MEX,2,29,ind,GDMTH,0.0,0
MEX,2,29,ind,GDMTO,0.003,1
MEX,2,29,res,DB1,0.029,11
MEX,2,29,res,DB2,0.0,0
MEX,2,30,com,APBT,0.0,0
MEX,2,30,com,GDBT,0.287595,47
MEX,2,30,com,RABT,0.0,0
MEX,2,30,com,RAMT,0.0,0
MEX,2,30,ind,DIST,0.0,0
MEX,2,30,ind,DIT,0.0,0
MEX,2,30,ind,GDMTH,0.2828,5
MEX,2,30,ind,GDMTO,0.18574,8
MEX,2,30,res,DB1,1.5152199999999998,362
MEX,2,30,res,DB2,0.080725,15
MEX,3,1,com,APBT,0.054520000000000006,6
MEX,3,1,com,GDBT,0.736125,110
MEX,3,1,com,RABT,0.0,0
MEX,3,1,com,RAMT,0.0,0
MEX,3,1,ind,DIST,0.0,0
MEX,3,1,ind,DIT,0.0,0
MEX,3,1,ind,GDMTH,0.4105,4
MEX,3,1,ind,GDMTO,1.29692,25
MEX,3,1,res,DB1,0.916715,250
MEX,3,1,res,DB2,0.0,0
MEX,3,8,com,APBT,0.001913,1
MEX,3,8,com,GDBT,0.202715,62
MEX,3,8,com,RABT,0.0,0
MEX,3,8,com,RAMT,0.0,0
MEX,3,8,ind,DIST,0.0,0
MEX,3,8,ind,DIT,0.0,0
MEX,3,8,ind,GDMTH,1.075,6
MEX,3,8,ind,GDMTO,0.24,5
MEX,3,8,res,DB1,0.904042,324
MEX,3,8,res,DB2,0.0,0
MEX,3,11,com,APBT,0.04767,5
MEX,3,11,com,GDBT,0.401909,100
MEX,3,11,com,RABT,0.0,0
MEX,3,11,com,RAMT,0.0,0
MEX,3,11,ind,DIST,0.0,0
MEX,3,11,ind,DIT,0.0,0
MEX,3,11,ind,GDMTH,0.4360600000000001,4
MEX,3,11,ind,GDMTO,0.7404,17
MEX,3,11,res,DB1,2.431818,672
MEX,3,11,res,DB2,0.0,0
MEX,3,14,com,APBT,0.0005,1
MEX,3,14,com,GDBT,3.604598,572
MEX,3,14,com,RABT,0.002,1
MEX,3,14,com,RAMT,0.042,2
MEX,3,14,ind,DIST,0.102,1
MEX,3,14,ind,DIT,0.0,0
MEX,3,14,ind,GDMTH,2.46412,29
MEX,3,14,ind,GDMTO,2.0857,62
MEX,3,14,res,DB1,10.145297,3501
MEX,3,14,res,DB2,0.15415,46
MEX,3,16,com,APBT,0.0,0
MEX,3,16,com,GDBT,1.112716,223
MEX,3,16,com,RABT,0.009000000000000001,1
MEX,3,16,com,RAMT,0.066,1
MEX,3,16,ind,DIST,0.0,0
MEX,3,16,ind,DIT,0.0,0
MEX,3,16,ind,GDMTH,2.322652,9
MEX,3,16,ind,GDMTO,1.456,24
MEX,3,16,res,DB1,1.406367,418
MEX,3,16,res,DB2,0.0,0
MEX,3,18,com,APBT,0.0,0
MEX,3,18,com,GDBT,0.23929,39
MEX,3,18,com,RABT,0.0,0
MEX,3,18,com,RAMT,0.0,0
MEX,3,18,ind,DIST,0.0,0
