control_reg,hdi,sector_abbr,discount_rate,down_payment,loan_rate,control_reg_id
HLAD,0.7094636385425174,res,0.12044514184074462,0.22044514184074462,0.054,1
ISGC,0.7520596192883514,res,0.07911986917705877,0.17911986917705874,0.054,2
EEPD,0.7423359374084795,res,0.08855347765242998,0.18855347765242997,0.054,3
EMED,0.7170217503248673,res,0.11311250094929683,0.21311250094929682,0.054,4
CHVC,0.7552294784581173,res,0.07604457211375847,0.17604457211375846,0.054,6
EDQD,0.765,res,0.06656552128044223,0.16656552128044222,0.054,5
CQTD,0.7018975763546721,res,0.127785495964031,0.22778549596403097,0.054,7
EBPD,0.699,res,0.13059663285591688,0.23059663285591686,0.054,9
CHCD,0.7526482066794681,res,0.07854884031474801,0.17854884031474802,0.054,8
ESSD,0.7564597723020898,res,0.07485097995627323,0.17485097995627322,0.054,10
ITLC,0.7512693173753685,res,0.0798865950856727,0.17988659508567267,0.054,11
ENDC,0.7599749992565771,res,0.07144061799663855,0.17144061799663854,0.054,12
SOEC,0.699,res,0.13059663285591688,0.23059663285591686,0.054,13
EPTD,0.6990869494856118,res,0.1305122772163011,0.2305122772163011,0.054,14
CCOC,0.7493154427542887,res,0.08178218241698854,0.18178218241698854,0.054,15
ESPC,0.758,res,0.07335669978087137,0.17335669978087134,0.054,16
CTSD,0.7285333856967242,res,0.10194427657184905,0.20194427657184905,0.054,17
GNCC,0.758197027167567,res,0.07316555025738831,0.1731655502573883,0.054,18
CDND,0.704,res,0.12574579106989608,0.22574579106989606,0.054,19
CNSD,0.728284220185921,res,0.10218600906613695,0.20218600906613696,0.054,20
RTQD,0.7591031039273439,res,0.07228650325585464,0.17228650325585465,0.054,21
CEOD,0.703599431114586,res,0.12613441032740524,0.22613441032740522,0.054,22
EVSD,0.699,res,0.13059663285591688,0.23059663285591686,0.054,23
CDSD,0.7820748934011628,res,0.05,0.15,0.054,24
CETD,0.771,res,0.06074451113721726,0.16074451113721724,0.054,26
CTGD,0.7697474519143511,res,0.06195969365579047,0.16195969365579047,0.054,25
EBSD,0.7399849687881672,res,0.09083431301663686,0.19083431301663684,0.054,28
EDCD,0.7316696884479266,res,0.09890153488402018,0.19890153488402018,0.054,27
NRCC,0.762863762035064,res,0.06863803175748134,0.16863803175748135,0.054,29
PEEC,0.7531028726523611,res,0.07810773777474977,0.17810773777474978,0.054,30
EDPD,0.679,res,0.15,0.25,0.054,31
EMID,0.7701305503613517,res,0.06158802366481646,0.16158802366481645,0.054,32
EGVD,0.7385630302636466,res,0.09221383277901637,0.19221383277901638,0.054,34
ETTC,0.7663841645164353,res,0.0652226486654319,0.1652226486654319,0.054,33
EPMD,0.75254604351041,res,0.07864795578863987,0.17864795578863987,0.054,35
GECC,0.7458206807538629,res,0.08517268992576124,0.18517268992576125,0.054,36
RQEC,0.7647152809265048,res,0.06684174671623981,0.1668417467162398,0.054,37
DCLC,0.76716784486816,res,0.06446234678602596,0.16446234678602595,0.054,38
EMSD,0.7579922598216581,res,0.07336420905697781,0.1733642090569778,0.054,39
TPLC,0.7605879005721912,res,0.07084600053414095,0.17084600053414095,0.054,40
CASD,0.7302101562253617,res,0.10031752686267251,0.20031752686267248,0.054,41
EPSD,0.7677703820077848,res,0.0638777843191217,0.1638777843191217,0.054,42
HLAD,0.7094636385425174,com,0.08522257092037232,0.2,0.054,1
ISGC,0.7520596192883514,com,0.06455993458852938,0.2,0.054,2
EEPD,0.7423359374084795,com,0.06927673882621499,0.2,0.054,3
EMED,0.7170217503248673,com,0.08155625047464841,0.2,0.054,4
CHVC,0.7552294784581173,com,0.06302228605687923,0.2,0.054,6
EDQD,0.765,com,0.058282760640221115,0.2,0.054,5
CQTD,0.7018975763546721,com,0.08889274798201549,0.2,0.054,7
EBPD,0.699,com,0.09029831642795844,0.2,0.054,9
CHCD,0.7526482066794681,com,0.06427442015737402,0.2,0.054,8
ESSD,0.7564597723020898,com,0.062425489978136614,0.2,0.054,10
ITLC,0.7512693173753685,com,0.06494329754283634,0.2,0.054,11
ENDC,0.7599749992565771,com,0.060720308998319275,0.2,0.054,12
SOEC,0.699,com,0.09029831642795844,0.2,0.054,13
EPTD,0.6990869494856118,com,0.09025613860815056,0.2,0.054,14
CCOC,0.7493154427542887,com,0.06589109120849428,0.2,0.054,15
ESPC,0.758,com,0.061678349890435684,0.2,0.054,16
CTSD,0.7285333856967242,com,0.07597213828592453,0.2,0.054,17
GNCC,0.758197027167567,com,0.06158277512869416,0.2,0.054,18
CDND,0.704,com,0.08787289553494804,0.2,0.054,19
CNSD,0.728284220185921,com,0.07609300453306848,0.2,0.054,20
RTQD,0.7591031039273439,com,0.06114325162792733,0.2,0.054,21
CEOD,0.703599431114586,com,0.08806720516370262,0.2,0.054,22
EVSD,0.699,com,0.09029831642795844,0.2,0.054,23
CDSD,0.7820748934011628,com,0.05,0.2,0.054,24
CETD,0.771,com,0.055372255568608635,0.2,0.054,26
CTGD,0.7697474519143511,com,0.05597984682789524,0.2,0.054,25
EBSD,0.7399849687881672,com,0.07041715650831842,0.2,0.054,28
EDCD,0.7316696884479266,com,0.0744507674420101,0.2,0.054,27
NRCC,0.762863762035064,com,0.05931901587874068,0.2,0.054,29
PEEC,0.7531028726523611,com,0.0640538688873749,0.2,0.054,30
EDPD,0.679,com,0.1,0.2,0.054,31
EMID,0.7701305503613517,com,0.05579401183240823,0.2,0.054,32
EGVD,0.7385630302636466,com,0.0711069163895082,0.2,0.054,34
ETTC,0.7663841645164353,com,0.05761132433271595,0.2,0.054,33
EPMD,0.75254604351041,com,0.06432397789431994,0.2,0.054,35
GECC,0.7458206807538629,com,0.06758634496288063,0.2,0.054,36
RQEC,0.7647152809265048,com,0.05842087335811991,0.2,0.054,37
DCLC,0.76716784486816,com,0.05723117339301298,0.2,0.054,38
EMSD,0.7579922598216581,com,0.06168210452848891,0.2,0.054,39
TPLC,0.7605879005721912,com,0.06042300026707048,0.2,0.054,40
CASD,0.7302101562253617,com,0.07515876343133625,0.2,0.054,41
EPSD,0.7677703820077848,com,0.05693889215956085,0.2,0.054,42
HLAD,0.7094636385425174,ind,0.08522257092037232,0.2,0.054,1
ISGC,0.7520596192883514,ind,0.06455993458852938,0.2,0.054,2
EEPD,0.7423359374084795,ind,0.06927673882621499,0.2,0.054,3
EMED,0.7170217503248673,ind,0.08155625047464841,0.2,0.054,4
CHVC,0.7552294784581173,ind,0.06302228605687923,0.2,0.054,6
EDQD,0.765,ind,0.058282760640221115,0.2,0.054,5
CQTD,0.7018975763546721,ind,0.08889274798201549,0.2,0.054,7
EBPD,0.699,ind,0.09029831642795844,0.2,0.054,9
CHCD,0.7526482066794681,ind,0.06427442015737402,0.2,0.054,8
ESSD,0.7564597723020898,ind,0.062425489978136614,0.2,0.054,10
ITLC,0.7512693173753685,ind,0.06494329754283634,0.2,0.054,11
ENDC,0.7599749992565771,ind,0.060720308998319275,0.2,0.054,12
SOEC,0.699,ind,0.09029831642795844,0.2,0.054,13
EPTD,0.6990869494856118,ind,0.09025613860815056,0.2,0.054,14
CCOC,0.7493154427542887,ind,0.06589109120849428,0.2,0.054,15
ESPC,0.758,ind,0.061678349890435684,0.2,0.054,16
CTSD,0.7285333856967242,ind,0.07597213828592453,0.2,0.054,17
GNCC,0.758197027167567,ind,0.06158277512869416,0.2,0.054,18
CDND,0.704,ind,0.08787289553494804,0.2,0.054,19
CNSD,0.728284220185921,ind,0.07609300453306848,0.2,0.054,20
RTQD,0.7591031039273439,ind,0.06114325162792733,0.2,0.054,21
CEOD,0.703599431114586,ind,0.08806720516370262,0.2,0.054,22
EVSD,0.699,ind,0.09029831642795844,0.2,0.054,23
CDSD,0.7820748934011628,ind,0.05,0.2,0.054,24
CETD,0.771,ind,0.055372255568608635,0.2,0.054,26
CTGD,0.7697474519143511,ind,0.05597984682789524,0.2,0.054,25
EBSD,0.7399849687881672,ind,0.07041715650831842,0.2,0.054,28
EDCD,0.7316696884479266,ind,0.0744507674420101,0.2,0.054,27
NRCC,0.762863762035064,ind,0.05931901587874068,0.2,0.054,29
PEEC,0.7531028726523611,ind,0.0640538688873749,0.2,0.054,30
EDPD,0.679,ind,0.1,0.2,0.054,31
EMID,0.7701305503613517,ind,0.05579401183240823,0.2,0.054,32
EGVD,0.7385630302636466,ind,0.0711069163895082,0.2,0.054,34
ETTC,0.7663841645164353,ind,0.05761132433271595,0.2,0.054,33
EPMD,0.75254604351041,ind,0.06432397789431994,0.2,0.054,35
GECC,0.7458206807538629,ind,0.06758634496288063,0.2,0.054,36
RQEC,0.7647152809265048,ind,0.05842087335811991,0.2,0.054,37
DCLC,0.76716784486816,ind,0.05723117339301298,0.2,0.054,38
EMSD,0.7579922598216581,ind,0.06168210452848891,0.2,0.054,39
TPLC,0.7605879005721912,ind,0.06042300026707048,0.2,0.054,40
CASD,0.7302101562253617,ind,0.07515876343133625,0.2,0.054,41
EPSD,0.7677703820077848,ind,0.05693889215956085,0.2,0.054,42
