control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,country_abbr,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias,elevation,unsub_cost,departamento,agent_id
TPLC,16,900,TULUA,com,comercial,COL,4,776338,194084.5,124.742,16173.70833,1,1,0.6,small,293,1002,0.046226807,VALLE DEL CAUCA,3059
TPLC,16,686,CARTAGO,com,comercial,COL,2,436117,218058.5,70.075,18171.54167,1,1,0.6,small,293,651,0.046226807,VALLE DEL CAUCA,3051
CASD,11,108,SAN LUIS DE GACENO,res,estrato_4,COL,4,2444,611,0.379,50.91666667,1,1,0.6,small,126,445,0.154736376,BOYACA,8251
CASD,11,108,SAN LUIS DE GACENO,res,estrato_2,COL,408,258620,633.87,43.01,52.8225,1,1,0.6,small,42,445,0.154736376,BOYACA,8175
CASD,11,108,SAN LUIS DE GACENO,res,estrato_1,COL,76,65213,858.07,34.25,71.50583333,1,1,0.6,small,0,445,0.154736376,BOYACA,8134
RQEC,1,50,FLORIDABLANCA,com,comercial,COL,3,1081568,360522.67,173.786,30043.55583,1,1,0.6,small,290,475,0.111305714,SANTANDER,6917
RQEC,1,517,SAN GIL,ind,industrial,COL,1,739559,739559,162.372,61629.91667,1,1,0.6,small,332,815,0.111305714,SANTANDER,6907
RQEC,1,272,GIRON,ind,industrial,COL,2,2056376,1028188,451.481,85682.33333,1,1,0.6,small,332,354,0.111305714,SANTANDER,6905
RQEC,1,821,BUCARAMANGA,com,comercial,COL,7,7392995,1056142.14,1187.903,88011.845,1,1,0.6,small,290,546,0.111305714,SANTANDER,6916
RQEC,1,821,BUCARAMANGA,ind,industrial,COL,3,4964538,1654846,1089.974,137903.8333,1,1,0.6,small,332,546,0.111305714,SANTANDER,6906
RQEC,1,44,TOCANCIPA,ind,industrial,COL,1,856754,856754,188.102,71396.16667,1,1,0.6,small,332,1285,0.111305714,CUNDINAMARCA,6908
RQEC,1,450, D.C.,ind,industrial,COL,5,4332212,866442.4,951.145,72203.53333,1,1,0.6,small,332,808,0.111305714,BOGOTA,6909
PEEC,21,888,SEVILLA,com,comercial,COL,1,1418,1418,0.228,118.1666667,1,1,0.6,small,289,1013,0.13081557,VALLE DEL CAUCA,2562
