metric,metric_value,max_market_share,source,business_model,sector_abbr
percent_monthly_bill_savings,0,0,NREL,tpo,res
percent_monthly_bill_savings,0.01,0.004357786,NREL,tpo,res
percent_monthly_bill_savings,0.02,0.036561205,NREL,tpo,res
percent_monthly_bill_savings,0.03,0.068019351,NREL,tpo,res
percent_monthly_bill_savings,0.04,0.098741318,NREL,tpo,res
percent_monthly_bill_savings,0.05,0.1287362,NREL,tpo,res
percent_monthly_bill_savings,0.06,0.15801309,NREL,tpo,res
percent_monthly_bill_savings,0.07,0.186581081,NREL,tpo,res
percent_monthly_bill_savings,0.08,0.214449267,NREL,tpo,res
percent_monthly_bill_savings,0.09,0.241626742,NREL,tpo,res
percent_monthly_bill_savings,0.1,0.2681226,NREL,tpo,res
percent_monthly_bill_savings,0.11,0.293945934,NREL,tpo,res
percent_monthly_bill_savings,0.12,0.319105837,NREL,tpo,res
percent_monthly_bill_savings,0.13,0.343611403,NREL,tpo,res
percent_monthly_bill_savings,0.14,0.367471726,NREL,tpo,res
percent_monthly_bill_savings,0.15,0.3906959,NREL,tpo,res
percent_monthly_bill_savings,0.16,0.413293018,NREL,tpo,res
percent_monthly_bill_savings,0.17,0.435272173,NREL,tpo,res
percent_monthly_bill_savings,0.18,0.456642459,NREL,tpo,res
percent_monthly_bill_savings,0.19,0.47741297,NREL,tpo,res
percent_monthly_bill_savings,0.2,0.4975928,NREL,tpo,res
percent_monthly_bill_savings,0.21,0.517191042,NREL,tpo,res
percent_monthly_bill_savings,0.22,0.536216789,NREL,tpo,res
percent_monthly_bill_savings,0.23,0.554679135,NREL,tpo,res
percent_monthly_bill_savings,0.24,0.572587174,NREL,tpo,res
percent_monthly_bill_savings,0.25,0.58995,NREL,tpo,res
percent_monthly_bill_savings,0.26,0.606776706,NREL,tpo,res
percent_monthly_bill_savings,0.27,0.623076385,NREL,tpo,res
percent_monthly_bill_savings,0.28,0.638858131,NREL,tpo,res
percent_monthly_bill_savings,0.29,0.654131038,NREL,tpo,res
percent_monthly_bill_savings,0.3,0.6689042,NREL,tpo,res
percent_monthly_bill_savings,0.31,0.68318671,NREL,tpo,res
percent_monthly_bill_savings,0.32,0.696987661,NREL,tpo,res
percent_monthly_bill_savings,0.33,0.710316147,NREL,tpo,res
percent_monthly_bill_savings,0.34,0.723181262,NREL,tpo,res
percent_monthly_bill_savings,0.35,0.7355921,NREL,tpo,res
percent_monthly_bill_savings,0.36,0.747557754,NREL,tpo,res
