control_reg_id,state_id,country_abbr,sector_abbr,p,q,teq_yr1,tech
8,543,COL,res,0.00285301,0.573395,2,solar
14,543,COL,res,0.00285301,0.573395,2,solar
13,543,COL,res,0.00285301,0.573395,2,solar
8,137,COL,res,0.00285301,0.573395,2,solar
8,201,COL,res,0.00285301,0.573395,2,solar
5,201,COL,res,0.00285301,0.573395,2,solar
37,593,COL,res,0.00285301,0.573395,2,solar
8,593,COL,res,0.00285301,0.573395,2,solar
5,593,COL,res,0.00285301,0.573395,2,solar
14,593,COL,res,0.00285301,0.573395,2,solar
12,593,COL,res,0.00285301,0.573395,2,solar
13,593,COL,res,0.00285301,0.573395,2,solar
21,593,COL,res,0.00285301,0.573395,2,solar
8,446,COL,res,0.00285301,0.573395,2,solar
22,716,COL,res,0.00285301,0.573395,2,solar
37,716,COL,res,0.00285301,0.573395,2,solar
8,716,COL,res,0.00285301,0.573395,2,solar
5,716,COL,res,0.00285301,0.573395,2,solar
14,716,COL,res,0.00285301,0.573395,2,solar
12,716,COL,res,0.00285301,0.573395,2,solar
13,716,COL,res,0.00285301,0.573395,2,solar
39,716,COL,res,0.00285301,0.573395,2,solar
24,716,COL,res,0.00285301,0.573395,2,solar
21,716,COL,res,0.00285301,0.573395,2,solar
16,716,COL,res,0.00285301,0.573395,2,solar
37,511,COL,res,0.00285301,0.573395,2,solar
8,511,COL,res,0.00285301,0.573395,2,solar
13,511,COL,res,0.00285301,0.573395,2,solar
8,840,COL,res,0.00285301,0.573395,2,solar
13,840,COL,res,0.00285301,0.573395,2,solar
8,675,COL,res,0.00285301,0.573395,2,solar
5,675,COL,res,0.00285301,0.573395,2,solar
13,675,COL,res,0.00285301,0.573395,2,solar
24,675,COL,res,0.00285301,0.573395,2,solar
33,877,COL,res,0.00285301,0.573395,2,solar
37,877,COL,res,0.00285301,0.573395,2,solar
8,877,COL,res,0.00285301,0.573395,2,solar
2,877,COL,res,0.00285301,0.573395,2,solar
5,877,COL,res,0.00285301,0.573395,2,solar
14,877,COL,res,0.00285301,0.573395,2,solar
40,877,COL,res,0.00285301,0.573395,2,solar
12,877,COL,res,0.00285301,0.573395,2,solar
13,877,COL,res,0.00285301,0.573395,2,solar
24,877,COL,res,0.00285301,0.573395,2,solar
42,877,COL,res,0.00285301,0.573395,2,solar
21,877,COL,res,0.00285301,0.573395,2,solar
7,877,COL,res,0.00285301,0.573395,2,solar
16,877,COL,res,0.00285301,0.573395,2,solar
8,594,COL,res,0.00285301,0.573395,2,solar
8,172,COL,res,0.00285301,0.573395,2,solar
14,172,COL,res,0.00285301,0.573395,2,solar
40,172,COL,res,0.00285301,0.573395,2,solar
13,172,COL,res,0.00285301,0.573395,2,solar
21,172,COL,res,0.00285301,0.573395,2,solar
8,353,COL,res,0.00285301,0.573395,2,solar
21,353,COL,res,0.00285301,0.573395,2,solar
8,313,COL,res,0.00285301,0.573395,2,solar
13,313,COL,res,0.00285301,0.573395,2,solar
8,616,COL,res,0.00285301,0.573395,2,solar
13,616,COL,res,0.00285301,0.573395,2,solar
8,523,COL,res,0.00285301,0.573395,2,solar
8,300,COL,res,0.00285301,0.573395,2,solar
13,300,COL,res,0.00285301,0.573395,2,solar
21,300,COL,res,0.00285301,0.573395,2,solar
8,1061,COL,res,0.00285301,0.573395,2,solar
5,1061,COL,res,0.00285301,0.573395,2,solar
14,1061,COL,res,0.00285301,0.573395,2,solar
40,1061,COL,res,0.00285301,0.573395,2,solar
13,1061,COL,res,0.00285301,0.573395,2,solar
24,1061,COL,res,0.00285301,0.573395,2,solar
37,662,COL,res,0.00285301,0.573395,2,solar
8,662,COL,res,0.00285301,0.573395,2,solar
14,662,COL,res,0.00285301,0.573395,2,solar
40,662,COL,res,0.00285301,0.573395,2,solar
26,662,COL,res,0.00285301,0.573395,2,solar
13,662,COL,res,0.00285301,0.573395,2,solar
24,662,COL,res,0.00285301,0.573395,2,solar
21,662,COL,res,0.00285301,0.573395,2,solar
16,662,COL,res,0.00285301,0.573395,2,solar
8,379,COL,res,0.00285301,0.573395,2,solar
5,379,COL,res,0.00285301,0.573395,2,solar
14,379,COL,res,0.00285301,0.573395,2,solar
40,379,COL,res,0.00285301,0.573395,2,solar
13,379,COL,res,0.00285301,0.573395,2,solar
24,379,COL,res,0.00285301,0.573395,2,solar
21,379,COL,res,0.00285301,0.573395,2,solar
8,196,COL,res,0.00285301,0.573395,2,solar
37,223,COL,res,0.00285301,0.573395,2,solar
8,223,COL,res,0.00285301,0.573395,2,solar
5,223,COL,res,0.00285301,0.573395,2,solar
14,223,COL,res,0.00285301,0.573395,2,solar
12,223,COL,res,0.00285301,0.573395,2,solar
13,223,COL,res,0.00285301,0.573395,2,solar
39,223,COL,res,0.00285301,0.573395,2,solar
21,223,COL,res,0.00285301,0.573395,2,solar
16,223,COL,res,0.00285301,0.573395,2,solar
8,882,COL,res,0.00285301,0.573395,2,solar
8,469,COL,res,0.00285301,0.573395,2,solar
13,469,COL,res,0.00285301,0.573395,2,solar
8,372,COL,res,0.00285301,0.573395,2,solar
13,372,COL,res,0.00285301,0.573395,2,solar
24,372,COL,res,0.00285301,0.573395,2,solar
8,388,COL,res,0.00285301,0.573395,2,solar
40,388,COL,res,0.00285301,0.573395,2,solar
13,388,COL,res,0.00285301,0.573395,2,solar
8,774,COL,res,0.00285301,0.573395,2,solar
8,588,COL,res,0.00285301,0.573395,2,solar
8,622,COL,res,0.00285301,0.573395,2,solar
14,622,COL,res,0.00285301,0.573395,2,solar
8,362,COL,res,0.00285301,0.573395,2,solar
13,362,COL,res,0.00285301,0.573395,2,solar
8,33,COL,res,0.00285301,0.573395,2,solar
8,37,COL,res,0.00285301,0.573395,2,solar
8,911,COL,res,0.00285301,0.573395,2,solar
8,205,COL,res,0.00285301,0.573395,2,solar
13,205,COL,res,0.00285301,0.573395,2,solar
42,205,COL,res,0.00285301,0.573395,2,solar
7,205,COL,res,0.00285301,0.573395,2,solar
8,637,COL,res,0.00285301,0.573395,2,solar
13,637,COL,res,0.00285301,0.573395,2,solar
8,707,COL,res,0.00285301,0.573395,2,solar
8,866,COL,res,0.00285301,0.573395,2,solar
8,868,COL,res,0.00285301,0.573395,2,solar
8,403,COL,res,0.00285301,0.573395,2,solar
13,403,COL,res,0.00285301,0.573395,2,solar
8,459,COL,res,0.00285301,0.573395,2,solar
8,428,COL,res,0.00285301,0.573395,2,solar
5,428,COL,res,0.00285301,0.573395,2,solar
13,428,COL,res,0.00285301,0.573395,2,solar
8,507,COL,res,0.00285301,0.573395,2,solar
8,75,COL,res,0.00285301,0.573395,2,solar
8,468,COL,res,0.00285301,0.573395,2,solar
8,264,COL,res,0.00285301,0.573395,2,solar
8,294,COL,res,0.00285301,0.573395,2,solar
8,1021,COL,res,0.00285301,0.573395,2,solar
8,915,COL,res,0.00285301,0.573395,2,solar
8,964,COL,res,0.00285301,0.573395,2,solar
8,104,COL,res,0.00285301,0.573395,2,solar
13,104,COL,res,0.00285301,0.573395,2,solar
8,1033,COL,res,0.00285301,0.573395,2,solar
8,263,COL,res,0.00285301,0.573395,2,solar
8,776,COL,res,0.00285301,0.573395,2,solar
37,896,COL,res,0.00285301,0.573395,2,solar
8,896,COL,res,0.00285301,0.573395,2,solar
5,896,COL,res,0.00285301,0.573395,2,solar
12,896,COL,res,0.00285301,0.573395,2,solar
13,896,COL,res,0.00285301,0.573395,2,solar
22,775,COL,res,0.00285301,0.573395,2,solar
8,775,COL,res,0.00285301,0.573395,2,solar
13,775,COL,res,0.00285301,0.573395,2,solar
8,630,COL,res,0.00285301,0.573395,2,solar
8,735,COL,res,0.00285301,0.573395,2,solar
13,735,COL,res,0.00285301,0.573395,2,solar
8,451,COL,res,0.00285301,0.573395,2,solar
8,853,COL,res,0.00285301,0.573395,2,solar
37,758,COL,res,0.00285301,0.573395,2,solar
8,758,COL,res,0.00285301,0.573395,2,solar
13,758,COL,res,0.00285301,0.573395,2,solar
8,939,COL,res,0.00285301,0.573395,2,solar
13,939,COL,res,0.00285301,0.573395,2,solar
8,287,COL,res,0.00285301,0.573395,2,solar
8,676,COL,res,0.00285301,0.573395,2,solar
8,417,COL,res,0.00285301,0.573395,2,solar
8,208,COL,res,0.00285301,0.573395,2,solar
5,208,COL,res,0.00285301,0.573395,2,solar
13,208,COL,res,0.00285301,0.573395,2,solar
8,651,COL,res,0.00285301,0.573395,2,solar
8,741,COL,res,0.00285301,0.573395,2,solar
37,918,COL,res,0.00285301,0.573395,2,solar
8,918,COL,res,0.00285301,0.573395,2,solar
13,918,COL,res,0.00285301,0.573395,2,solar
8,1017,COL,res,0.00285301,0.573395,2,solar
12,1017,COL,res,0.00285301,0.573395,2,solar
8,370,COL,res,0.00285301,0.573395,2,solar
13,370,COL,res,0.00285301,0.573395,2,solar
8,483,COL,res,0.00285301,0.573395,2,solar
8,623,COL,res,0.00285301,0.573395,2,solar
13,623,COL,res,0.00285301,0.573395,2,solar
8,841,COL,res,0.00285301,0.573395,2,solar
8,49,COL,res,0.00285301,0.573395,2,solar
37,636,COL,res,0.00285301,0.573395,2,solar
8,636,COL,res,0.00285301,0.573395,2,solar
13,636,COL,res,0.00285301,0.573395,2,solar
8,738,COL,res,0.00285301,0.573395,2,solar
5,738,COL,res,0.00285301,0.573395,2,solar
13,738,COL,res,0.00285301,0.573395,2,solar
8,114,COL,res,0.00285301,0.573395,2,solar
8,142,COL,res,0.00285301,0.573395,2,solar
8,15,COL,res,0.00285301,0.573395,2,solar
37,62,COL,res,0.00285301,0.573395,2,solar
8,62,COL,res,0.00285301,0.573395,2,solar
5,62,COL,res,0.00285301,0.573395,2,solar
14,62,COL,res,0.00285301,0.573395,2,solar
21,62,COL,res,0.00285301,0.573395,2,solar
8,177,COL,res,0.00285301,0.573395,2,solar
8,221,COL,res,0.00285301,0.573395,2,solar
8,854,COL,res,0.00285301,0.573395,2,solar
8,502,COL,res,0.00285301,0.573395,2,solar
8,36,COL,res,0.00285301,0.573395,2,solar
13,36,COL,res,0.00285301,0.573395,2,solar
8,299,COL,res,0.00285301,0.573395,2,solar
8,178,COL,res,0.00285301,0.573395,2,solar
8,410,COL,res,0.00285301,0.573395,2,solar
8,940,COL,res,0.00285301,0.573395,2,solar
12,940,COL,res,0.00285301,0.573395,2,solar
8,720,COL,res,0.00285301,0.573395,2,solar
8,42,COL,res,0.00285301,0.573395,2,solar
8,408,COL,res,0.00285301,0.573395,2,solar
14,408,COL,res,0.00285301,0.573395,2,solar
13,408,COL,res,0.00285301,0.573395,2,solar
16,408,COL,res,0.00285301,0.573395,2,solar
8,522,COL,res,0.00285301,0.573395,2,solar
8,398,COL,res,0.00285301,0.573395,2,solar
8,820,COL,res,0.00285301,0.573395,2,solar
37,199,COL,res,0.00285301,0.573395,2,solar
8,199,COL,res,0.00285301,0.573395,2,solar
5,199,COL,res,0.00285301,0.573395,2,solar
14,199,COL,res,0.00285301,0.573395,2,solar
12,199,COL,res,0.00285301,0.573395,2,solar
13,199,COL,res,0.00285301,0.573395,2,solar
21,199,COL,res,0.00285301,0.573395,2,solar
16,199,COL,res,0.00285301,0.573395,2,solar
8,1054,COL,res,0.00285301,0.573395,2,solar
8,280,COL,res,0.00285301,0.573395,2,solar
8,427,COL,res,0.00285301,0.573395,2,solar
8,308,COL,res,0.00285301,0.573395,2,solar
13,308,COL,res,0.00285301,0.573395,2,solar
8,583,COL,res,0.00285301,0.573395,2,solar
37,416,COL,res,0.00285301,0.573395,2,solar
8,416,COL,res,0.00285301,0.573395,2,solar
2,416,COL,res,0.00285301,0.573395,2,solar
12,416,COL,res,0.00285301,0.573395,2,solar
13,416,COL,res,0.00285301,0.573395,2,solar
16,416,COL,res,0.00285301,0.573395,2,solar
8,772,COL,res,0.00285301,0.573395,2,solar
13,772,COL,res,0.00285301,0.573395,2,solar
8,649,COL,res,0.00285301,0.573395,2,solar
5,649,COL,res,0.00285301,0.573395,2,solar
12,649,COL,res,0.00285301,0.573395,2,solar
13,649,COL,res,0.00285301,0.573395,2,solar
8,252,COL,res,0.00285301,0.573395,2,solar
8,879,COL,res,0.00285301,0.573395,2,solar
13,879,COL,res,0.00285301,0.573395,2,solar
8,473,COL,res,0.00285301,0.573395,2,solar
4,392,COL,res,0.00285301,0.573395,2,solar
8,81,COL,res,0.00285301,0.573395,2,solar
12,81,COL,res,0.00285301,0.573395,2,solar
4,267,COL,res,0.00285301,0.573395,2,solar
8,761,COL,res,0.00285301,0.573395,2,solar
8,999,COL,res,0.00285301,0.573395,2,solar
12,999,COL,res,0.00285301,0.573395,2,solar
8,119,COL,res,0.00285301,0.573395,2,solar
8,139,COL,res,0.00285301,0.573395,2,solar
8,52,COL,res,0.00285301,0.573395,2,solar
8,429,COL,res,0.00285301,0.573395,2,solar
8,94,COL,res,0.00285301,0.573395,2,solar
12,94,COL,res,0.00285301,0.573395,2,solar
4,51,COL,res,0.00285301,0.573395,2,solar
8,6,COL,res,0.00285301,0.573395,2,solar
4,400,COL,res,0.00285301,0.573395,2,solar
5,400,COL,res,0.00285301,0.573395,2,solar
13,400,COL,res,0.00285301,0.573395,2,solar
21,400,COL,res,0.00285301,0.573395,2,solar
8,303,COL,res,0.00285301,0.573395,2,solar
8,606,COL,res,0.00285301,0.573395,2,solar
12,606,COL,res,0.00285301,0.573395,2,solar
8,713,COL,res,0.00285301,0.573395,2,solar
8,743,COL,res,0.00285301,0.573395,2,solar
8,424,COL,res,0.00285301,0.573395,2,solar
8,793,COL,res,0.00285301,0.573395,2,solar
37,719,COL,res,0.00285301,0.573395,2,solar
8,719,COL,res,0.00285301,0.573395,2,solar
12,719,COL,res,0.00285301,0.573395,2,solar
13,719,COL,res,0.00285301,0.573395,2,solar
8,860,COL,res,0.00285301,0.573395,2,solar
8,505,COL,res,0.00285301,0.573395,2,solar
12,505,COL,res,0.00285301,0.573395,2,solar
13,505,COL,res,0.00285301,0.573395,2,solar
8,305,COL,res,0.00285301,0.573395,2,solar
8,407,COL,res,0.00285301,0.573395,2,solar
14,407,COL,res,0.00285301,0.573395,2,solar
37,292,COL,res,0.00285301,0.573395,2,solar
8,292,COL,res,0.00285301,0.573395,2,solar
2,292,COL,res,0.00285301,0.573395,2,solar
5,292,COL,res,0.00285301,0.573395,2,solar
12,292,COL,res,0.00285301,0.573395,2,solar
13,292,COL,res,0.00285301,0.573395,2,solar
16,292,COL,res,0.00285301,0.573395,2,solar
8,626,COL,res,0.00285301,0.573395,2,solar
37,158,COL,res,0.00285301,0.573395,2,solar
8,158,COL,res,0.00285301,0.573395,2,solar
5,158,COL,res,0.00285301,0.573395,2,solar
14,158,COL,res,0.00285301,0.573395,2,solar
12,158,COL,res,0.00285301,0.573395,2,solar
13,158,COL,res,0.00285301,0.573395,2,solar
21,158,COL,res,0.00285301,0.573395,2,solar
16,158,COL,res,0.00285301,0.573395,2,solar
8,248,COL,res,0.00285301,0.573395,2,solar
14,530,COL,res,0.00285301,0.573395,2,solar
12,530,COL,res,0.00285301,0.573395,2,solar
4,495,COL,res,0.00285301,0.573395,2,solar
8,495,COL,res,0.00285301,0.573395,2,solar
8,968,COL,res,0.00285301,0.573395,2,solar
37,224,COL,res,0.00285301,0.573395,2,solar
8,224,COL,res,0.00285301,0.573395,2,solar
13,224,COL,res,0.00285301,0.573395,2,solar
8,895,COL,res,0.00285301,0.573395,2,solar
4,818,COL,res,0.00285301,0.573395,2,solar
8,684,COL,res,0.00285301,0.573395,2,solar
8,347,COL,res,0.00285301,0.573395,2,solar
14,217,COL,res,0.00285301,0.573395,2,solar
8,342,COL,res,0.00285301,0.573395,2,solar
4,266,COL,res,0.00285301,0.573395,2,solar
8,266,COL,res,0.00285301,0.573395,2,solar
5,266,COL,res,0.00285301,0.573395,2,solar
13,266,COL,res,0.00285301,0.573395,2,solar
7,266,COL,res,0.00285301,0.573395,2,solar
8,692,COL,res,0.00285301,0.573395,2,solar
8,350,COL,res,0.00285301,0.573395,2,solar
13,350,COL,res,0.00285301,0.573395,2,solar
14,249,COL,res,0.00285301,0.573395,2,solar
4,890,COL,res,0.00285301,0.573395,2,solar
8,890,COL,res,0.00285301,0.573395,2,solar
8,363,COL,res,0.00285301,0.573395,2,solar
14,488,COL,res,0.00285301,0.573395,2,solar
8,958,COL,res,0.00285301,0.573395,2,solar
12,958,COL,res,0.00285301,0.573395,2,solar
4,175,COL,res,0.00285301,0.573395,2,solar
8,598,COL,res,0.00285301,0.573395,2,solar
14,598,COL,res,0.00285301,0.573395,2,solar
12,598,COL,res,0.00285301,0.573395,2,solar
13,598,COL,res,0.00285301,0.573395,2,solar
16,598,COL,res,0.00285301,0.573395,2,solar
8,856,COL,res,0.00285301,0.573395,2,solar
4,364,COL,res,0.00285301,0.573395,2,solar
8,364,COL,res,0.00285301,0.573395,2,solar
5,364,COL,res,0.00285301,0.573395,2,solar
14,364,COL,res,0.00285301,0.573395,2,solar
31,364,COL,res,0.00285301,0.573395,2,solar
13,364,COL,res,0.00285301,0.573395,2,solar
21,364,COL,res,0.00285301,0.573395,2,solar
7,364,COL,res,0.00285301,0.573395,2,solar
8,747,COL,res,0.00285301,0.573395,2,solar
14,747,COL,res,0.00285301,0.573395,2,solar
12,747,COL,res,0.00285301,0.573395,2,solar
4,858,COL,res,0.00285301,0.573395,2,solar
4,259,COL,res,0.00285301,0.573395,2,solar
14,259,COL,res,0.00285301,0.573395,2,solar
13,259,COL,res,0.00285301,0.573395,2,solar
4,885,COL,res,0.00285301,0.573395,2,solar
8,885,COL,res,0.00285301,0.573395,2,solar
8,697,COL,res,0.00285301,0.573395,2,solar
4,39,COL,res,0.00285301,0.573395,2,solar
4,118,COL,res,0.00285301,0.573395,2,solar
14,118,COL,res,0.00285301,0.573395,2,solar
2,828,COL,res,0.00285301,0.573395,2,solar
14,828,COL,res,0.00285301,0.573395,2,solar
12,828,COL,res,0.00285301,0.573395,2,solar
13,828,COL,res,0.00285301,0.573395,2,solar
8,307,COL,res,0.00285301,0.573395,2,solar
14,307,COL,res,0.00285301,0.573395,2,solar
4,633,COL,res,0.00285301,0.573395,2,solar
37,633,COL,res,0.00285301,0.573395,2,solar
17,633,COL,res,0.00285301,0.573395,2,solar
8,633,COL,res,0.00285301,0.573395,2,solar
14,633,COL,res,0.00285301,0.573395,2,solar
40,633,COL,res,0.00285301,0.573395,2,solar
13,633,COL,res,0.00285301,0.573395,2,solar
21,633,COL,res,0.00285301,0.573395,2,solar
7,633,COL,res,0.00285301,0.573395,2,solar
8,849,COL,res,0.00285301,0.573395,2,solar
4,41,COL,res,0.00285301,0.573395,2,solar
12,809,COL,res,0.00285301,0.573395,2,solar
8,567,COL,res,0.00285301,0.573395,2,solar
4,536,COL,res,0.00285301,0.573395,2,solar
4,1035,COL,res,0.00285301,0.573395,2,solar
31,1035,COL,res,0.00285301,0.573395,2,solar
8,767,COL,res,0.00285301,0.573395,2,solar
4,932,COL,res,0.00285301,0.573395,2,solar
14,932,COL,res,0.00285301,0.573395,2,solar
4,455,COL,res,0.00285301,0.573395,2,solar
24,455,COL,res,0.00285301,0.573395,2,solar
14,909,COL,res,0.00285301,0.573395,2,solar
4,352,COL,res,0.00285301,0.573395,2,solar
8,1032,COL,res,0.00285301,0.573395,2,solar
14,1032,COL,res,0.00285301,0.573395,2,solar
12,1032,COL,res,0.00285301,0.573395,2,solar
26,1032,COL,res,0.00285301,0.573395,2,solar
13,1032,COL,res,0.00285301,0.573395,2,solar
24,1032,COL,res,0.00285301,0.573395,2,solar
15,1032,COL,res,0.00285301,0.573395,2,solar
14,96,COL,res,0.00285301,0.573395,2,solar
13,96,COL,res,0.00285301,0.573395,2,solar
8,1052,COL,res,0.00285301,0.573395,2,solar
8,73,COL,res,0.00285301,0.573395,2,solar
14,73,COL,res,0.00285301,0.573395,2,solar
12,73,COL,res,0.00285301,0.573395,2,solar
5,268,COL,res,0.00285301,0.573395,2,solar
14,268,COL,res,0.00285301,0.573395,2,solar
40,268,COL,res,0.00285301,0.573395,2,solar
31,268,COL,res,0.00285301,0.573395,2,solar
13,268,COL,res,0.00285301,0.573395,2,solar
24,268,COL,res,0.00285301,0.573395,2,solar
7,268,COL,res,0.00285301,0.573395,2,solar
8,1048,COL,res,0.00285301,0.573395,2,solar
3,445,COL,res,0.00285301,0.573395,2,solar
14,445,COL,res,0.00285301,0.573395,2,solar
31,445,COL,res,0.00285301,0.573395,2,solar
13,596,COL,res,0.00285301,0.573395,2,solar
4,901,COL,res,0.00285301,0.573395,2,solar
37,783,COL,res,0.00285301,0.573395,2,solar
8,783,COL,res,0.00285301,0.573395,2,solar
14,783,COL,res,0.00285301,0.573395,2,solar
12,783,COL,res,0.00285301,0.573395,2,solar
13,783,COL,res,0.00285301,0.573395,2,solar
21,783,COL,res,0.00285301,0.573395,2,solar
22,928,COL,res,0.00285301,0.573395,2,solar
8,928,COL,res,0.00285301,0.573395,2,solar
5,928,COL,res,0.00285301,0.573395,2,solar
14,928,COL,res,0.00285301,0.573395,2,solar
12,928,COL,res,0.00285301,0.573395,2,solar
13,928,COL,res,0.00285301,0.573395,2,solar
31,589,COL,res,0.00285301,0.573395,2,solar
13,589,COL,res,0.00285301,0.573395,2,solar
7,589,COL,res,0.00285301,0.573395,2,solar
4,954,COL,res,0.00285301,0.573395,2,solar
4,273,COL,res,0.00285301,0.573395,2,solar
14,992,COL,res,0.00285301,0.573395,2,solar
8,207,COL,res,0.00285301,0.573395,2,solar
4,712,COL,res,0.00285301,0.573395,2,solar
4,534,COL,res,0.00285301,0.573395,2,solar
37,534,COL,res,0.00285301,0.573395,2,solar
13,534,COL,res,0.00285301,0.573395,2,solar
14,987,COL,res,0.00285301,0.573395,2,solar
14,1042,COL,res,0.00285301,0.573395,2,solar
13,1042,COL,res,0.00285301,0.573395,2,solar
4,819,COL,res,0.00285301,0.573395,2,solar
21,819,COL,res,0.00285301,0.573395,2,solar
4,1012,COL,res,0.00285301,0.573395,2,solar
14,1012,COL,res,0.00285301,0.573395,2,solar
13,1012,COL,res,0.00285301,0.573395,2,solar
4,760,COL,res,0.00285301,0.573395,2,solar
31,760,COL,res,0.00285301,0.573395,2,solar
4,20,COL,res,0.00285301,0.573395,2,solar
4,1037,COL,res,0.00285301,0.573395,2,solar
5,1037,COL,res,0.00285301,0.573395,2,solar
14,1037,COL,res,0.00285301,0.573395,2,solar
13,1037,COL,res,0.00285301,0.573395,2,solar
4,66,COL,res,0.00285301,0.573395,2,solar
31,66,COL,res,0.00285301,0.573395,2,solar
7,66,COL,res,0.00285301,0.573395,2,solar
14,708,COL,res,0.00285301,0.573395,2,solar
12,708,COL,res,0.00285301,0.573395,2,solar
14,1039,COL,res,0.00285301,0.573395,2,solar
4,23,COL,res,0.00285301,0.573395,2,solar
14,1013,COL,res,0.00285301,0.573395,2,solar
31,1013,COL,res,0.00285301,0.573395,2,solar
4,813,COL,res,0.00285301,0.573395,2,solar
14,24,COL,res,0.00285301,0.573395,2,solar
5,632,COL,res,0.00285301,0.573395,2,solar
31,632,COL,res,0.00285301,0.573395,2,solar
4,77,COL,res,0.00285301,0.573395,2,solar
13,77,COL,res,0.00285301,0.573395,2,solar
4,291,COL,res,0.00285301,0.573395,2,solar
31,883,COL,res,0.00285301,0.573395,2,solar
4,965,COL,res,0.00285301,0.573395,2,solar
31,25,COL,res,0.00285301,0.573395,2,solar
4,768,COL,res,0.00285301,0.573395,2,solar
4,504,COL,res,0.00285301,0.573395,2,solar
8,597,COL,res,0.00285301,0.573395,2,solar
31,597,COL,res,0.00285301,0.573395,2,solar
13,597,COL,res,0.00285301,0.573395,2,solar
31,861,COL,res,0.00285301,0.573395,2,solar
13,861,COL,res,0.00285301,0.573395,2,solar
14,182,COL,res,0.00285301,0.573395,2,solar
31,763,COL,res,0.00285301,0.573395,2,solar
4,905,COL,res,0.00285301,0.573395,2,solar
13,905,COL,res,0.00285301,0.573395,2,solar
31,100,COL,res,0.00285301,0.573395,2,solar
5,258,COL,res,0.00285301,0.573395,2,solar
31,258,COL,res,0.00285301,0.573395,2,solar
4,423,COL,res,0.00285301,0.573395,2,solar
8,423,COL,res,0.00285301,0.573395,2,solar
5,423,COL,res,0.00285301,0.573395,2,solar
13,423,COL,res,0.00285301,0.573395,2,solar
21,423,COL,res,0.00285301,0.573395,2,solar
14,1027,COL,res,0.00285301,0.573395,2,solar
14,969,COL,res,0.00285301,0.573395,2,solar
14,977,COL,res,0.00285301,0.573395,2,solar
14,245,COL,res,0.00285301,0.573395,2,solar
31,245,COL,res,0.00285301,0.573395,2,solar
13,245,COL,res,0.00285301,0.573395,2,solar
42,245,COL,res,0.00285301,0.573395,2,solar
7,245,COL,res,0.00285301,0.573395,2,solar
4,682,COL,res,0.00285301,0.573395,2,solar
4,257,COL,res,0.00285301,0.573395,2,solar
31,148,COL,res,0.00285301,0.573395,2,solar
4,574,COL,res,0.00285301,0.573395,2,solar
4,871,COL,res,0.00285301,0.573395,2,solar
31,871,COL,res,0.00285301,0.573395,2,solar
14,609,COL,res,0.00285301,0.573395,2,solar
14,943,COL,res,0.00285301,0.573395,2,solar
37,272,COL,res,0.00285301,0.573395,2,solar
5,272,COL,res,0.00285301,0.573395,2,solar
14,272,COL,res,0.00285301,0.573395,2,solar
40,272,COL,res,0.00285301,0.573395,2,solar
31,272,COL,res,0.00285301,0.573395,2,solar
13,272,COL,res,0.00285301,0.573395,2,solar
24,272,COL,res,0.00285301,0.573395,2,solar
42,272,COL,res,0.00285301,0.573395,2,solar
21,272,COL,res,0.00285301,0.573395,2,solar
1,272,COL,res,0.00285301,0.573395,2,solar
7,272,COL,res,0.00285301,0.573395,2,solar
16,272,COL,res,0.00285301,0.573395,2,solar
14,957,COL,res,0.00285301,0.573395,2,solar
31,529,COL,res,0.00285301,0.573395,2,solar
14,997,COL,res,0.00285301,0.573395,2,solar
12,997,COL,res,0.00285301,0.573395,2,solar
13,997,COL,res,0.00285301,0.573395,2,solar
24,997,COL,res,0.00285301,0.573395,2,solar
4,691,COL,res,0.00285301,0.573395,2,solar
31,691,COL,res,0.00285301,0.573395,2,solar
3,821,COL,res,0.00285301,0.573395,2,solar
37,821,COL,res,0.00285301,0.573395,2,solar
8,821,COL,res,0.00285301,0.573395,2,solar
5,821,COL,res,0.00285301,0.573395,2,solar
14,821,COL,res,0.00285301,0.573395,2,solar
40,821,COL,res,0.00285301,0.573395,2,solar
18,821,COL,res,0.00285301,0.573395,2,solar
31,821,COL,res,0.00285301,0.573395,2,solar
13,821,COL,res,0.00285301,0.573395,2,solar
24,821,COL,res,0.00285301,0.573395,2,solar
42,821,COL,res,0.00285301,0.573395,2,solar
21,821,COL,res,0.00285301,0.573395,2,solar
1,821,COL,res,0.00285301,0.573395,2,solar
7,821,COL,res,0.00285301,0.573395,2,solar
37,491,COL,res,0.00285301,0.573395,2,solar
8,491,COL,res,0.00285301,0.573395,2,solar
