control_reg_id,state_id,tariff_class,sector_abbr,pv_capacity_mw,pv_systems_count
1,44,industrial,ind,0,0
1,50,comercial,com,0,0
1,272,industrial,ind,0,0
1,450,industrial,ind,0,0
1,517,industrial,ind,0,0
1,821,comercial,com,0,0
1,821,industrial,ind,0,0
2,90,comercial,com,0,0
2,209,comercial,com,0,0
2,283,comercial,com,0,0
2,289,industrial,ind,0,0
2,292,industrial,ind,0,0
2,320,comercial,com,0,0
2,326,comercial,com,0,0
2,326,estrato_5,res,0.007490676,2
2,326,estrato_6,res,0.000685845,2
2,326,industrial,ind,0,0
2,411,comercial,com,0,0
2,411,industrial,ind,0,0
2,416,comercial,com,0,0
2,450,comercial,com,0,0
2,450,industrial,ind,0,0
2,456,comercial,com,0,0
2,456,industrial,ind,0,0
2,581,comercial,com,0,0
2,639,comercial,com,0,0
2,639,estrato_1,res,0.029217499,2
2,639,estrato_2,res,0.078647644,2
2,639,estrato_3,res,0.058365375,2
2,639,estrato_4,res,0.000285599,2
2,639,estrato_6,res,0.000424452,2
2,639,industrial,ind,0,0
2,686,comercial,com,0,0
2,734,comercial,com,0,0
2,769,comercial,com,0,0
2,769,industrial,ind,0,0
2,784,comercial,com,0,0
2,792,comercial,com,0,0
2,792,estrato_1,res,0.10668285,2
2,792,estrato_2,res,0.151578908,3
2,792,estrato_3,res,0.173025215,3
2,792,estrato_4,res,0.076880535,2
2,792,estrato_5,res,0.062488565,2
2,792,estrato_6,res,0.041636239,2
2,792,industrial,ind,0,0
2,812,industrial,ind,0,0
2,828,comercial,com,0,0
2,877,comercial,com,0.010200302,1
2,877,industrial,ind,0.001010988,1
2,900,comercial,com,0,0
2,966,comercial,com,0,0
2,966,industrial,ind,0,0
2,967,comercial,com,0,0
2,975,comercial,com,0,0
2,975,estrato_1,res,0.053508841,2
2,975,estrato_2,res,0.077613516,2
2,975,estrato_3,res,0.029641834,2
2,975,estrato_4,res,0.004743798,2
2,975,estrato_5,res,0.001570212,2
2,975,estrato_6,res,0.005145917,2
2,975,industrial,ind,0,0
3,44,industrial,ind,0,0
3,90,comercial,com,0,0
3,90,industrial,ind,0,0
3,277,industrial,ind,0,0
3,283,industrial,ind,0,0
3,336,industrial,ind,0,0
3,439,industrial,ind,0,0
3,445,industrial,ind,0,0
3,450,comercial,com,0,0
3,450,industrial,ind,0,0
3,506,industrial,ind,0,0
3,581,industrial,ind,0,0
3,749,comercial,com,0,0
3,749,industrial,ind,0,0
3,808,comercial,com,0,0
3,808,industrial,ind,0,0
3,821,comercial,com,0,0
3,821,industrial,ind,0,0
3,893,industrial,ind,0,0
3,920,industrial,ind,0,0
3,946,industrial,ind,0,0
3,967,industrial,ind,0,0
3,975,industrial,ind,0,0
4,20,comercial,com,0,0
4,20,estrato_1,res,0.000190138,2
4,20,estrato_2,res,0.001346229,2
4,20,estrato_3,res,0.000463632,2
4,20,industrial,ind,0,0
4,23,comercial,com,0,0
4,23,estrato_1,res,0,0
4,23,estrato_2,res,0,0
4,23,estrato_3,res,0,0
4,23,estrato_4,res,0,0
4,23,industrial,ind,0,0
4,39,comercial,com,0,0
4,39,estrato_1,res,0,0
4,39,estrato_2,res,0,0
4,39,industrial,ind,0,0
4,41,comercial,com,0,0
4,41,estrato_1,res,0,0
4,41,estrato_2,res,0,0
4,41,estrato_3,res,0,0
4,41,estrato_4,res,0,0
4,41,industrial,ind,0,0
4,51,comercial,com,0,0
4,51,estrato_1,res,0,0
4,51,estrato_2,res,0,0
4,51,estrato_4,res,0,0
4,51,industrial,ind,0,0
4,66,comercial,com,0,0
4,66,estrato_1,res,0,0
4,66,estrato_2,res,0,0
4,66,estrato_4,res,0,0
4,77,comercial,com,0,0
4,77,estrato_1,res,0,0
4,77,estrato_2,res,0,0
4,77,estrato_3,res,0,0
4,77,estrato_4,res,0,0
4,77,industrial,ind,0,0
4,118,comercial,com,0,0
4,118,estrato_1,res,0,0
4,118,estrato_2,res,0,0
4,118,estrato_3,res,0,0
4,118,estrato_4,res,0,0
4,118,industrial,ind,0,0
4,175,comercial,com,0,0
4,175,estrato_1,res,0,0
4,175,estrato_2,res,0,0
4,175,estrato_4,res,0,0
4,257,comercial,com,0,0
4,257,estrato_1,res,0,0
4,257,estrato_2,res,0,0
4,257,estrato_3,res,0,0
4,257,industrial,ind,0,0
4,259,comercial,com,0,0
4,259,estrato_1,res,0,0
4,259,estrato_2,res,0,0
4,259,estrato_3,res,0,0
4,259,estrato_4,res,0,0
4,259,industrial,ind,0,0
4,266,comercial,com,0,0
4,266,estrato_1,res,0,0
4,266,estrato_2,res,0,0
4,266,estrato_3,res,0,0
4,266,estrato_4,res,0,0
4,266,industrial,ind,0,0
4,267,comercial,com,0,0
4,267,estrato_1,res,0,0
4,267,estrato_2,res,0,0
4,267,estrato_3,res,0,0
4,267,estrato_4,res,0,0
4,267,industrial,ind,0,0
4,273,comercial,com,0,0
4,273,estrato_1,res,0,0
4,273,estrato_2,res,0,0
4,273,industrial,ind,0,0
4,291,comercial,com,0,0
4,291,estrato_1,res,0,0
4,291,estrato_2,res,0,0
4,291,estrato_3,res,0,0
4,291,estrato_4,res,0,0
4,291,industrial,ind,0,0
4,352,comercial,com,0,0
4,352,estrato_1,res,0,0
4,352,estrato_2,res,0,0
4,352,industrial,ind,0,0
4,364,comercial,com,0,0
4,364,estrato_1,res,0,0
4,364,estrato_2,res,0,0
4,364,estrato_3,res,0,0
4,364,estrato_4,res,0,0
4,364,industrial,ind,0,0
4,392,comercial,com,0,0
4,392,estrato_1,res,0,0
4,392,estrato_2,res,0,0
4,392,estrato_4,res,0,0
4,392,industrial,ind,0,0
4,400,comercial,com,0,0
4,400,estrato_1,res,0,0
4,400,estrato_2,res,0,0
4,400,estrato_3,res,0,0
4,400,estrato_4,res,0,0
4,400,industrial,ind,0,0
4,423,comercial,com,0,0
4,423,estrato_1,res,0,0
4,423,estrato_2,res,0,0
4,423,estrato_3,res,0,0
4,423,estrato_4,res,0,0
4,423,industrial,ind,0,0
4,455,comercial,com,0,0
4,455,estrato_1,res,0,0
4,455,estrato_2,res,0,0
4,455,estrato_3,res,0,0
4,455,estrato_4,res,0,0
4,455,industrial,ind,0,0
4,495,comercial,com,0,0
4,495,estrato_1,res,0,0
4,495,estrato_2,res,0,0
4,495,estrato_3,res,0,0
4,495,estrato_4,res,0,0
4,495,industrial,ind,0,0
4,504,comercial,com,0,0
4,504,estrato_1,res,0,0
4,504,estrato_2,res,0,0
4,504,estrato_3,res,0,0
4,504,estrato_4,res,0,0
4,534,comercial,com,0,0
4,534,estrato_1,res,0,0
