country_abbr,control_reg_id,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
COL,1,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,2,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,3,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,4,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,5,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,6,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,7,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,8,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,9,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,10,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,11,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,12,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,13,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,14,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,15,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,16,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,17,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,18,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,19,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,20,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,21,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,22,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,23,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,24,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,25,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,26,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,27,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,28,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,29,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,30,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,31,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,32,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,33,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,34,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,35,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,36,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,37,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,38,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,39,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,40,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,41,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
COL,42,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
