,district_id,resource_id,tilt,azimuth,cf
0,546,439,15,180,[ 0  0 96 ...  0  0  0]
1,549,330,15,180,[ 0  0 42 ...  0  0  0]
2,545,453,15,180,[  0   0 103 ...   0   0   0]
3,548,406,15,180,[ 0  0 69 ...  0  0  0]
4,553,260,15,180,[0 0 0 ... 0 0 0]
5,534,341,15,180,[0 0 0 ... 0 0 0]
6,554,348,15,180,[ 0  0 72 ...  0  0  0]
7,540,285,15,180,[0 0 0 ... 0 0 0]
8,259,233,25,180,[0 0 0 ... 0 0 0]
9,249,690,25,180,[  0   0 218 ...   0   0   0]
10,253,735,25,180,[  0   0 278 ...   0   0   0]
11,248,683,25,180,[  0   0 213 ...   0   0   0]
12,250,728,25,180,[  0   0 220 ...   0   0   0]
13,247,674,25,180,[  0   0 196 ...   0   0   0]
14,309,730,25,180,[  0   0 233 ...   0   0   0]
15,321,639,25,180,[  0   0 190 ...   0   0   0]
16,325,632,25,180,[  0   0 157 ...   0   0   0]
17,318,658,25,180,[  0   0 206 ...   0   0   0]
18,301,717,25,180,[  0   0 169 ...   0   0   0]
19,311,713,25,180,[  0   0 223 ...   0   0   0]
20,316,631,25,180,[  0   0 171 ...   0   0   0]
21,213,582,25,180,[  0   0 134 ...   0   0   0]
22,233,525,25,180,[ 0  0 75 ...  0  0  0]
23,222,567,25,180,[  0   0 125 ...   0   0   0]
24,216,545,25,180,[ 0  0 72 ...  0  0  0]
25,226,575,25,180,[  0   0 127 ...   0   0   0]
26,218,538,25,180,[ 0  0 99 ...  0  0  0]
27,227,598,25,180,[  0   0 145 ...   0   0   0]
28,231,506,25,180,[ 0  0 22 ...  0  0  0]
29,232,592,25,180,[  0   0 140 ...   0   0   0]
30,407,549,25,180,[  0   0 144 ...   0   0   0]
31,409,455,25,180,[ 0  0 65 ...  0  0  0]
32,410,201,35,180,[0 0 0 ... 0 0 0]
33,406,449,15,180,[ 0  0 69 ...  0  0  0]
34,401,486,25,180,[ 0  0 27 ...  0  0  0]
35,404,480,25,180,[ 0  0 46 ...  0  0  0]
36,585,55,15,180,[0 0 0 ... 0 0 0]
37,586,58,15,180,[0 0 0 ... 0 0 0]
38,474,18,25,180,[0 0 0 ... 0 0 0]
39,470,2,25,180,[0 0 0 ... 0 0 0]
40,475,21,25,180,[0 0 0 ... 0 0 0]
41,484,47,25,180,[0 0 0 ... 0 0 0]
42,481,29,25,180,[0 0 0 ... 0 0 0]
43,482,22,25,180,[0 0 0 ... 0 0 0]
44,490,11,25,180,[0 0 0 ... 0 0 0]
45,476,61,25,180,[0 0 0 ... 0 0 0]
46,469,17,25,180,[0 0 0 ... 0 0 0]
47,74,215,35,180,[0 0 0 ... 0 0 0]
48,77,166,25,180,[0 0 0 ... 0 0 0]
