agent_id,control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,country_abbr,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias
211,Noreste,6,7,CoahuiladeZaragoza,ind,HM,MEX,4181,630818014.0,150877.3054,8710,11304,1,1,0.6,small,40
384,Oriental,2,12,Guerrero,ind,OMF,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,34
424,Occidental,3,14,Jalisco,res,1A,MEX,115550,136671215.0,1182.788533,9351,89,1,1,0.6,small,1
331,Occidental,3,11,Guanajuato,res,1D,MEX,1,0.0,0.0,9351,0,1,1,0.6,small,4
103,Peninsular,7,4,Campeche,com,9,MEX,346,486119.59,1404.969913,1893,105,1,1,0.6,small,23
208,Noreste,6,7,CoahuiladeZaragoza,com,9M,MEX,418,1059465.8,2534.607177,8710,190,1,1,0.6,small,24
190,Norte,5,6,Chihuahua,ind,HTLF,MEX,0,0.0,0.0,4258,0,1,1,0.6,small,41
150,Oriental,2,5,Chiapas,ind,HMF,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,42
947,Oriental,2,30,VeracruzdeIgnaciodelaLlave,ind,HM,MEX,3154,2048000000.0,649334.1788,7128,48659,1,1,0.6,small,42
499,Occidental,3,16,MichoacandeOcampo,ind,HM,MEX,1482,1193000000.0,804993.2524,9351,60335,1,1,0.6,small,42
188,Norte,5,6,Chihuahua,ind,HTF,MEX,0,0.0,0.0,4258,0,1,1,0.6,small,41
988,Peninsular,7,31,Yucatan,ind,HTF,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,42
914,Oriental,2,29,Tlaxcala,res,DAC,MEX,2080,9538915.7,4586.017163,7128,344,1,1,0.6,small,9
858,Oriental,2,27,Tabasco,ind,HSLF,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,42
515,Oriental,2,17,Morelos,com,3,MEX,274,21257962.0,77583.80292,7128,5813,1,1,0.6,small,18
72,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,1A,MEX,8498,17301706.0,2035.973876,442,153,1,1,0.6,small,1
915,Oriental,2,29,Tlaxcala,ind,HM,MEX,374,665760576.0,1780108.492,7128,133365,1,1,0.6,small,42
126,Peninsular,7,4,Campeche,ind,HTLF,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,42
1011,Occidental,3,32,Zacatecas,ind,HM,MEX,418,342995293.0,820562.9019,9351,61476,1,1,0.6,small,42
583,Noreste,6,19,NuevoLeon,com,9,MEX,386,537374.38,1392.161606,8710,104,1,1,0.6,small,23
571,Occidental,3,18,Nayarit,ind,HT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
524,Oriental,2,17,Morelos,res,1E,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,5
494,Occidental,3,16,MichoacandeOcampo,com,5A,MEX,10678,211094123.0,19769.0694,9351,1481,1,1,0.6,small,19
20,Occidental,3,1,Aguascalientes,ind,HMC,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
7,Occidental,3,1,Aguascalientes,com,9,MEX,4,8115.3408,2028.8352,9351,152,1,1,0.6,small,23
476,Central,1,15,Mexico,ind,HTF,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,38
707,Peninsular,7,23,QuintanaRoo,com,3,MEX,147,10140185.0,68980.85034,1893,5168,1,1,0.6,small,18
430,Occidental,3,14,Jalisco,com,5A,MEX,6997,151588960.0,21664.85065,9351,1623,1,1,0.6,small,19
526,Oriental,2,17,Morelos,com,5A,MEX,1903,104082823.0,54694.07409,7128,4098,1,1,0.6,small,19
836,Oriental,2,27,Tabasco,com,5,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,15
632,Oriental,2,20,Oaxaca,ind,HSF,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,42
90,BajaCaliforniaSur,9,3,BajaCaliforniaSur,ind,HSLF,MEX,0,0.0,0.0,442,0,1,1,0.6,small,37
679,Occidental,3,22,Queretaro,com,9,MEX,41,613228.79,14956.79976,9351,1121,1,1,0.6,small,23
108,Peninsular,7,4,Campeche,res,1E,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,5
83,BajaCaliforniaSur,9,3,BajaCaliforniaSur,ind,HM,MEX,1242,689096118.0,554827.7923,442,41568,1,1,0.6,small,37
548,Occidental,3,18,Nayarit,com,5,MEX,1,0.0,0.0,9351,0,1,1,0.6,small,15
383,Oriental,2,12,Guerrero,ind,OM,MEX,3391,258139367.0,76124.85019,7128,5703,1,1,0.6,small,34
168,Norte,5,6,Chihuahua,res,1A,MEX,148081,27432335.0,185.2522268,4258,14,1,1,0.6,small,1
999,Occidental,3,32,Zacatecas,com,9,MEX,425,261199.18,614.5863059,9351,46,1,1,0.6,small,23
10,Occidental,3,1,Aguascalientes,res,1C,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,3
759,Occidental,3,24,SanLuisPotosi,ind,HS,MEX,35,1048000000.0,29942857.14,9351,2243014,1,1,0.6,small,42
465,Central,1,15,Mexico,com,9N,MEX,38,5353468.8,140880.7579,8567,10555,1,1,0.6,small,26
722,Peninsular,7,23,QuintanaRoo,res,DAC,MEX,10538,101027624.0,9586.982729,1893,718,1,1,0.6,small,8
369,Oriental,2,12,Guerrero,com,9N,MEX,17,363548.58,21385.21059,7128,1602,1,1,0.6,small,26
814,Noroeste,4,26,Sonora,com,5A,MEX,4469,122076656.0,27316.3249,4350,2047,1,1,0.6,small,19
219,Noreste,6,7,CoahuiladeZaragoza,ind,HT,MEX,7,0.0,0.0,8710,0,1,1,0.6,small,40
456,Central,1,15,Mexico,res,1A,MEX,64,5552.6016,86.7594,8567,7,1,1,0.6,small,1
782,Noroeste,4,25,Sinaloa,com,5A,MEX,4478,137026715.0,30599.98102,4350,2293,1,1,0.6,small,19
124,Peninsular,7,4,Campeche,ind,HTF,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,42
778,Noroeste,4,25,Sinaloa,res,1C,MEX,1,0.0,0.0,4350,0,1,1,0.6,small,3
752,Occidental,3,24,SanLuisPotosi,com,9M,MEX,290,1919918.8,6620.409655,9351,496,1,1,0.6,small,24
990,Peninsular,7,31,Yucatan,ind,HTLF,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,42
349,Occidental,3,11,Guanajuato,ind,HTL,MEX,1,0.0,0.0,9351,0,1,1,0.6,small,42
588,Noreste,6,19,NuevoLeon,res,1E,MEX,12993,21529092.0,1656.976218,8710,124,1,1,0.6,small,5
474,Central,1,15,Mexico,ind,HSLF,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,38
8,Occidental,3,1,Aguascalientes,res,1A,MEX,68,12132.968,178.426,9351,13,1,1,0.6,small,1
685,Occidental,3,22,Queretaro,res,1F,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,6
140,Oriental,2,5,Chiapas,res,1E,MEX,0,407271982.0,0.0,7128,0,1,1,0.6,small,5
543,Oriental,2,17,Morelos,ind,OM,MEX,2626,201897840.0,76884.17365,7128,5760,1,1,0.6,small,34
285,Central,1,9,DistritoFederal,ind,HTL,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,38
273,Central,1,9,DistritoFederal,com,9N,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,26
894,Noreste,6,28,Tamaulipas,ind,HTLF,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,40
48,BajaCalifornia,8,2,BajaCalifornia,com,9M,MEX,103,3645229.6,35390.57864,2621,2651,1,1,0.6,small,24
699,Occidental,3,22,Queretaro,ind,HT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
433,Occidental,3,14,Jalisco,com,9N,MEX,4611,650930805.0,141169.1184,9351,10576,1,1,0.6,small,26
1021,Occidental,3,32,Zacatecas,ind,HTL,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
620,Oriental,2,20,Oaxaca,res,1E,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,5
191,Norte,5,6,Chihuahua,ind,OM,MEX,14023,134043980.0,9558.866148,4258,716,1,1,0.6,small,32
380,Oriental,2,12,Guerrero,ind,HTF,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,42
175,Norte,5,6,Chihuahua,com,9CU,MEX,741,18578671.0,25072.4305,4258,1878,1,1,0.6,small,25
671,Oriental,2,21,Puebla,ind,OM,MEX,6356,427256502.0,67220.97262,7128,5036,1,1,0.6,small,34
844,Oriental,2,27,Tabasco,res,1E,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,5
397,Central,1,13,Hidalgo,res,1F,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,6
663,Oriental,2,21,Puebla,ind,HS,MEX,15,596482554.0,39765503.6,7128,2979225,1,1,0.6,small,42
113,Peninsular,7,4,Campeche,com,9N,MEX,39,9307775.3,238660.9051,1893,17880,1,1,0.6,small,26
976,Peninsular,7,31,Yucatan,com,9M,MEX,190,1366166.9,7190.352105,1893,539,1,1,0.6,small,24
52,BajaCalifornia,8,2,BajaCalifornia,ind,HMC,MEX,37,28841240.0,779492.973,2621,58399,1,1,0.6,small,35
214,Noreste,6,7,CoahuiladeZaragoza,ind,HMF,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,40
64,BajaCalifornia,8,2,BajaCalifornia,ind,OMF,MEX,0,0.0,0.0,2621,0,1,1,0.6,small,27
503,Occidental,3,16,MichoacandeOcampo,ind,HS,MEX,7,147543036.0,21077576.57,9351,1579129,1,1,0.6,small,42
183,Norte,5,6,Chihuahua,ind,HS,MEX,53,86699683.0,1635843.075,4258,122557,1,1,0.6,small,41
255,Occidental,3,8,Colima,ind,OM,MEX,2139,707435187.0,330731.7377,9351,24778,1,1,0.6,small,34
762,Occidental,3,24,SanLuisPotosi,ind,HSLF,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
743,Occidental,3,24,SanLuisPotosi,com,9,MEX,268,159330.3,594.5160448,9351,45,1,1,0.6,small,23
