source,year,sector,sector_abbr,country_abbr,control_reg_id,escalation_factor
Planning,2015,Residential,res,MEX,1,1
Planning,2015,Residential,res,MEX,2,1
Planning,2015,Residential,res,MEX,3,1
Planning,2015,Residential,res,MEX,4,1
Planning,2015,Residential,res,MEX,5,1
Planning,2015,Residential,res,MEX,6,1
Planning,2015,Residential,res,MEX,7,1
Planning,2015,Residential,res,MEX,8,1
Planning,2015,Residential,res,MEX,9,1
Low,2015,Residential,res,MEX,1,1
Low,2015,Residential,res,MEX,2,1
Low,2015,Residential,res,MEX,3,1
Low,2015,Residential,res,MEX,4,1
Low,2015,Residential,res,MEX,5,1
Low,2015,Residential,res,MEX,6,1
Low,2015,Residential,res,MEX,7,1
Low,2015,Residential,res,MEX,8,1
Low,2015,Residential,res,MEX,9,1
High,2015,Residential,res,MEX,1,1
High,2015,Residential,res,MEX,2,1
High,2015,Residential,res,MEX,3,1
High,2015,Residential,res,MEX,4,1
High,2015,Residential,res,MEX,5,1
High,2015,Residential,res,MEX,6,1
High,2015,Residential,res,MEX,7,1
High,2015,Residential,res,MEX,8,1
High,2015,Residential,res,MEX,9,1
Planning,2015,Commercial,com,MEX,1,1
Planning,2015,Commercial,com,MEX,2,1
Planning,2015,Commercial,com,MEX,3,1
Planning,2015,Commercial,com,MEX,4,1
Planning,2015,Commercial,com,MEX,5,1
Planning,2015,Commercial,com,MEX,6,1
Planning,2015,Commercial,com,MEX,7,1
Planning,2015,Commercial,com,MEX,8,1
Planning,2015,Commercial,com,MEX,9,1
Low,2015,Commercial,com,MEX,1,1
Low,2015,Commercial,com,MEX,2,1
Low,2015,Commercial,com,MEX,3,1
Low,2015,Commercial,com,MEX,4,1
Low,2015,Commercial,com,MEX,5,1
Low,2015,Commercial,com,MEX,6,1
Low,2015,Commercial,com,MEX,7,1
Low,2015,Commercial,com,MEX,8,1
Low,2015,Commercial,com,MEX,9,1
High,2015,Commercial,com,MEX,1,1
High,2015,Commercial,com,MEX,2,1
High,2015,Commercial,com,MEX,3,1
High,2015,Commercial,com,MEX,4,1
High,2015,Commercial,com,MEX,5,1
High,2015,Commercial,com,MEX,6,1
High,2015,Commercial,com,MEX,7,1
High,2015,Commercial,com,MEX,8,1
High,2015,Commercial,com,MEX,9,1
