agent_id,control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias
1,Occidental,3,1,Aguascalientes,res,DB2,399237,498873678,1249.567745,9351,94,1,1,0.6,small,191
2,Occidental,3,1,Aguascalientes,com,GDBT,49859,146874027,2945.787661,9351,221,1,1,0.6,small,181
3,Occidental,3,1,Aguascalientes,com,GDBT,21,646704.57,30795.45571,9351,2307,1,1,0.6,small,181
4,Occidental,3,1,Aguascalientes,com,APBT,0,0,0,9351,0,1,1,0.6,small,185
5,Occidental,3,1,Aguascalientes,com,GDBT,372,46471511,124923.4167,9351,9359,1,1,0.6,small,181
6,Occidental,3,1,Aguascalientes,com,RAMT,11,49012.387,4455.671545,9351,334,1,1,0.6,small,187
7,Occidental,3,1,Aguascalientes,com,RABT,4,8115.3408,2028.8352,9351,152,1,1,0.6,small,182
8,Occidental,3,1,Aguascalientes,res,DB2,68,12132.968,178.426,9351,13,1,1,0.6,small,191
9,Occidental,3,1,Aguascalientes,res,DB2,64,58435.793,913.0592656,9351,68,1,1,0.6,small,191
10,Occidental,3,1,Aguascalientes,res,DB1,0,0,0,9351,0,1,1,0.6,small,183
11,Occidental,3,1,Aguascalientes,res,DB1,0,0,0,9351,0,1,1,0.6,small,183
12,Occidental,3,1,Aguascalientes,res,DB1,0,0,0,9351,0,1,1,0.6,small,183
13,Occidental,3,1,Aguascalientes,res,DB1,0,0,0,9351,0,1,1,0.6,small,183
14,Occidental,3,1,Aguascalientes,com,APBT,3940,78368258,19890.42081,9351,1490,1,1,0.6,small,185
15,Occidental,3,1,Aguascalientes,com,RABT,36,427843.97,11884.55472,9351,890,1,1,0.6,small,182
16,Occidental,3,1,Aguascalientes,com,RAMT,126,540617.84,4290.617778,9351,321,1,1,0.6,small,187
17,Occidental,3,1,Aguascalientes,com,RABT,2199,299392781,136149.5139,9351,10200,1,1,0.6,small,182
18,Occidental,3,1,Aguascalientes,res,DB2,3914,22437769,5732.695197,9351,429,1,1,0.6,small,191
19,Occidental,3,1,Aguascalientes,ind,GDMTH,1069,1127000000,1054256.314,9351,78990,1,1,0.6,small,189
20,Occidental,3,1,Aguascalientes,ind,GDMTH,0,0,0,9351,0,1,1,0.6,small,189
21,Occidental,3,1,Aguascalientes,ind,GDMTH,0,0,0,9351,0,1,1,0.6,small,189
22,Occidental,3,1,Aguascalientes,ind,GDMTH,1,155899.97,155899.97,9351,11680,1,1,0.6,small,189
23,Occidental,3,1,Aguascalientes,ind,DIST,5,153322186,30664437.2,9351,2297375,1,1,0.6,small,184
24,Occidental,3,1,Aguascalientes,ind,DIST,0,0,0,9351,0,1,1,0.6,small,184
25,Occidental,3,1,Aguascalientes,ind,DIST,6,140934012,23489002,9351,1759792,1,1,0.6,small,184
26,Occidental,3,1,Aguascalientes,ind,DIST,0,0,0,9351,0,1,1,0.6,small,184
27,Occidental,3,1,Aguascalientes,ind,DIT,2,295631868,147815934,9351,11074346,1,1,0.6,small,180
28,Occidental,3,1,Aguascalientes,ind,DIT,0,0,0,9351,0,1,1,0.6,small,180
29,Occidental,3,1,Aguascalientes,ind,DIT,0,0,0,9351,0,1,1,0.6,small,180
30,Occidental,3,1,Aguascalientes,ind,DIT,0,0,0,9351,0,1,1,0.6,small,180
31,Occidental,3,1,Aguascalientes,ind,GDMTO,3522,203531212,57788.53265,9351,4330,1,1,0.6,small,190
32,Occidental,3,1,Aguascalientes,ind,GDMTO,0,0,0,9351,0,1,1,0.6,small,190
33,BajaCalifornia,8,2,BajaCalifornia,res,DB2,211366,359242205,1699.621533,2621,127,1,1,0.6,small,23
34,BajaCalifornia,8,2,BajaCalifornia,com,GDBT,99890,502151728,5027.047032,2621,377,1,1,0.6,small,13
35,BajaCalifornia,8,2,BajaCalifornia,com,GDBT,1124,49389510,43940.8452,2621,3292,1,1,0.6,small,13
36,BajaCalifornia,8,2,BajaCalifornia,com,APBT,0,0,0,2621,0,1,1,0.6,small,17
37,BajaCalifornia,8,2,BajaCalifornia,com,GDBT,484,59561970,123061.9215,2621,9220,1,1,0.6,small,13
38,BajaCalifornia,8,2,BajaCalifornia,com,RAMT,2,68086.108,34043.054,2621,2551,1,1,0.6,small,19
39,BajaCalifornia,8,2,BajaCalifornia,com,RABT,91,436826.91,4800.295714,2621,360,1,1,0.6,small,14
40,BajaCalifornia,8,2,BajaCalifornia,res,DB2,556906,1026000000,1842.321684,2621,138,1,1,0.6,small,23
41,BajaCalifornia,8,2,BajaCalifornia,res,DB1,1,0,0,2621,0,1,1,0.6,small,15
42,BajaCalifornia,8,2,BajaCalifornia,res,DB2,223,1549416.1,6948.05426,2621,521,1,1,0.6,small,23
43,BajaCalifornia,8,2,BajaCalifornia,res,DB1,222,0,0,2621,0,1,1,0.6,small,15
44,BajaCalifornia,8,2,BajaCalifornia,res,DB1,5,0,0,2621,0,1,1,0.6,small,15
45,BajaCalifornia,8,2,BajaCalifornia,res,DB2,345549,1116000000,3229.643263,2621,242,1,1,0.6,small,23
46,BajaCalifornia,8,2,BajaCalifornia,com,APBT,3070,105212510,34271.1759,2621,2568,1,1,0.6,small,17
47,BajaCalifornia,8,2,BajaCalifornia,com,RABT,1303,42530312,32640.30084,2621,2445,1,1,0.6,small,14
48,BajaCalifornia,8,2,BajaCalifornia,com,RAMT,103,3645229.6,35390.57864,2621,2651,1,1,0.6,small,19
49,BajaCalifornia,8,2,BajaCalifornia,com,RABT,1303,161205906,123719.0376,2621,9269,1,1,0.6,small,14
50,BajaCalifornia,8,2,BajaCalifornia,res,DB2,25065,119400836,4763.647955,2621,357,1,1,0.6,small,23
51,BajaCalifornia,8,2,BajaCalifornia,ind,GDMTH,3175,3510000000,1105511.811,2621,82830,1,1,0.6,small,21
52,BajaCalifornia,8,2,BajaCalifornia,ind,GDMTH,37,28841240,779492.973,2621,58399,1,1,0.6,small,21
53,BajaCalifornia,8,2,BajaCalifornia,ind,GDMTH,0,0,0,2621,0,1,1,0.6,small,21
54,BajaCalifornia,8,2,BajaCalifornia,ind,GDMTH,0,0,0,2621,0,1,1,0.6,small,21
55,BajaCalifornia,8,2,BajaCalifornia,ind,DIST,89,909952729,10224187.97,2621,765995,1,1,0.6,small,16
56,BajaCalifornia,8,2,BajaCalifornia,ind,DIST,0,0,0,2621,0,1,1,0.6,small,16
57,BajaCalifornia,8,2,BajaCalifornia,ind,DIST,16,518572626,32410789.13,2621,2428211,1,1,0.6,small,16
58,BajaCalifornia,8,2,BajaCalifornia,ind,DIST,0,0,0,2621,0,1,1,0.6,small,16
59,BajaCalifornia,8,2,BajaCalifornia,ind,DIT,13,360632464,27740958.77,2621,2078348,1,1,0.6,small,12
60,BajaCalifornia,8,2,BajaCalifornia,ind,DIT,0,0,0,2621,0,1,1,0.6,small,12
61,BajaCalifornia,8,2,BajaCalifornia,ind,DIT,1,41270005,41270005,2621,3091942,1,1,0.6,small,12
62,BajaCalifornia,8,2,BajaCalifornia,ind,DIT,0,0,0,2621,0,1,1,0.6,small,12
63,BajaCalifornia,8,2,BajaCalifornia,ind,GDMTO,13325,822880528,61754.63625,2621,4627,1,1,0.6,small,22
64,BajaCalifornia,8,2,BajaCalifornia,ind,GDMTO,0,0,0,2621,0,1,1,0.6,small,22
65,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB2,2407,4666294.3,1938.63494,442,145,1,1,0.6,small,131
66,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,GDBT,32671,183511494,5616.95369,442,421,1,1,0.6,small,121
67,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,GDBT,342,13797935,40344.83918,442,3023,1,1,0.6,small,121
68,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,APBT,0,0,0,442,0,1,1,0.6,small,125
69,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,GDBT,323,102371233,316938.8019,442,23745,1,1,0.6,small,121
70,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,RAMT,14,414389.59,29599.25643,442,2218,1,1,0.6,small,127
71,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,RABT,34,413121.57,12150.63441,442,910,1,1,0.6,small,122
72,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB2,8498,17301706,2035.973876,442,153,1,1,0.6,small,131
73,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB2,9016,12302817,1364.553793,442,102,1,1,0.6,small,131
74,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB2,113327,286711774,2529.95115,442,190,1,1,0.6,small,131
75,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB2,3237,5912920.1,1826.666698,442,137,1,1,0.6,small,131
76,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB2,105420,254086542,2410.230905,442,181,1,1,0.6,small,131
77,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB1,3,0,0,442,0,1,1,0.6,small,123
78,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,APBT,1805,40130787,22233.12299,442,1666,1,1,0.6,small,125
79,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,RABT,496,52007615,104854.0625,442,7856,1,1,0.6,small,122
