agent_id,control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,country_abbr,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias
211,Noreste,6,7,CoahuiladeZaragoza,ind,GDMTH,MEX,4181,630818014.0,150877.3054,8710,11304,1,1,0.6,small,153
384,Oriental,2,12,Guerrero,ind,GDMTO,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,82
424,Occidental,3,14,Jalisco,res,DB2,MEX,115550,136671215.0,1182.788533,9351,89,1,1,0.6,small,191
331,Occidental,3,11,Guanajuato,res,DB1,MEX,1,0.0,0.0,9351,0,1,1,0.6,small,183
103,Peninsular,7,4,Campeche,com,RABT,MEX,346,486119.59,1404.9699130000001,1893,105,1,1,0.6,small,86
208,Noreste,6,7,CoahuiladeZaragoza,com,RAMT,MEX,418,1059465.8,2534.607177,8710,190,1,1,0.6,small,151
190,Norte,5,6,Chihuahua,ind,DIT,MEX,0,0.0,0.0,4258,0,1,1,0.6,small,108
150,Oriental,2,5,Chiapas,ind,GDMTH,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,81
947,Oriental,2,30,VeracruzdeIgnaciodelaLlave,ind,GDMTH,MEX,3154,2048000000.0,649334.1788,7128,48659,1,1,0.6,small,81
499,Occidental,3,16,MichoacandeOcampo,ind,GDMTH,MEX,1482,1193000000.0,804993.2524,9351,60335,1,1,0.6,small,189
188,Norte,5,6,Chihuahua,ind,DIT,MEX,0,0.0,0.0,4258,0,1,1,0.6,small,108
988,Peninsular,7,31,Yucatan,ind,DIT,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,84
914,Oriental,2,29,Tlaxcala,res,DB2,MEX,2080,9538915.7,4586.017163,7128,344,1,1,0.6,small,83
858,Oriental,2,27,Tabasco,ind,DIST,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,76
515,Oriental,2,17,Morelos,com,GDBT,MEX,274,21257962.0,77583.80292,7128,5813,1,1,0.6,small,73
72,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB2,MEX,8498,17301706.0,2035.9738760000002,442,153,1,1,0.6,small,131
915,Oriental,2,29,Tlaxcala,ind,GDMTH,MEX,374,665760576.0,1780108.4919999999,7128,133365,1,1,0.6,small,81
126,Peninsular,7,4,Campeche,ind,DIT,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,84
1011,Occidental,3,32,Zacatecas,ind,GDMTH,MEX,418,342995293.0,820562.9019,9351,61476,1,1,0.6,small,189
583,Noreste,6,19,NuevoLeon,com,RABT,MEX,386,537374.38,1392.1616060000001,8710,104,1,1,0.6,small,146
571,Occidental,3,18,Nayarit,ind,DIT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,180
524,Oriental,2,17,Morelos,res,DB1,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,75
494,Occidental,3,16,MichoacandeOcampo,com,APBT,MEX,10678,211094123.0,19769.0694,9351,1481,1,1,0.6,small,185
20,Occidental,3,1,Aguascalientes,ind,GDMTH,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,189
7,Occidental,3,1,Aguascalientes,com,RABT,MEX,4,8115.3408,2028.8352,9351,152,1,1,0.6,small,182
476,Central,1,15,Mexico,ind,DIT,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,48
707,Peninsular,7,23,QuintanaRoo,com,GDBT,MEX,147,10140185.0,68980.85034,1893,5168,1,1,0.6,small,85
430,Occidental,3,14,Jalisco,com,APBT,MEX,6997,151588960.0,21664.85065,9351,1623,1,1,0.6,small,185
526,Oriental,2,17,Morelos,com,APBT,MEX,1903,104082823.0,54694.074089999995,7128,4098,1,1,0.6,small,77
836,Oriental,2,27,Tabasco,com,APBT,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,77
632,Oriental,2,20,Oaxaca,ind,DIST,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,76
90,BajaCaliforniaSur,9,3,BajaCaliforniaSur,ind,DIST,MEX,0,0.0,0.0,442,0,1,1,0.6,small,124
679,Occidental,3,22,Queretaro,com,RABT,MEX,41,613228.79,14956.79976,9351,1121,1,1,0.6,small,182
108,Peninsular,7,4,Campeche,res,DB1,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,87
83,BajaCaliforniaSur,9,3,BajaCaliforniaSur,ind,GDMTH,MEX,1242,689096118.0,554827.7923,442,41568,1,1,0.6,small,129
548,Occidental,3,18,Nayarit,com,APBT,MEX,1,0.0,0.0,9351,0,1,1,0.6,small,185
383,Oriental,2,12,Guerrero,ind,GDMTO,MEX,3391,258139367.0,76124.85019,7128,5703,1,1,0.6,small,82
168,Norte,5,6,Chihuahua,res,DB2,MEX,148081,27432335.0,185.25222680000002,4258,14,1,1,0.6,small,119
999,Occidental,3,32,Zacatecas,com,RABT,MEX,425,261199.18,614.5863059,9351,46,1,1,0.6,small,182
10,Occidental,3,1,Aguascalientes,res,DB1,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,183
759,Occidental,3,24,SanLuisPotosi,ind,DIST,MEX,35,1048000000.0,29942857.14,9351,2243014,1,1,0.6,small,184
465,Central,1,15,Mexico,com,RABT,MEX,38,5353468.8,140880.7579,8567,10555,1,1,0.6,small,50
722,Peninsular,7,23,QuintanaRoo,res,DB2,MEX,10538,101027624.0,9586.982729000001,1893,718,1,1,0.6,small,95
369,Oriental,2,12,Guerrero,com,RABT,MEX,17,363548.58,21385.210590000002,7128,1602,1,1,0.6,small,74
814,Noroeste,4,26,Sonora,com,APBT,MEX,4469,122076656.0,27316.3249,4350,2047,1,1,0.6,small,161
219,Noreste,6,7,CoahuiladeZaragoza,ind,DIT,MEX,7,0.0,0.0,8710,0,1,1,0.6,small,144
456,Central,1,15,Mexico,res,DB1,MEX,64,5552.6016,86.7594,8567,7,1,1,0.6,small,51
782,Noroeste,4,25,Sinaloa,com,APBT,MEX,4478,137026715.0,30599.98102,4350,2293,1,1,0.6,small,161
124,Peninsular,7,4,Campeche,ind,DIT,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,84
778,Noroeste,4,25,Sinaloa,res,DB1,MEX,1,0.0,0.0,4350,0,1,1,0.6,small,159
752,Occidental,3,24,SanLuisPotosi,com,RAMT,MEX,290,1919918.8,6620.4096549999995,9351,496,1,1,0.6,small,187
990,Peninsular,7,31,Yucatan,ind,DIT,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,84
349,Occidental,3,11,Guanajuato,ind,DIT,MEX,1,0.0,0.0,9351,0,1,1,0.6,small,180
588,Noreste,6,19,NuevoLeon,res,DB2,MEX,12993,21529092.0,1656.976218,8710,124,1,1,0.6,small,155
474,Central,1,15,Mexico,ind,DIST,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,52
8,Occidental,3,1,Aguascalientes,res,DB2,MEX,68,12132.968,178.426,9351,13,1,1,0.6,small,191
685,Occidental,3,22,Queretaro,res,DB1,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,183
140,Oriental,2,5,Chiapas,res,DB1,MEX,0,407271982.0,0.0,7128,0,1,1,0.6,small,75
543,Oriental,2,17,Morelos,ind,GDMTO,MEX,2626,201897840.0,76884.17365,7128,5760,1,1,0.6,small,82
285,Central,1,9,DistritoFederal,ind,DIT,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,48
273,Central,1,9,DistritoFederal,com,RABT,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,50
894,Noreste,6,28,Tamaulipas,ind,DIT,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,144
48,BajaCalifornia,8,2,BajaCalifornia,com,RAMT,MEX,103,3645229.6,35390.57864,2621,2651,1,1,0.6,small,19
699,Occidental,3,22,Queretaro,ind,DIT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,180
433,Occidental,3,14,Jalisco,com,RABT,MEX,4611,650930805.0,141169.1184,9351,10576,1,1,0.6,small,182
1021,Occidental,3,32,Zacatecas,ind,DIT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,180
620,Oriental,2,20,Oaxaca,res,DB1,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,75
191,Norte,5,6,Chihuahua,ind,GDMTO,MEX,14023,134043980.0,9558.866148000001,4258,716,1,1,0.6,small,118
380,Oriental,2,12,Guerrero,ind,DIT,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,72
175,Norte,5,6,Chihuahua,com,RABT,MEX,741,18578671.0,25072.4305,4258,1878,1,1,0.6,small,110
671,Oriental,2,21,Puebla,ind,GDMTO,MEX,6356,427256502.0,67220.97262,7128,5036,1,1,0.6,small,82
844,Oriental,2,27,Tabasco,res,DB1,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,75
397,Central,1,13,Hidalgo,res,DB1,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,51
663,Oriental,2,21,Puebla,ind,DIST,MEX,15,596482554.0,39765503.6,7128,2979225,1,1,0.6,small,76
113,Peninsular,7,4,Campeche,com,RABT,MEX,39,9307775.3,238660.9051,1893,17880,1,1,0.6,small,86
976,Peninsular,7,31,Yucatan,com,RAMT,MEX,190,1366166.9,7190.352105,1893,539,1,1,0.6,small,91
52,BajaCalifornia,8,2,BajaCalifornia,ind,GDMTH,MEX,37,28841240.0,779492.973,2621,58399,1,1,0.6,small,21
214,Noreste,6,7,CoahuiladeZaragoza,ind,GDMTH,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,153
64,BajaCalifornia,8,2,BajaCalifornia,ind,GDMTO,MEX,0,0.0,0.0,2621,0,1,1,0.6,small,22
503,Occidental,3,16,MichoacandeOcampo,ind,DIST,MEX,7,147543036.0,21077576.57,9351,1579129,1,1,0.6,small,184
183,Norte,5,6,Chihuahua,ind,DIST,MEX,53,86699683.0,1635843.075,4258,122557,1,1,0.6,small,112
255,Occidental,3,8,Colima,ind,GDMTO,MEX,2139,707435187.0,330731.7377,9351,24778,1,1,0.6,small,190
762,Occidental,3,24,SanLuisPotosi,ind,DIST,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,184
743,Occidental,3,24,SanLuisPotosi,com,RABT,MEX,268,159330.3,594.5160448,9351,45,1,1,0.6,small,182
