country_abbr,control_reg_id,state_id,sector_abbr,tariff_class,pv_capacity_mw,pv_systems_count
MEX,3,1,res,1,0.916715,250
MEX,3,1,com,2,0.736125,110
MEX,3,1,com,3,0,0
MEX,3,1,com,5,0,0
MEX,3,1,com,6,0,0
MEX,3,1,com,7,0,0
MEX,3,1,com,9,0,0
MEX,3,1,res,1A,0,0
MEX,3,1,res,1B,0,0
MEX,3,1,res,1C,0,0
MEX,3,1,res,1D,0,0
MEX,3,1,res,1E,0,0
MEX,3,1,res,1F,0,0
MEX,3,1,com,5A,0.05452,6
MEX,3,1,com,9CU,0,0
MEX,3,1,com,9M,0,0
MEX,3,1,com,9N,0,0
MEX,3,1,res,DAC,0,0
MEX,3,1,ind,HM,0.4105,4
MEX,3,1,ind,HMC,0,0
MEX,3,1,ind,HMCF,0,0
MEX,3,1,ind,HMF,0,0
MEX,3,1,ind,HS,0,0
MEX,3,1,ind,HSF,0,0
MEX,3,1,ind,HSL,0,0
MEX,3,1,ind,HSLF,0,0
MEX,3,1,ind,HT,0,0
MEX,3,1,ind,HTF,0,0
MEX,3,1,ind,HTL,0,0
MEX,3,1,ind,HTLF,0,0
MEX,3,1,ind,OM,1.29692,25
MEX,3,1,ind,OMF,0,0
MEX,8,2,res,1,1.327598,518
MEX,8,2,com,2,0.411345,92
MEX,8,2,com,3,0.01,1
MEX,8,2,com,5,0,0
MEX,8,2,com,6,0,0
MEX,8,2,com,7,0,0
MEX,8,2,com,9,0,0
MEX,8,2,res,1A,0.0188,10
MEX,8,2,res,1B,0,0
MEX,8,2,res,1C,0,0
MEX,8,2,res,1D,0,0
MEX,8,2,res,1E,0,0
MEX,8,2,res,1F,0.072,25
MEX,8,2,com,5A,0,0
MEX,8,2,com,9CU,0,0
MEX,8,2,com,9M,0,0
MEX,8,2,com,9N,0,0
MEX,8,2,res,DAC,0.0015,1
MEX,8,2,ind,HM,0.30782,5
MEX,8,2,ind,HMC,0,0
MEX,8,2,ind,HMCF,0,0
MEX,8,2,ind,HMF,0,0
MEX,8,2,ind,HS,0.25,1
MEX,8,2,ind,HSF,0,0
MEX,8,2,ind,HSL,0,0
MEX,8,2,ind,HSLF,0,0
MEX,8,2,ind,HT,0,0
MEX,8,2,ind,HTF,0,0
MEX,8,2,ind,HTL,0,0
MEX,8,2,ind,HTLF,0,0
MEX,8,2,ind,OM,0.1264,4
MEX,8,2,ind,OMF,0,0
MEX,9,3,res,1,0.36707,64
MEX,9,3,com,2,0.12295,20
MEX,9,3,com,3,0,0
MEX,9,3,com,5,0,0
MEX,9,3,com,6,0,0
MEX,9,3,com,7,0,0
MEX,9,3,com,9,0,0
MEX,9,3,res,1A,0,0
MEX,9,3,res,1B,0,0
MEX,9,3,res,1C,0.16257,29
MEX,9,3,res,1D,0,0
