BA,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,3.900443882,21.97036311,86.28788378,236.6233506,478.4868907,999.6566257,1012.444376,1013.638979,1043.018939,1073.165662,1104.137974,1114.562387,1102.362031,1113.839237,1125.430151,1137.137568,1128.613816,1141.43734,1154.388702,1167.469333
p2,4.25E-05,0.016080997,0.103919664,0.50650111,1.589236361,2.91065539,6.346415415,6.414959309,6.361171315,6.535007518,6.713399402,6.89671186,6.958386426,6.832825401,6.901401052,6.970660822,7.040612896,6.942970139,7.020274946,7.098350043,7.177206515
p3,0.075701514,1.527387348,7.16441909,22.44169538,56.77407682,119.7983163,239.7342188,243.4442761,245.5108867,252.8841944,260.5033655,268.3985255,271.2882624,270.2828531,274.0026259,278.3191652,283.6178653,286.8510106,295.5660176,304.6895785,313.2462218
p4,0.119576402,1.851223136,7.22867366,21.43754332,53.40423879,112.6777632,222.0936501,225.6654515,227.8556197,234.6861558,241.7029111,248.9233227,251.3637044,250.211725,252.8478882,255.5007553,258.1764908,257.7026107,260.6326997,263.5702035,266.5197625
p5,5.718094633,34.11179566,38.47431314,54.06551117,92.58895195,158.5889246,290.642056,295.1941137,295.4016566,304.9252784,314.8298328,325.5743198,330.1698954,327.8086643,332.3283987,336.2723196,340.0214069,338.7548163,343.6664305,348.1616001,352.4396007
p6,0.246640299,1.462354857,1.403290165,1.352589541,1.37009064,1.32574531,1.348495549,1.37644873,1.303126108,1.354675159,1.414651135,1.604934571,1.751834841,1.826376347,1.928422555,1.970097855,2.005882723,1.997697741,2.063164987,2.117560586,2.16506524
p7,0.042888671,0.256119505,0.274197715,0.321074462,0.430397966,0.515876916,0.691329464,0.858595692,1.000284109,1.172890113,1.335659956,1.52964866,1.677196885,1.82686087,1.956923436,2.043979737,2.105534694,2.134416078,2.190031096,2.23850692,2.281724192
p8,0.819524,4.73704695,5.788853575,8.102752,12.90782757,16.94330737,23.71643098,30.01179975,33.9954325,37.28381196,39.69840324,41.9532519,43.6088734,45.07129151,47.62906063,49.72780448,51.31204748,52.18358719,53.90037352,55.32262403,56.62423468
p9,430.9401092,541.6054016,786.913838,1273.586518,2221.499435,2992.902924,4355.239586,5697.326187,6669.652298,7467.813087,8053.324165,8485.314018,8777.474937,8847.468185,9068.963501,9261.079849,9433.663498,9406.486671,9580.514542,9749.431152,9916.069557
p10,534.6252872,663.7295472,954.4290473,1543.376698,2709.88238,3408.835266,5041.157482,6689.22271,7933.868393,8917.417259,9630.60228,10136.19325,10462.16341,10555.23615,10790.66628,11000.002,11198.6006,11220.77621,11446.58502,11662.33148,11877.1013
p11,107.3777754,134.8943795,196.9183296,322.6829373,571.4834344,742.2928348,1084.681825,1431.374155,1693.145119,1901.657896,2055.503441,2167.382851,2241.246201,2262.2346,2315.573502,2364.11208,2410.834053,2419.191956,2472.730995,2523.80946,2574.314186
p12,0.408189973,2.440375421,8.463877501,24.47096188,64.13927117,110.6370028,157.2137147,214.6223303,276.239984,344.5308247,409.6703591,469.2695327,511.8707776,546.4045219,586.7754598,624.7287097,663.195405,697.6924973,740.6884289,781.0425577,818.3653746
p13,0.543822861,5.671672602,23.99666927,76.215904,201.6811351,402.4527488,626.0349188,908.9023285,1195.243015,1472.132282,1708.654541,1897.764713,2014.581669,2101.158447,2204.032139,2302.684036,2400.081478,2477.259537,2584.556969,2686.712303,2787.357979
p14,0.007315592,0.146950765,0.647710184,2.072644657,5.396437498,8.068202117,8.252717119,8.427610038,8.908807786,10.11437957,11.83391564,14.14011069,16.87222492,19.76793976,23.05117327,26.44773573,29.95281318,33.70807581,37.71998429,41.09183747,44.26131904
p15,0.066736687,0.405708612,0.389989458,0.377646709,0.388903492,0.382850816,0.518241571,0.72682669,1.24908702,2.252288064,3.90678062,6.703588977,11.21792386,19.19428472,31.08478585,46.23195246,62.41899031,81.78934351,99.02126133,114.7289892,127.127698
p16,2.08E-07,2.38E-05,0.00114516,0.01244388,0.060672176,0.110769821,0.358221613,0.840309321,1.793945849,3.448488584,6.141215799,10.16779082,16.06647739,25.27033112,37.95618121,52.40720402,67.32287119,82.55571245,96.61503144,108.1689964,117.5519195
p17,0.01137913,0.206979057,0.907175453,2.905324021,7.548468623,11.45151303,11.75636444,12.12870656,13.09295881,15.5222757,18.44150221,22.1593293,26.12052986,30.39036381,35.25548609,40.14802778,45.39606634,50.70071685,56.25995415,61.00601178,65.09627515
p18,0.047106201,0.592623292,2.467197386,7.385142893,18.57043152,28.91010034,32.99024297,37.98050968,44.98837455,53.98424007,63.13033173,73.33516869,84.17262083,96.2164557,108.8221527,120.7752044,131.5938488,142.8736849,153.9807947,164.9154332,174.5048418
p19,0.00419707,0.051374077,0.221221546,0.666361422,1.678899503,2.614438873,2.940224865,3.382748283,4.014900647,4.819801848,5.649387611,6.537889355,7.525403183,8.587152865,9.725941114,10.81177175,11.78898578,12.78242218,13.82309915,14.76844506,15.6604787
p20,0.030681176,0.392787778,1.572653937,4.684715169,11.78849466,18.44208889,21.16450649,24.94813159,30.06169632,36.58229553,43.49896391,51.1876143,59.50018886,68.07630774,76.85132653,85.17336488,92.9389146,100.788581,108.8862735,116.4966649,123.4105961
p21,5.37E-06,0.002660187,0.025467841,0.132873196,0.512500975,0.9557088,2.077229171,4.00603713,7.373191059,12.33929924,18.61099181,25.64353631,32.24403593,38.70200042,45.23886195,51.66229999,57.78002185,63.55513859,69.30123228,74.62004668,79.49714714
