state_abbr,sector_abbr,developable_roof_sqft
CA,res,5654014160
VT,res,146421004
ME,res,301502732
NM,res,350543584
NH,res,231787616
AZ,res,1109700320
RI,res,150680888
MI,res,2035878080
FL,res,3694758040
SD,res,206530668
MO,res,1359020280
CT,res,518802008
WI,res,1172646320
OK,res,870763760
KS,res,594883816
CO,res,724801132
MT,res,216138272
MA,res,890935532
UT,res,389017040
NJ,res,1125549800
IA,res,708166172
NY,res,2259567720
IL,res,2070051840
NC,res,1722493080
OR,res,702547300
PA,res,2139109520
OH,res,2221821640
MN,res,997306740
AR,res,599070532
ID,res,287592204
DE,res,147138696
TX,res,4569158680
TN,res,1232923840
NV,res,353629552
GA,res,1609599160
MD,res,775908980
VA,res,1308383720
MS,res,556675056
IN,res,1313882080
NE,res,345050604
AL,res,948481088
SC,res,819465460
LA,res,898863500
ND,res,174271112
WA,res,1136578800
WV,res,347166020
KY,res,834983532
WY,res,109432428
DC,res,30276595.6
CA,nonres,4684058633
VT,nonres,84851229.01
ME,nonres,179297494.6
NM,nonres,135986379.9
NH,nonres,177503407.5
AZ,nonres,117475037.1
RI,nonres,147693370
MI,nonres,1227643408
FL,nonres,2298716279
SD,nonres,76714396.73
MO,nonres,840891963
CT,nonres,498356812.7
WI,nonres,647331238.6
OK,nonres,639695686.8
KS,nonres,373476373.1
CO,nonres,558786284.6
MT,nonres,12843107.46
MA,nonres,887137167.9
UT,nonres,174619686.6
NJ,nonres,850190688.8
IA,nonres,360143785.9
NY,nonres,1396089034
IL,nonres,1415489929
NC,nonres,993650360.6
OR,nonres,383591470.5
PA,nonres,1256585181
OH,nonres,1413091988
MN,nonres,814835792.4
AR,nonres,343047084.1
ID,nonres,65783191.77
DE,nonres,71424857.7
TX,nonres,3119835925
TN,nonres,649955068.1
NV,nonres,363180652.4
GA,nonres,1095957244
MD,nonres,756976128.8
VA,nonres,902472144.6
MS,nonres,342041506.4
IN,nonres,709016657.8
NE,nonres,297930471.4
AL,nonres,630976372.5
SC,nonres,338133875.1
LA,nonres,673310200.7
ND,nonres,72285326.82
WA,nonres,623224151.6
WV,nonres,134552850.7
KY,nonres,569677328.7
WY,nonres,18740235.46
DC,nonres,86880666.99
