run,table,named_range,transpose,melt
TRUE,input_main_scenario_options,scenario_options_main,TRUE,FALSE
TRUE,input_main_market_inflation,annual_inflation_main,FALSE,FALSE
TRUE,input_main_market_projections,market_projections_main,TRUE,FALSE
TRUE,input_main_market_flat_electric_rates_raw,flat_elec_rates_main,FALSE,FALSE
TRUE,input_main_market_rate_type_weights_raw,rate_type_weights_main,FALSE,FALSE
TRUE,input_main_market_carbon_intensities,manual_carbon_intensities_main,FALSE,FALSE
TRUE,input_main_nem_utility_types,nem_util_types_values,TRUE,FALSE
TRUE,input_main_nem_selected_scenario,nem_selected_scenario,FALSE,FALSE
TRUE,input_main_nem_user_defined_scenario_raw,nem_values_main,FALSE,FALSE
TRUE,input_main_state_wholesale_elec_prices_raw,state_wholesale_prices_main,FALSE,TRUE
TRUE,input_main_nem_expiration_rate,nem_expiration_rate_main,FALSE,FALSE
TRUE,input_solar_cost_projections_res,costs_res_solar,TRUE,FALSE
TRUE,input_solar_cost_projections_com,costs_com_solar,TRUE,FALSE
TRUE,input_solar_cost_projections_ind,costs_ind_solar,TRUE,FALSE
TRUE,input_solar_cost_learning_rates,learning_rates_solar,TRUE,FALSE
TRUE,input_solar_cost_assumptions,cost_assumptions_solar,FALSE,FALSE
TRUE,input_solar_cost_multipliers,cost_multipliers_solar,TRUE,FALSE
TRUE,input_solar_performance_improvements,performance_improvements_solar,TRUE,FALSE
TRUE,input_solar_performance_annual_system_degradation,annual_system_degradation_solar,FALSE,FALSE
TRUE,input_solar_performance_system_sizing_factors_raw,sys_sizing_solar,FALSE,FALSE
TRUE,input_solar_finances_res,finances_res_solar,TRUE,FALSE
TRUE,input_solar_finances_com,finances_com_solar,TRUE,FALSE
TRUE,input_solar_finances_ind,finances_ind_solar,TRUE,FALSE
TRUE,input_solar_finances_depreciation_schedule,depreciation_schedule_solar,FALSE,FALSE
TRUE,input_solar_rooftop_source_raw,rooftop_source_solar,FALSE,FALSE
TRUE,input_wind_finances_res,finances_res_wind,TRUE,FALSE
TRUE,input_wind_finances_com,finances_com_wind,TRUE,FALSE
TRUE,input_wind_finances_ind,finances_ind_wind,TRUE,FALSE
TRUE,input_wind_finances_depreciation_schedule,depreciation_schedule_wind,FALSE,FALSE
TRUE,input_solar_leasing_availability,leasing_avail_solar,FALSE,TRUE
TRUE,input_wind_leasing_availability,leasing_avail_wind,FALSE,TRUE
TRUE,input_solar_incentive_options,incentive_options_solar,TRUE,FALSE
TRUE,input_solar_incentive_utility_types,incentive_utility_types_solar,TRUE,FALSE
TRUE,input_solar_incentives_raw,incentives_values_solar,FALSE,FALSE
TRUE,input_wind_incentive_options,incentive_options_wind,TRUE,FALSE
TRUE,input_wind_incentive_utility_types,incentive_utility_types_wind,TRUE,FALSE
TRUE,input_wind_incentives_raw,incentives_values_wind,FALSE,FALSE
TRUE,input_wind_cost_projections_0002p5_kw,cost_projections_wind_2.5_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_0005_kw,cost_projections_wind_5_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_0010_kw,cost_projections_wind_10_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_0020_kw,cost_projections_wind_20_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_0050_kw,cost_projections_wind_50_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_0100_kw,cost_projections_wind_100_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_0250_kw,cost_projections_wind_250_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_0500_kw,cost_projections_wind_500_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_0750_kw,cost_projections_wind_750_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_1000_kw,cost_projections_wind_1000_kw,TRUE,FALSE
TRUE,input_wind_cost_projections_1500_kw,cost_projections_wind_1500_kw,TRUE,FALSE
TRUE,input_wind_performance_improvements,performance_improvements_wind,FALSE,TRUE
TRUE,input_wind_performance_gen_derate_factors,derate_factors_wind,FALSE,TRUE
TRUE,input_wind_performance_system_sizing_factors_raw,sys_sizing_wind,FALSE,FALSE
TRUE,input_wind_siting_apply_parcel_size,apply_parcel_size_wind,FALSE,FALSE
TRUE,input_wind_siting_apply_hi_dev,apply_pct_hi_dev_wind,FALSE,FALSE
TRUE,input_wind_siting_apply_canopy_clearance,apply_canopy_clearance_wind,FALSE,FALSE
TRUE,input_wind_siting_parcel_size_raw,parcel_size_wind,FALSE,FALSE
TRUE,input_wind_siting_hi_dev_raw,pct_hi_dev_wind,FALSE,FALSE
TRUE,input_wind_siting_canopy_clearance_raw,canopy_clearance_wind,FALSE,FALSE
