geoid,county_id,state_abbr,developable_roof_sqft,sector_abbr
1001,1685,AL,3225535.924,nonres
1003,1630,AL,15443444.56,nonres
1005,1712,AL,4040825.865,nonres
1007,1692,AL,3098551.916,nonres
1009,2119,AL,13989734.27,nonres
1011,1713,AL,1491269.994,nonres
1013,1676,AL,2660446.857,nonres
1015,2111,AL,20767681.97,nonres
1017,1700,AL,4127392.225,nonres
1019,2164,AL,3578508.121,nonres
1021,1693,AL,4841967.077,nonres
1023,1669,AL,974637.9946,nonres
1025,1670,AL,3277114.172,nonres
1027,1694,AL,2652777.948,nonres
1029,1701,AL,3317509.569,nonres
1031,1677,AL,5132821.87,nonres
1033,1956,AL,10672094.89,nonres
1035,1686,AL,1505143.67,nonres
1037,1695,AL,663057.5375,nonres
1039,1678,AL,5786644.551,nonres
1041,1679,AL,869793.2819,nonres
1043,2120,AL,13521430.3,nonres
1045,1708,AL,3918712.989,nonres
1047,1687,AL,6230405.252,nonres
1049,2121,AL,10488213.97,nonres
1051,1688,AL,8289739.575,nonres
1053,1689,AL,5408442.834,nonres
1055,2112,AL,19420515.16,nonres
1057,1662,AL,3922052.713,nonres
1059,1947,AL,6399515.133,nonres
1061,1709,AL,3352575.577,nonres
1063,1663,AL,1347538.956,nonres
1065,1664,AL,2799673.131,nonres
1067,1710,AL,3123830.469,nonres
1069,1711,AL,13061738.23,nonres
1071,2122,AL,6923899.967,nonres
1073,1696,AL,103961499.6,nonres
1075,1948,AL,1757482.074,nonres
1077,1957,AL,9947844.366,nonres
1079,1958,AL,4523958.741,nonres
1081,1714,AL,17445435.8,nonres
1083,2123,AL,7421839.432,nonres
1085,1690,AL,1668196.977,nonres
1087,1715,AL,1980463.004,nonres
1089,2124,AL,44907424.07,nonres
1091,1671,AL,3504180.215,nonres
1093,1949,AL,4505946.39,nonres
1095,2125,AL,14897173.53,nonres
1097,1631,AL,59592171.4,nonres
1099,1672,AL,2623837.496,nonres
1101,1691,AL,31653981,nonres
1103,2126,AL,24372704.16,nonres
1105,1673,AL,1251569.831,nonres
1107,1665,AL,3868486.49,nonres
1109,1680,AL,4480349.278,nonres
1111,1702,AL,4457451.886,nonres
