geoid,developable_roof_sng_own_sqft,county_id,sector_abbr
12011,174314697.5,1,res
28055,85034.34392,2,res
31051,860417.7661,3,res
28103,950879.6871,4,res
41051,67870238.15,5,res
6065,209097136.9,6,res
51069,9779437.951,7,res
5099,994569.0473,8,res
48317,522906.6593,9,res
39017,42541085.99,10,res
49019,1068037.695,11,res
30071,552744.4226,12,res
47063,6925703.449,13,res
16033,69227.99594,14,res
55117,14464950.04,15,res
54051,4743380.021,16,res
37101,19739275.66,17,res
22027,1552887.577,18,res
17007,6721660.801,19,res
40083,4984174.465,20,res
47039,1626227.585,21,res
19105,3096131.65,22,res
53021,6916534.996,23,res
46083,6181022.345,24,res
39013,9488893.06,25,res
51690,1636816.11,26,res
27077,564206.6801,27,res
22067,3063497.014,28,res
28119,860986.3627,29,res
47051,5293440.225,30,res
31063,417253.9089,31,res
48163,1395640.071,32,res
21171,1299051.653,33,res
54039,23707423.51,34,res
37085,11839453.24,35,res
41063,780315.1161,36,res
16047,1468211.764,37,res
55025,48558365.1,38,res
49001,777658.2756,39,res
37091,2134323.36,40,res
22073,15218541.05,41,res
51139,2894207.314,42,res
55035,10757255.31,43,res
41039,35581795.61,44,res
26155,10361564.1,45,res
54063,1894195.519,46,res
21163,2948986.608,47,res
31039,1342822.018,48,res
48171,3744462.23,49,res
39159,7169356.365,50,res
12069,37500622.45,51,res
19093,1175312.179,52,res
17193,2158763.163,53,res
48071,4734388.08,54,res
48217,4108683.519,55,res
51011,2061241.135,56,res
17005,2186981.663,57,res
54095,1196539.005,58,res
37087,7698400.675,59,res
20135,554863.2996,60,res
34013,27154318.18,61,res
36109,8499141.22,62,res
36031,4642981.786,63,res
21071,3543420.846,64,res
5147,777673.1621,65,res
21217,2714183.278,66,res
18077,4233628.591,67,res
46045,603925.2204,68,res
50019,3183190.278,69,res
31095,1364414.963,70,res
35017,3302149.347,71,res
51540,3056353.52,72,res
48339,55559245.99,73,res
56033,3591966.487,74,res
13299,3816212.859,75,res
50001,4133522.823,76,res
20043,1008388.01,77,res
20057,3131087.849,78,res
48121,82318626.84,79,res
29155,1765440.447,80,res
40045,586295.8218,81,res
16059,1040970.806,82,res
48343,1654633.13,83,res
11001,8242428.498,84,res
37113,4749948.828,85,res
35013,17813977.62,86,res
20075,357169.593,87,res
13237,2467162.77,88,res
6099,45569867.42,89,res
21121,2882215.445,90,res
34017,5553143.3,91,res
51199,6896257.825,92,res
47095,536162.005,93,res
13285,7049180.784,94,res
5065,1739092.036,95,res
45023,3612046.533,96,res
19025,1693046.343,97,res
42027,14362308.4,98,res
48063,1333545.571,99,res
26109,3923786.604,100,res
29165,11037587.45,101,res
31163,554641.8162,102,res
21039,631337.497,103,res
48303,27818882.32,104,res
48383,382324.9027,105,res
26031,4141740.038,106,res
48367,14743860.13,107,res
51057,1291023.312,108,res
51043,2032015.928,109,res
19035,1942433.966,110,res
17173,3546625.01,111,res
28149,5180201.382,112,res
29215,2905042.551,113,res
17195,8904010.019,114,res
53059,1148444.082,115,res
48357,1248767.579,116,res
8049,1535995.399,117,res
21063,612794.3661,118,res
31171,102338.3379,119,res
5013,652821.3125,120,res
18183,5368485.249,121,res
48039,38651993.41,122,res
4015,19557443.03,123,res
20199,247146.823,124,res
56021,8091158.938,125,res
51075,3346135.811,126,res
46123,743243.7924,127,res
23017,6228076.712,128,res
1053,4119964.615,129,res
51135,1653431.73,130,res
8023,453765.3774,131,res
47163,19642358.65,132,res
8111,66879.41091,133,res
20011,1940877.698,134,res
42073,11731317.9,135,res
2185,377941.6198,136,res
24027,25157846.86,137,res
48051,2079672.886,138,res
28153,2234640.461,139,res
45049,2000347.621,140,res
33015,32787110.8,141,res
40123,4707197.212,142,res
55105,20475348.75,143,res
25005,49450890.51,144,res
23013,4845287.78,145,res
39099,32835092.24,146,res
42067,3005350.217,147,res
47171,2235326.925,148,res
19179,5189841.07,149,res
30095,1218801.277,150,res
5017,1343007.177,151,res
13231,2389844.791,152,res
21051,1983577.053,153,res
19117,1482009.955,154,res
39175,3385827.873,155,res
18127,21773749.28,156,res
1003,23672097.27,157,res
29221,2379717.818,158,res
17041,2897869.402,159,res
38045,703041.318,160,res
48289,1986220.181,161,res
12043,898285.6055,162,res
12057,120357081,163,res
48351,1494446.806,164,res
37133,14535696.11,165,res
38083,242421.6334,166,res
6017,23637505.56,167,res
27127,2393523.492,168,res
31121,1272933.182,169,res
13273,853762.4898,170,res
37019,15237133.21,171,res
28131,1745792.983,172,res
17081,4672691.502,173,res
39065,3932015.875,174,res
47071,3424328.362,175,res
28157,867029.1569,176,res
30063,9539562.606,177,res
26165,4402982.315,178,res
29109,4929044.935,179,res
53047,4173162.07,180,res
48477,4153758.549,181,res
20139,2346797.052,182,res
29031,8510248.87,183,res
32013,1485241.295,184,res
8009,482569.3951,185,res
8061,176721.5261,186,res
12075,3363665.659,187,res
30039,387910.4906,188,res
47121,1181573.227,189,res
30051,216438.8436,190,res
8125,1109879.214,191,res
39147,7563157.01,192,res
48261,24487.73365,193,res
37177,404366.6531,194,res
