year,batt_kwh_cost_low_ratio,batt_kwh_cost_mid_ratio,batt_kwh_cost_high_ratio,batt_kw_cost_low_ratio,batt_kw_cost_mid_ratio,batt_kw_cost_high_ratio,batt_kwh_cost_low,batt_kwh_cost_mid,batt_kwh_cost_high,batt_kw_cost_low,batt_kw_cost_mid,batt_kw_cost_high
2014,1,1,1,1,1,1,500,500,500,1600,1600,1600
2015,1,1,1,1,1,1,500,500,500,1600,1600,1600
2016,0.897014925,0.932355936,0.986476393,0.975836287,0.983732947,1,448.5074625,466.177968,493.2381965,1561.338059,1573.972715,1600
2017,0.794029851,0.864711873,0.972952785,0.951672575,0.967465894,1,397.0149255,432.3559365,486.4763925,1522.67612,1547.94543,1600
2018,0.691044776,0.797067809,0.959429178,0.927508862,0.951198841,1,345.522388,398.5339045,479.714589,1484.014179,1521.918146,1600
2019,0.588059701,0.729423746,0.945905571,0.903345149,0.934931787,1,294.0298505,364.711873,472.9527855,1445.352238,1495.890859,1600
2020,0.485074627,0.661779682,0.932381964,0.879181436,0.918664734,1,242.5373135,330.889841,466.190982,1406.690298,1469.863574,1600
2021,0.443615257,0.633559929,0.905074973,0.855017724,0.902397681,1,221.8076285,316.7799645,452.5374865,1368.028358,1443.83629,1600
2022,0.402155887,0.605340175,0.877767983,0.830854011,0.886130628,1,201.0779435,302.6700875,438.8839915,1329.366418,1417.809005,1600
2023,0.360696517,0.577120422,0.850460993,0.806690298,0.869863575,1,180.3482585,288.560211,425.2304965,1290.704477,1391.78172,1600
2024,0.319237148,0.548900668,0.823154002,0.782526586,0.853596522,1,159.618574,274.450334,411.577001,1252.042538,1365.754435,1600
2025,0.277777778,0.520680915,0.795847012,0.758362873,0.837329469,1,138.888889,260.3404575,397.923506,1213.380597,1339.72715,1600
2026,0.258640133,0.510794732,0.773292021,0.73419916,0.821062416,1,129.3200665,255.397366,386.6460105,1174.718656,1313.699866,1600
2027,0.239502488,0.500908549,0.75073703,0.710035448,0.804795362,1,119.751244,250.4542745,375.368515,1136.056717,1287.672579,1600
2028,0.220364842,0.491022366,0.728182038,0.685871735,0.788528309,1,110.182421,245.511183,364.091019,1097.394776,1261.645294,1600
2029,0.201227197,0.481136183,0.705627047,0.661708022,0.772261256,1,100.6135985,240.5680915,352.8135235,1058.732835,1235.61801,1600
2030,0.182089552,0.47125,0.683072056,0.637544309,0.755994203,1,91.044776,235.625,341.536028,1020.070894,1209.590725,1600
2031,0.179837525,0.46639558,0.677447216,0.613380597,0.73972715,1,89.9187625,233.19779,338.723608,981.4089552,1183.56344,1600
2032,0.177585497,0.461541159,0.671822376,0.589216884,0.723460097,1,88.7927485,230.7705795,335.911188,942.7470144,1157.536155,1600
2033,0.175333469,0.456686739,0.666197536,0.565053171,0.707193044,1,87.6667345,228.3433695,333.098768,904.0850736,1131.50887,1600
2034,0.173081442,0.451832318,0.660572696,0.540889459,0.69092599,1,86.540721,225.916159,330.286348,865.4231344,1105.481584,1600
2035,0.170829414,0.446977898,0.654947856,0.516725746,0.674658937,1,85.414707,223.488949,327.473928,826.7611936,1079.454299,1600
2036,0.169401104,0.444794704,0.654025915,0.492562033,0.658391884,1,84.700552,222.397352,327.0129575,788.0992528,1053.427014,1600
2037,0.167972794,0.442611511,0.653103975,0.468398321,0.642124831,1,83.986397,221.3057555,326.5519875,749.4373136,1027.39973,1600
2038,0.166544483,0.440428318,0.652182035,0.444234608,0.625857778,1,83.2722415,220.214159,326.0910175,710.7753728,1001.372445,1600
2039,0.165116173,0.438245124,0.651260095,0.420070895,0.609590725,1,82.5580865,219.122562,325.6300475,672.113432,975.34516,1600
2040,0.163687863,0.436061931,0.650338154,0.395907182,0.593323672,1,81.8439315,218.0309655,325.169077,633.4514912,949.3178752,1600
2041,0.162293141,0.432346414,0.644796872,0.395907182,0.593323672,1,81.1465705,216.173207,322.398436,633.4514912,949.3178752,1600
2042,0.16089842,0.428630897,0.639255589,0.395907182,0.593323672,1,80.44921,214.3154485,319.6277945,633.4514912,949.3178752,1600
2043,0.159503698,0.42491538,0.633714306,0.395907182,0.593323672,1,79.751849,212.45769,316.857153,633.4514912,949.3178752,1600
2044,0.158108976,0.421199863,0.628173024,0.395907182,0.593323672,1,79.054488,210.5999315,314.086512,633.4514912,949.3178752,1600
